date,traffic,newsTitle,predicted_label,score,general_label
2016-11-28,"5,000+",CNN has acquired videosharing startup Beme a social media app launched last year by popular YouTube star Casey Neistat the cablenews network announced Monday While the deal will bring the apps video technology to CNN it will also allow the,technology,0.8803564310073853,Technology and Science
2016-11-28,"50,000+",The CFL offseason began late Sunday night and already there are stories ready to shift from simmer to boil Its a small league where friendships and feuds can torque the intrigue every winter Who is going to coach where Who is going to free agency,sports,0.8805804252624512,Entertainment
2016-11-28,"5,000+",The Core Agency has come out on top of a a fourway pitch for the Cook Islands Tourism digital account The agency will work alongside Dylan Harrison of The Hooligan Collective to build on the existing brand platform he has created with Cook Islands,travel,0.8078172206878662,Lifestyle
2016-11-28,"5,000+",Après le Vendredi fou les consommateurs peuvent profiter de rabais intéressants sur une grande variété de produits à nouveau ce lundi en ligne Dès minuit les chasseurs daubaines ont pu amorcer leur magasinage Selon lexpert Jonathan Laberge les,accident,0.9484054446220398,Accident
2016-11-28,"5,000+",Actress Evan Rachel Wood has opened up about her double rape ordeal in an email sent to Rolling Stone magazine following a recent interview The 29yearold talked about the physical psychological and sexual abuse she has suffered in the article,crime,0.9527377486228944,Accident
2016-11-28,"20,000+",About a dozen hours into Final Fantasy XV after Id slain countless monsters and traveled hundreds of miles and bonded with tightknit group of friends a strange feeling swelled in my chest The four of us stood on the rocky beach of a picturesque,media and entertainment,0.6046733260154724,Entertainment
2016-11-28,"20,000+",SUNRISE FLAThe Florida Panthers fired Gerard Gallant because of inconsistent play and a philosophical divide between the coach and front office team officials said Monday The Panthers officially announced Monday morning that general manager Tom,sports,0.8045112490653992,Entertainment
2016-11-28,"5,000+",Marsden and Mirren sittin in a tree kissing James Marsden got quite the shock recently when his celebrity crush Helen Mirren surprised him during The Ellen DeGeneres Show Marsden 43 and Mirren 71 were both guests on the daytime talk show,celebrity,0.9432754516601562,Entertainment
2016-11-28,"20,000+",Une voix sans faille Et saccompagne au piano Le public a eu le même élan vers Charles Kardos que son coach Alex Nevsky qui lui vouait une profonde affection depuis le début de laventure de La voix junior En chantant le succès de Michel Sardou,literature,0.8018175959587097,Intellectualism
2016-11-28,"100,000+",A man plowed his car into a group of pedestrians at Ohio State University and then got out and began stabbing people with a butcher knife before he was shot to death by an officer Monday morning campus police said Eleven people were hurt one,tragedy,0.7876735925674438,Accident
2016-11-28,"50,000+",The fire at Old Navy is one of eight instances of arson or suspicious devices that federal authorities investigated in central Albuquerque last week According to the complaint an Albuquerque police officer on holiday patrol near San Mateo and,crime,0.7486690878868103,Accident
2016-11-28,"10,000+",Olivier Bernard alias Le Pharmachien a fait un passage remarqué à lémission Tout le monde en parle diffusée dimanche soir Tirant dans tous les sens il a voulu déboulonner les fausses croyances en santé et sattaquer aux guérisseurs marchands de,health,0.9944093823432922,Lifestyle
2016-11-28,"5,000+",Social media is heaping scorn on Princess Beatrice after she reportedly slashed singer Ed Sheeran in the face with a ceremonial sword as she pretended to knight James Blunt The accidental facefilleting took place at a party at the Royal Lodge in,accident,0.9557600617408752,Accident
