date,general_label,traffic_rate,total_traffic
2016-11-28,Entertainment,0.1,230000.0
2016-11-29,Entertainment,0.1,490000.0
2016-11-30,Entertainment,0.1,320000.0
2016-12-01,Entertainment,0.1,220000.0
2016-12-02,Entertainment,0.25,500000.0
2016-12-03,Entertainment,0.25,560000.0
2016-12-04,Entertainment,0.1,350000.0
2016-12-05,Entertainment,0.1,150000.0
2016-12-06,Entertainment,0.1,360000.0
2016-12-07,Entertainment,0.0,0.0
2016-12-08,Entertainment,0.1,240000.0
2016-12-09,Entertainment,0.1,210000.0
2016-12-10,Entertainment,0.25,860000.0
2016-12-11,Entertainment,0.1,210000.0
2016-12-12,Entertainment,0.25,630000.0
2016-12-13,Entertainment,0.1,190000.0
2016-12-14,Entertainment,0.1,470000.0
2016-12-15,Entertainment,0.1,40000.0
2016-12-16,Entertainment,0.1,110000.0
2016-12-17,Entertainment,0.1,290000.0
2016-12-18,Entertainment,0.25,760000.0
2016-12-19,Entertainment,0.1,360000.0
2016-12-20,Entertainment,0.1,100000.0
2016-12-21,Entertainment,0.1,110000.0
2016-12-22,Entertainment,0.1,90000.0
2016-12-23,Entertainment,0.1,180000.0
2016-12-24,Entertainment,0.175,960000.0
2016-12-25,Entertainment,0.175,750000.0
2016-12-26,Entertainment,0.5,1200000.0
2016-12-27,Entertainment,0.1,280000.0
2016-12-28,Entertainment,0.1,190000.0
2016-12-29,Entertainment,0.1,160000.0
2016-12-30,Entertainment,0.1,370000.0
2016-12-31,Entertainment,0.25,690000.0
2017-01-01,Entertainment,0.55,2490000.0
2017-01-02,Entertainment,0.1,130000.0
2017-01-03,Entertainment,0.1,330000.0
2017-01-04,Entertainment,0.1,450000.0
2017-01-05,Entertainment,0.1,90000.0
2017-01-06,Entertainment,0.1,290000.0
2017-01-07,Entertainment,0.175,920000.0
2017-01-08,Entertainment,0.1,240000.0
2017-01-09,Entertainment,0.1,280000.0
2017-01-10,Entertainment,0.1,190000.0
2017-01-11,Entertainment,0.1,60000.0
2017-01-12,Entertainment,0.1,100000.0
2017-01-13,Entertainment,0.175,850000.0
2017-01-14,Entertainment,0.1,140000.0
2017-01-15,Entertainment,0.1,390000.0
2017-01-16,Entertainment,0.1,180000.0
2017-01-17,Entertainment,0.1,240000.0
2017-01-18,Entertainment,0.1,200000.0
2017-01-19,Entertainment,0.1,250000.0
2017-01-20,Entertainment,0.1,330000.0
2017-01-21,Entertainment,0.1,480000.0
2017-01-22,Entertainment,0.1,420000.0
2017-01-23,Entertainment,0.1,230000.0
2017-01-24,Entertainment,0.1,120000.0
2017-01-25,Entertainment,0.1,430000.0
2017-01-26,Entertainment,0.1,360000.0
2017-01-27,Entertainment,0.25,520000.0
2017-01-28,Entertainment,0.1,220000.0
2017-01-29,Entertainment,0.25,660000.0
2017-01-30,Entertainment,0.1,140000.0
2017-01-31,Entertainment,0.25,1200000.0
2017-02-01,Entertainment,0.1,380000.0
2017-02-02,Entertainment,0.175,840000.0
2017-02-03,Entertainment,0.1,230000.0
2017-02-04,Entertainment,0.25,850000.0
2017-02-05,Entertainment,0.25,540000.0
2017-02-06,Entertainment,0.1,300000.0
2017-02-07,Entertainment,0.1,90000.0
2017-02-08,Entertainment,0.1,140000.0
2017-02-09,Entertainment,0.1,70000.0
2017-02-10,Entertainment,0.25,530000.0
2017-02-11,Entertainment,0.1,400000.0
2017-02-12,Entertainment,0.25,530000.0
2017-02-13,Entertainment,0.1,360000.0
2017-02-14,Entertainment,0.1,280000.0
2017-02-15,Entertainment,0.1,210000.0
2017-02-16,Entertainment,0.1,350000.0
2017-02-17,Entertainment,0.1,220000.0
2017-02-18,Entertainment,0.1,170000.0
2017-02-19,Entertainment,0.1,350000.0
2017-02-20,Entertainment,0.1,160000.0
2017-02-21,Entertainment,0.1,170000.0
2017-02-22,Entertainment,0.25,520000.0
2017-02-23,Entertainment,0.1,390000.0
2017-02-24,Entertainment,0.1,460000.0
2017-02-25,Entertainment,0.25,810000.0
2017-02-26,Entertainment,0.3,1070000.0
2017-02-27,Entertainment,0.25,660000.0
2017-02-28,Entertainment,0.1,70000.0
2017-03-01,Entertainment,0.1,260000.0
2017-03-02,Entertainment,0.1,250000.0
2017-03-03,Entertainment,0.1,340000.0
2017-03-04,Entertainment,0.375,1690000.0
2017-03-05,Entertainment,0.1,300000.0
2017-03-06,Entertainment,0.1,200000.0
2017-03-07,Entertainment,0.1,380000.0
2017-03-08,Entertainment,0.1,260000.0
2017-03-09,Entertainment,0.1,300000.0
2017-03-10,Entertainment,0.1,300000.0
2017-03-11,Entertainment,0.25,520000.0
2017-03-12,Entertainment,0.1,210000.0
2017-03-13,Entertainment,0.1,300000.0
2017-03-14,Entertainment,0.1,360000.0
2017-03-15,Entertainment,0.1,150000.0
2017-03-16,Entertainment,0.1,200000.0
2017-03-17,Entertainment,0.1,230000.0
2017-03-18,Entertainment,0.25,550000.0
2017-03-19,Entertainment,0.1,380000.0
2017-03-20,Entertainment,0.1,230000.0
2017-03-21,Entertainment,0.1,70000.0
2017-03-22,Entertainment,0.1,270000.0
2017-03-23,Entertainment,0.1,80000.0
2017-03-24,Entertainment,0.1,260000.0
2017-03-25,Entertainment,0.1,310000.0
