Category: Economicsz

Day,Geo: Australia
2013-04-01,50
2013-04-02,61
2013-04-03,64
2013-04-04,62
2013-04-05,48
2013-04-06,49
2013-04-07,67
2013-04-08,70
2013-04-09,78
2013-04-10,79
2013-04-11,70
2013-04-12,52
2013-04-13,52
2013-04-14,66
2013-04-15,74
2013-04-16,70
2013-04-17,63
2013-04-18,62
2013-04-19,49
2013-04-20,43
2013-04-21,62
2013-04-22,66
2013-04-23,67
2013-04-24,53
2013-04-25,61
2013-04-26,59
2013-04-27,51
2013-04-28,68
2013-04-29,74
2013-04-30,78
2013-05-01,87
2013-05-02,79
2013-05-03,55
2013-05-04,55
2013-05-05,78
2013-05-06,83
2013-05-07,93
2013-05-08,79
2013-05-09,89
2013-05-10,61
2013-05-11,58
2013-05-12,80
2013-05-13,88
2013-05-14,83
2013-05-15,80
2013-05-16,76
2013-05-17,56
2013-05-18,47
2013-05-19,68
2013-05-20,71
2013-05-21,77
2013-05-22,70
2013-05-23,76
2013-05-24,57
2013-05-25,41
2013-05-26,69
2013-05-27,72
2013-05-28,69
2013-05-29,69
2013-05-30,73
2013-05-31,50
2013-06-01,49
2013-06-02,72
2013-06-03,67
2013-06-04,78
2013-06-05,73
2013-06-06,74
2013-06-07,61
2013-06-08,50
2013-06-09,64
2013-06-10,63
2013-06-11,73
2013-06-12,75
2013-06-13,90
2013-06-14,63
2013-06-15,51
2013-06-16,71
2013-06-17,63
2013-06-18,69
2013-06-19,65
2013-06-20,57
2013-06-21,45
2013-06-22,36
2013-06-23,52
2013-06-24,56
2013-06-25,52
2013-06-26,49
2013-06-27,45
2013-06-28,38
2013-06-29,26
2013-06-30,38
2013-07-01,42
2013-07-02,45
2013-07-03,45
2013-07-04,40
2013-07-05,35
2013-07-06,21
2013-07-07,29
2013-07-08,40
2013-07-09,56
2013-07-10,54
2013-07-11,43
2013-07-12,37
2013-07-13,35
2013-07-14,37
2013-07-15,50
2013-07-16,66
2013-07-17,56
2013-07-18,57
2013-07-19,41
2013-07-20,37
2013-07-21,48
2013-07-22,55
2013-07-23,66
2013-07-24,57
2013-07-25,52
2013-07-26,43
2013-07-27,37
2013-07-28,51
2013-07-29,66
2013-07-30,77
2013-07-31,69
2013-08-01,65
2013-08-02,53
2013-08-03,42
2013-08-04,61
2013-08-05,69
2013-08-06,100
2013-08-07,82
2013-08-08,68
2013-08-09,57
2013-08-10,40
2013-08-11,63
2013-08-12,77
2013-08-13,80
2013-08-14,85
2013-08-15,77
2013-08-16,56
2013-08-17,48
2013-08-18,74
2013-08-19,78
2013-08-20,89
2013-08-21,85
2013-08-22,77
2013-08-23,61
2013-08-24,54
2013-08-25,71
2013-08-26,74
2013-08-27,87
2013-08-28,94
2013-08-29,82
2013-08-30,59
2013-08-31,49
2013-09-01,75
2013-09-02,75
2013-09-03,91
2013-09-04,87
2013-09-05,84
2013-09-06,65
2013-09-07,55
2013-09-08,74
2013-09-09,68
2013-09-10,83
2013-09-11,82
2013-09-12,78
2013-09-13,61
2013-09-14,48
2013-09-15,64
2013-09-16,72
2013-09-17,85
2013-09-18,85
2013-09-19,74
2013-09-20,61
2013-09-21,46
2013-09-22,52
2013-09-23,64
2013-09-24,76
2013-09-25,97
2013-09-26,80
2013-09-27,48
2013-09-28,40
2013-09-29,53
2013-09-30,52
2013-10-01,60
2013-10-02,62
2013-10-03,56
2013-10-04,40
2013-10-05,37
2013-10-06,52
2013-10-07,59
2013-10-08,69
2013-10-09,68
2013-10-10,64
2013-10-11,52
2013-10-12,49
2013-10-13,69
2013-10-14,65
2013-10-15,69
2013-10-16,73
2013-10-17,65
2013-10-18,53
2013-10-19,44
2013-10-20,68
2013-10-21,64
2013-10-22,67
2013-10-23,63
2013-10-24,70
2013-10-25,46
2013-10-26,47
2013-10-27,62
2013-10-28,65
2013-10-29,72
2013-10-30,60
2013-10-31,58
2013-11-01,45
2013-11-02,43
2013-11-03,62
2013-11-04,64
2013-11-05,63
2013-11-06,64
2013-11-07,65
2013-11-08,49
2013-11-09,44
2013-11-10,60
2013-11-11,72
2013-11-12,68
2013-11-13,64
2013-11-14,57
2013-11-15,43
2013-11-16,47
2013-11-17,63
2013-11-18,58
2013-11-19,57
2013-11-20,53
2013-11-21,50
2013-11-22,34
2013-11-23,28
2013-11-24,40
2013-11-25,40
2013-11-26,37
2013-11-27,37
2013-11-28,42
2013-11-29,28
2013-11-30,22
2013-12-01,28
