Category: Economics

Day,Geo: Australia
2015-12-01,41
2015-12-02,40
2015-12-03,39
2015-12-04,27
2015-12-05,27
2015-12-06,34
2015-12-07,37
2015-12-08,34
2015-12-09,36
2015-12-10,36
2015-12-11,28
2015-12-12,26
2015-12-13,29
2015-12-14,34
2015-12-15,44
2015-12-16,35
2015-12-17,31
2015-12-18,23
2015-12-19,25
2015-12-20,29
2015-12-21,26
2015-12-22,31
2015-12-23,27
2015-12-24,20
2015-12-25,19
2015-12-26,23
2015-12-27,20
2015-12-28,23
2015-12-29,21
2015-12-30,22
2015-12-31,21
2016-01-01,21
2016-01-02,24
2016-01-03,31
2016-01-04,37
2016-01-05,29
2016-01-06,35
2016-01-07,33
2016-01-08,28
2016-01-09,25
2016-01-10,30
2016-01-11,32
2016-01-12,37
2016-01-13,34
2016-01-14,36
2016-01-15,31
2016-01-16,27
2016-01-17,32
2016-01-18,40
2016-01-19,40
2016-01-20,35
2016-01-21,36
2016-01-22,34
2016-01-23,28
2016-01-24,29
2016-01-25,34
2016-01-26,31
2016-01-27,40
2016-01-28,46
2016-01-29,38
2016-01-30,30
2016-01-31,41
2016-02-01,47
2016-02-02,53
2016-02-03,51
2016-02-04,47
2016-02-05,42
2016-02-06,34
2016-02-07,44
2016-02-08,47
2016-02-09,59
2016-02-10,51
2016-02-11,54
2016-02-12,40
2016-02-13,34
2016-02-14,51
2016-02-15,57
2016-02-16,52
2016-02-17,54
2016-02-18,58
2016-02-19,40
2016-02-20,34
2016-02-21,48
2016-02-22,59
2016-02-23,57
2016-02-24,57
2016-02-25,50
2016-02-26,43
2016-02-27,38
2016-02-28,54
2016-02-29,65
2016-03-01,72
2016-03-02,70
2016-03-03,59
2016-03-04,48
2016-03-05,47
2016-03-06,61
2016-03-07,75
2016-03-08,73
2016-03-09,70
2016-03-10,70
2016-03-11,48
2016-03-12,52
2016-03-13,69
2016-03-14,77
2016-03-15,74
2016-03-16,78
2016-03-17,77
2016-03-18,53
2016-03-19,46
2016-03-20,68
2016-03-21,77
2016-03-22,81
2016-03-23,71
2016-03-24,58
2016-03-25,41
2016-03-26,39
2016-03-27,41
2016-03-28,59
2016-03-29,69
2016-03-30,62
2016-03-31,61
2016-04-01,52
2016-04-02,53
2016-04-03,72
2016-04-04,67
2016-04-05,78
2016-04-06,78
2016-04-07,70
2016-04-08,64
2016-04-09,55
2016-04-10,65
2016-04-11,75
2016-04-12,73
2016-04-13,66
2016-04-14,77
2016-04-15,53
2016-04-16,49
2016-04-17,61
2016-04-18,75
2016-04-19,75
2016-04-20,70
2016-04-21,71
2016-04-22,56
2016-04-23,44
2016-04-24,53
2016-04-25,70
2016-04-26,81
2016-04-27,83
2016-04-28,82
2016-04-29,65
2016-04-30,51
2016-05-01,75
2016-05-02,84
2016-05-03,100
2016-05-04,79
2016-05-05,80
2016-05-06,65
2016-05-07,52
2016-05-08,81
2016-05-09,96
2016-05-10,84
2016-05-11,84
2016-05-12,85
2016-05-13,63
2016-05-14,53
2016-05-15,68
2016-05-16,77
2016-05-17,76
2016-05-18,73
2016-05-19,74
2016-05-20,55
2016-05-21,50
2016-05-22,78
2016-05-23,73
2016-05-24,74
2016-05-25,77
2016-05-26,77
2016-05-27,62
2016-05-28,50
2016-05-29,73
2016-05-30,93
2016-05-31,80
2016-06-01,91
