Category: Economics

Day,Geo: Canada
2016-06-01,50
2016-06-02,50
2016-06-03,52
2016-06-04,33
2016-06-05,38
2016-06-06,51
2016-06-07,55
2016-06-08,53
2016-06-09,61
2016-06-10,44
2016-06-11,37
2016-06-12,39
2016-06-13,52
2016-06-14,57
2016-06-15,49
2016-06-16,50
2016-06-17,49
2016-06-18,35
2016-06-19,44
2016-06-20,51
2016-06-21,51
2016-06-22,53
2016-06-23,42
2016-06-24,55
2016-06-25,35
2016-06-26,35
2016-06-27,40
2016-06-28,39
2016-06-29,37
2016-06-30,35
2016-07-01,28
2016-07-02,26
2016-07-03,31
2016-07-04,35
2016-07-05,42
2016-07-06,36
2016-07-07,43
2016-07-08,41
2016-07-09,28
2016-07-10,28
2016-07-11,37
2016-07-12,40
2016-07-13,38
2016-07-14,42
2016-07-15,31
2016-07-16,25
2016-07-17,31
2016-07-18,34
2016-07-19,41
2016-07-20,37
2016-07-21,35
2016-07-22,35
2016-07-23,27
2016-07-24,26
2016-07-25,40
2016-07-26,36
2016-07-27,41
2016-07-28,37
2016-07-29,35
2016-07-30,24
2016-07-31,26
2016-08-01,29
2016-08-02,34
2016-08-03,35
2016-08-04,36
2016-08-05,37
2016-08-06,29
2016-08-07,29
2016-08-08,39
2016-08-09,40
2016-08-10,38
2016-08-11,34
2016-08-12,33
2016-08-13,24
2016-08-14,29
2016-08-15,32
2016-08-16,32
2016-08-17,36
2016-08-18,32
2016-08-19,33
2016-08-20,24
2016-08-21,27
2016-08-22,34
2016-08-23,38
2016-08-24,39
2016-08-25,33
2016-08-26,39
2016-08-27,24
2016-08-28,25
2016-08-29,31
2016-08-30,34
2016-08-31,33
2016-09-01,39
2016-09-02,35
2016-09-03,30
2016-09-04,25
2016-09-05,29
2016-09-06,45
2016-09-07,53
2016-09-08,61
2016-09-09,51
2016-09-10,40
2016-09-11,38
2016-09-12,63
2016-09-13,71
2016-09-14,70
2016-09-15,68
2016-09-16,61
2016-09-17,46
2016-09-18,51
2016-09-19,73
2016-09-20,68
2016-09-21,74
2016-09-22,75
2016-09-23,63
2016-09-24,48
2016-09-25,60
2016-09-26,74
2016-09-27,78
2016-09-28,84
2016-09-29,86
2016-09-30,77
2016-10-01,51
2016-10-02,65
2016-10-03,80
2016-10-04,84
2016-10-05,84
2016-10-06,79
2016-10-07,64
2016-10-08,49
2016-10-09,44
2016-10-10,56
2016-10-11,76
2016-10-12,86
2016-10-13,83
2016-10-14,76
2016-10-15,58
2016-10-16,70
2016-10-17,91
2016-10-18,87
2016-10-19,100
2016-10-20,95
2016-10-21,73
2016-10-22,53
2016-10-23,56
2016-10-24,77
2016-10-25,81
2016-10-26,80
2016-10-27,74
2016-10-28,66
2016-10-29,47
2016-10-30,52
2016-10-31,74
2016-11-01,77
2016-11-02,77
2016-11-03,78
2016-11-04,66
2016-11-05,45
2016-11-06,51
2016-11-07,75
2016-11-08,74
2016-11-09,92
2016-11-10,75
2016-11-11,66
2016-11-12,54
2016-11-13,54
2016-11-14,73
2016-11-15,79
2016-11-16,76
2016-11-17,70
2016-11-18,60
2016-11-19,47
2016-11-20,57
2016-11-21,76
2016-11-22,78
2016-11-23,80
2016-11-24,72
2016-11-25,63
2016-11-26,52
2016-11-27,59
2016-11-28,73
2016-11-29,77
2016-11-30,76
2016-12-01,76
