Category: Economics

Day,Geo: Canada
2012-01-01,28
2012-01-02,37
2012-01-03,52
2012-01-04,52
2012-01-05,55
2012-01-06,51
2012-01-07,41
2012-01-08,41
2012-01-09,62
2012-01-10,71
2012-01-11,77
2012-01-12,81
2012-01-13,60
2012-01-14,46
2012-01-15,59
2012-01-16,75
2012-01-17,77
2012-01-18,77
2012-01-19,84
2012-01-20,79
2012-01-21,48
2012-01-22,60
2012-01-23,76
2012-01-24,84
2012-01-25,84
2012-01-26,94
2012-01-27,75
2012-01-28,58
2012-01-29,68
2012-01-30,87
2012-01-31,87
2012-02-01,80
2012-02-02,91
2012-02-03,78
2012-02-04,69
2012-02-05,66
2012-02-06,83
2012-02-07,92
2012-02-08,98
2012-02-09,92
2012-02-10,85
2012-02-11,57
2012-02-12,68
2012-02-13,88
2012-02-14,91
2012-02-15,89
2012-02-16,87
2012-02-17,66
2012-02-18,38
2012-02-19,41
2012-02-20,57
2012-02-21,66
2012-02-22,65
2012-02-23,64
2012-02-24,58
2012-02-25,52
2012-02-26,56
2012-02-27,67
2012-02-28,85
2012-02-29,90
2012-03-01,90
2012-03-02,81
2012-03-03,50
2012-03-04,57
2012-03-05,73
2012-03-06,87
2012-03-07,78
2012-03-08,75
2012-03-09,73
2012-03-10,50
2012-03-11,53
2012-03-12,81
2012-03-13,79
2012-03-14,74
2012-03-15,74
2012-03-16,66
2012-03-17,50
2012-03-18,55
2012-03-19,77
2012-03-20,83
2012-03-21,78
2012-03-22,74
2012-03-23,66
2012-03-24,49
2012-03-25,54
2012-03-26,77
2012-03-27,77
2012-03-28,83
2012-03-29,71
2012-03-30,67
2012-03-31,52
2012-04-01,59
2012-04-02,79
2012-04-03,81
2012-04-04,79
2012-04-05,70
2012-04-06,55
2012-04-07,54
2012-04-08,51
2012-04-09,72
2012-04-10,79
2012-04-11,90
2012-04-12,82
2012-04-13,86
2012-04-14,66
2012-04-15,76
2012-04-16,100
2012-04-17,99
2012-04-18,86
2012-04-19,84
2012-04-20,69
2012-04-21,56
2012-04-22,59
2012-04-23,70
2012-04-24,74
2012-04-25,73
2012-04-26,62
2012-04-27,58
2012-04-28,40
2012-04-29,44
2012-04-30,56
2012-05-01,64
2012-05-02,53
2012-05-03,58
2012-05-04,49
2012-05-05,42
2012-05-06,38
2012-05-07,66
2012-05-08,62
2012-05-09,69
2012-05-10,60
2012-05-11,65
2012-05-12,38
2012-05-13,38
2012-05-14,64
2012-05-15,67
2012-05-16,62
2012-05-17,63
2012-05-18,57
2012-05-19,39
2012-05-20,35
2012-05-21,39
2012-05-22,61
2012-05-23,65
2012-05-24,60
2012-05-25,52
2012-05-26,42
2012-05-27,46
2012-05-28,70
2012-05-29,67
2012-05-30,68
2012-05-31,65
2012-06-01,56
2012-06-02,41
2012-06-03,49
2012-06-04,58
2012-06-05,58
2012-06-06,63
2012-06-07,63
2012-06-08,54
2012-06-09,36
2012-06-10,40
2012-06-11,59
2012-06-12,62
2012-06-13,65
2012-06-14,61
2012-06-15,50
2012-06-16,39
2012-06-17,40
2012-06-18,61
2012-06-19,64
2012-06-20,56
2012-06-21,55
2012-06-22,45
2012-06-23,37
2012-06-24,37
2012-06-25,46
2012-06-26,43
2012-06-27,49
2012-06-28,38
2012-06-29,37
2012-06-30,32
2012-07-01,24
2012-07-02,27
2012-07-03,42
2012-07-04,42
2012-07-05,46
2012-07-06,38
2012-07-07,34
2012-07-08,30
2012-07-09,41
2012-07-10,43
2012-07-11,44
2012-07-12,48
2012-07-13,40
2012-07-14,32
2012-07-15,34
2012-07-16,41
2012-07-17,45
2012-07-18,42
2012-07-19,36
2012-07-20,34
2012-07-21,32
2012-07-22,40
2012-07-23,43
2012-07-24,51
2012-07-25,45
2012-07-26,48
2012-07-27,43
2012-07-28,27
2012-07-29,32
2012-07-30,39
2012-07-31,39
2012-08-01,44
