date,general_label,traffic_rate,total_traffic
2016-11-28,Economy,0.0,0.0
2016-11-29,Economy,0.0,0.0
2016-11-30,Economy,0.0,0.0
2016-12-01,Economy,0.0,0.0
2016-12-02,Economy,0.0,0.0
2016-12-03,Economy,0.0,0.0
2016-12-04,Economy,0.0,0.0
2016-12-05,Economy,0.0,0.0
2016-12-06,Economy,0.0,0.0
2016-12-07,Economy,0.0,0.0
2016-12-08,Economy,0.25,5000.0
2016-12-09,Economy,0.0,0.0
2016-12-10,Economy,0.0,0.0
2016-12-11,Economy,0.0,0.0
2016-12-12,Economy,0.0,0.0
2016-12-13,Economy,0.0,0.0
2016-12-14,Economy,0.0,0.0
2016-12-15,Economy,0.0,0.0
2016-12-16,Economy,0.0,0.0
2016-12-17,Economy,0.0,0.0
2016-12-18,Economy,0.0,0.0
2016-12-19,Economy,0.0,0.0
2016-12-20,Economy,0.0,0.0
2016-12-21,Economy,0.0,0.0
2016-12-22,Economy,0.0,0.0
2016-12-23,Economy,0.0,0.0
2016-12-24,Economy,0.0,0.0
2016-12-25,Economy,0.0,0.0
2016-12-26,Economy,0.0,0.0
2016-12-27,Economy,0.0,0.0
2016-12-28,Economy,0.0,0.0
2016-12-29,Economy,0.0,0.0
2016-12-30,Economy,0.0,0.0
2016-12-31,Economy,0.0,0.0
2017-01-01,Economy,0.0,0.0
2017-01-02,Economy,0.5,10000.0
2017-01-03,Economy,0.0,0.0
2017-01-04,Economy,0.0,0.0
2017-01-05,Economy,0.0,0.0
2017-01-06,Economy,0.0,0.0
2017-01-07,Economy,0.0,0.0
2017-01-08,Economy,0.0,0.0
2017-01-09,Economy,0.0,0.0
2017-01-10,Economy,0.0,0.0
2017-01-11,Economy,0.0,0.0
2017-01-12,Economy,0.0,0.0
2017-01-13,Economy,0.0,0.0
2017-01-14,Economy,0.0,0.0
2017-01-15,Economy,0.0,0.0
2017-01-16,Economy,0.0,0.0
2017-01-17,Economy,0.0,0.0
2017-01-18,Economy,0.0,0.0
2017-01-19,Economy,0.0,0.0
2017-01-20,Economy,0.0,0.0
2017-01-21,Economy,0.0,0.0
2017-01-22,Economy,0.0,0.0
2017-01-23,Economy,0.0,0.0
2017-01-24,Economy,0.0,0.0
2017-01-25,Economy,0.0,0.0
2017-01-26,Economy,0.0,0.0
2017-01-27,Economy,0.0,0.0
2017-01-28,Economy,0.0,0.0
2017-01-29,Economy,0.0,0.0
2017-01-30,Economy,0.0,0.0
2017-01-31,Economy,0.0,0.0
2017-02-01,Economy,0.0,0.0
2017-02-02,Economy,0.0,0.0
2017-02-03,Economy,0.0,0.0
2017-02-04,Economy,0.0,0.0
2017-02-05,Economy,0.0,0.0
2017-02-06,Economy,0.0,0.0
2017-02-07,Economy,0.0,0.0
2017-02-08,Economy,0.0,0.0
2017-02-09,Economy,0.0,0.0
2017-02-10,Economy,0.0,0.0
2017-02-11,Economy,0.0,0.0
2017-02-12,Economy,0.0,0.0
2017-02-13,Economy,0.0,0.0
2017-02-14,Economy,0.0,0.0
2017-02-15,Economy,0.0,0.0
2017-02-16,Economy,0.0,0.0
2017-02-17,Economy,0.25,5000.0
2017-02-18,Economy,0.0,0.0
2017-02-19,Economy,0.0,0.0
2017-02-20,Economy,0.0,0.0
2017-02-21,Economy,0.0,0.0
2017-02-22,Economy,0.0,0.0
2017-02-23,Economy,0.0,0.0
2017-02-24,Economy,0.0,0.0
2017-02-25,Economy,0.0,0.0
2017-02-26,Economy,0.0,0.0
2017-02-27,Economy,0.0,0.0
2017-02-28,Economy,0.0,0.0
2017-03-01,Economy,0.0,0.0
2017-03-02,Economy,0.0,0.0
2017-03-03,Economy,0.0,0.0
2017-03-04,Economy,0.0,0.0
2017-03-05,Economy,0.0,0.0
2017-03-06,Economy,0.0,0.0
2017-03-07,Economy,0.0,0.0
2017-03-08,Economy,0.0,0.0
2017-03-09,Economy,0.0,0.0
2017-03-10,Economy,0.0,0.0
2017-03-11,Economy,0.0,0.0
2017-03-12,Economy,0.0,0.0
2017-03-13,Economy,0.0,0.0
2017-03-14,Economy,0.0,0.0
2017-03-15,Economy,0.0,0.0
2017-03-16,Economy,0.0,0.0
2017-03-17,Economy,0.0,0.0
2017-03-18,Economy,0.0,0.0
2017-03-19,Economy,0.0,0.0
2017-03-20,Economy,0.0,0.0
2017-03-21,Economy,0.0,0.0
2017-03-22,Economy,0.0,0.0
2017-03-23,Economy,0.0,0.0
2017-03-24,Economy,0.0,0.0
2017-03-25,Economy,0.0,0.0
2017-03-26,Economy,0.0,0.0
2017-03-27,Economy,0.0,0.0
2017-03-28,Economy,0.0,0.0
2017-03-29,Economy,0.0,0.0
2017-03-30,Economy,1.0,20000.0
2017-03-31,Economy,0.0,0.0
2017-04-01,Economy,0.0,0.0
2017-04-02,Economy,0.0,0.0
2017-04-03,Economy,0.0,0.0
2017-04-04,Economy,0.0,0.0
2017-04-05,Economy,0.0,0.0
2017-04-06,Economy,0.0,0.0
2017-04-07,Economy,0.0,0.0
2017-04-08,Economy,0.0,0.0
2017-04-09,Economy,0.0,0.0
2017-04-10,Economy,0.0,0.0
2017-04-11,Economy,0.0,0.0
2017-04-12,Economy,0.5,10000.0
2017-04-13,Economy,0.0,0.0
2017-04-14,Economy,0.0,0.0
2017-04-15,Economy,0.0,0.0
2017-04-16,Economy,0.0,0.0
2017-04-17,Economy,0.0,0.0
2017-04-18,Economy,0.0,0.0
2017-04-19,Economy,0.0,0.0
2017-04-20,Economy,0.0,0.0
2017-04-21,Economy,0.0,0.0
2017-04-22,Economy,0.0,0.0
2017-04-23,Economy,0.0,0.0
2017-04-24,Economy,0.0,0.0
2017-04-25,Economy,0.0,0.0
2017-04-26,Economy,0.0,0.0
2017-04-27,Economy,0.0,0.0
2017-04-28,Economy,0.0,0.0
2017-04-29,Economy,0.0,0.0
2017-04-30,Economy,0.0,0.0
2017-05-01,Economy,0.0,0.0
2017-05-02,Economy,0.0,0.0
2017-05-03,Economy,0.0,0.0
2017-05-04,Economy,0.0,0.0
