Category: Arts & Entertainment

Day,Geo: Australia
2015-12-01,77
2015-12-02,75
2015-12-03,73
2015-12-04,82
2015-12-05,90
2015-12-06,87
2015-12-07,78
2015-12-08,78
2015-12-09,79
2015-12-10,81
2015-12-11,79
2015-12-12,87
2015-12-13,83
2015-12-14,74
2015-12-15,79
2015-12-16,80
2015-12-17,81
2015-12-18,84
2015-12-19,90
2015-12-20,92
2015-12-21,82
2015-12-22,82
2015-12-23,79
2015-12-24,79
2015-12-25,83
2015-12-26,89
2015-12-27,87
2015-12-28,78
2015-12-29,76
2015-12-30,79
2015-12-31,82
2016-01-01,97
2016-01-02,93
2016-01-03,90
2016-01-04,76
2016-01-05,82
2016-01-06,74
2016-01-07,77
2016-01-08,78
2016-01-09,85
2016-01-10,81
2016-01-11,91
2016-01-12,84
2016-01-13,78
2016-01-14,87
2016-01-15,88
2016-01-16,88
2016-01-17,85
2016-01-18,74
2016-01-19,80
2016-01-20,77
2016-01-21,74
2016-01-22,84
2016-01-23,91
2016-01-24,82
2016-01-25,81
2016-01-26,83
2016-01-27,73
2016-01-28,77
2016-01-29,82
2016-01-30,91
2016-01-31,85
2016-02-01,74
2016-02-02,75
2016-02-03,68
2016-02-04,77
2016-02-05,80
2016-02-06,83
2016-02-07,86
2016-02-08,77
2016-02-09,69
2016-02-10,72
2016-02-11,75
2016-02-12,83
2016-02-13,95
2016-02-14,87
2016-02-15,80
2016-02-16,77
2016-02-17,78
2016-02-18,78
2016-02-19,85
2016-02-20,89
2016-02-21,85
2016-02-22,78
2016-02-23,75
2016-02-24,74
2016-02-25,77
2016-02-26,78
2016-02-27,91
2016-02-28,88
2016-02-29,91
2016-03-01,79
2016-03-02,75
2016-03-03,80
2016-03-04,78
2016-03-05,83
2016-03-06,88
2016-03-07,73
2016-03-08,75
2016-03-09,74
2016-03-10,81
2016-03-11,83
2016-03-12,88
2016-03-13,87
2016-03-14,78
2016-03-15,75
2016-03-16,79
2016-03-17,76
2016-03-18,84
2016-03-19,87
2016-03-20,85
2016-03-21,77
2016-03-22,69
2016-03-23,77
2016-03-24,84
2016-03-25,100
2016-03-26,91
2016-03-27,92
2016-03-28,83
2016-03-29,79
2016-03-30,77
2016-03-31,80
2016-04-01,84
2016-04-02,93
2016-04-03,89
2016-04-04,80
2016-04-05,77
2016-04-06,77
2016-04-07,77
2016-04-08,86
2016-04-09,87
2016-04-10,84
2016-04-11,76
2016-04-12,83
2016-04-13,76
2016-04-14,76
2016-04-15,84
2016-04-16,90
2016-04-17,87
2016-04-18,79
2016-04-19,81
2016-04-20,78
2016-04-21,84
2016-04-22,85
2016-04-23,92
2016-04-24,89
2016-04-25,86
2016-04-26,78
2016-04-27,77
2016-04-28,79
2016-04-29,85
2016-04-30,97
2016-05-01,93
2016-05-02,79
2016-05-03,78
2016-05-04,82
2016-05-05,81
2016-05-06,83
2016-05-07,93
2016-05-08,91
2016-05-09,83
2016-05-10,78
2016-05-11,76
2016-05-12,79
2016-05-13,80
2016-05-14,95
2016-05-15,90
2016-05-16,79
2016-05-17,77
2016-05-18,78
2016-05-19,79
2016-05-20,79
2016-05-21,93
2016-05-22,93
2016-05-23,79
2016-05-24,74
2016-05-25,81
2016-05-26,80
2016-05-27,79
2016-05-28,95
2016-05-29,87
2016-05-30,82
2016-05-31,73
2016-06-01,76
2016-06-02,76
2016-06-03,85
2016-06-04,100
2016-06-05,94
2016-06-06,81
2016-06-07,78
2016-06-08,82
2016-06-09,81
2016-06-10,82
2016-06-11,88
2016-06-12,90
2016-06-13,80
2016-06-14,75
2016-06-15,73
2016-06-16,78
2016-06-17,87
2016-06-18,96
2016-06-19,98
2016-06-20,82
2016-06-21,78
2016-06-22,79
2016-06-23,79
2016-06-24,78
2016-06-25,84
2016-06-26,91
2016-06-27,76
2016-06-28,76
2016-06-29,78
2016-06-30,79
2016-07-01,78
2016-07-02,89
2016-07-03,93
2016-07-04,82
2016-07-05,82
2016-07-06,79
2016-07-07,81
2016-07-08,82
2016-07-09,88
2016-07-10,88
2016-07-11,76
2016-07-12,78
2016-07-13,73
2016-07-14,73
2016-07-15,77
2016-07-16,88
2016-07-17,91
2016-07-18,76
2016-07-19,81
2016-07-20,79
2016-07-21,83
2016-07-22,83
2016-07-23,90
2016-07-24,87
2016-07-25,74
2016-07-26,78
2016-07-27,77
2016-07-28,76
2016-07-29,85
2016-07-30,92
2016-07-31,89
2016-08-01,79
