Category: Arts & Enterzztainment

Day,Geo: Australia
2016-08-01,80
2016-08-02,80
2016-08-03,83
2016-08-04,83
2016-08-05,87
2016-08-06,93
2016-08-07,93
2016-08-08,78
2016-08-09,81
2016-08-10,75
2016-08-11,79
2016-08-12,81
2016-08-13,85
2016-08-14,84
2016-08-15,78
2016-08-16,74
2016-08-17,75
2016-08-18,78
2016-08-19,81
2016-08-20,81
2016-08-21,85
2016-08-22,76
2016-08-23,81
2016-08-24,78
2016-08-25,79
2016-08-26,82
2016-08-27,86
2016-08-28,83
2016-08-29,79
2016-08-30,81
2016-08-31,75
2016-09-01,72
2016-09-02,86
2016-09-03,86
2016-09-04,86
2016-09-05,76
2016-09-06,76
2016-09-07,75
2016-09-08,76
2016-09-09,82
2016-09-10,86
2016-09-11,87
2016-09-12,78
2016-09-13,79
2016-09-14,78
2016-09-15,85
2016-09-16,83
2016-09-17,83
2016-09-18,89
2016-09-19,78
2016-09-20,75
2016-09-21,79
2016-09-22,78
2016-09-23,82
2016-09-24,88
2016-09-25,85
2016-09-26,73
2016-09-27,72
2016-09-28,69
2016-09-29,81
2016-09-30,79
2016-10-01,84
2016-10-02,82
2016-10-03,84
2016-10-04,73
2016-10-05,77
2016-10-06,78
2016-10-07,81
2016-10-08,88
2016-10-09,87
2016-10-10,78
2016-10-11,78
2016-10-12,77
2016-10-13,73
2016-10-14,81
2016-10-15,87
2016-10-16,83
2016-10-17,74
2016-10-18,75
2016-10-19,76
2016-10-20,71
2016-10-21,83
2016-10-22,92
2016-10-23,83
2016-10-24,77
2016-10-25,76
2016-10-26,77
2016-10-27,75
2016-10-28,77
2016-10-29,84
2016-10-30,92
2016-10-31,78
2016-11-01,79
2016-11-02,73
2016-11-03,71
2016-11-04,75
2016-11-05,83
2016-11-06,81
2016-11-07,79
2016-11-08,72
2016-11-09,74
2016-11-10,79
2016-11-11,85
2016-11-12,88
2016-11-13,87
2016-11-14,79
2016-11-15,79
2016-11-16,77
2016-11-17,73
2016-11-18,78
2016-11-19,81
2016-11-20,83
2016-11-21,79
2016-11-22,75
2016-11-23,77
2016-11-24,76
2016-11-25,74
2016-11-26,78
2016-11-27,81
2016-11-28,72
2016-11-29,69
2016-11-30,68
2016-12-01,76
2016-12-02,72
2016-12-03,80
2016-12-04,78
2016-12-05,72
2016-12-06,74
2016-12-07,74
2016-12-08,76
2016-12-09,74
2016-12-10,79
2016-12-11,73
2016-12-12,75
2016-12-13,72
2016-12-14,75
2016-12-15,74
2016-12-16,77
2016-12-17,83
2016-12-18,83
2016-12-19,76
2016-12-20,77
2016-12-21,74
2016-12-22,72
2016-12-23,72
2016-12-24,82
2016-12-25,80
2016-12-26,92
2016-12-27,83
2016-12-28,84
2016-12-29,85
2016-12-30,81
2016-12-31,82
2017-01-01,100
