date,instagram,game,song,soccer,film
2012-01-01,1,62,19,9,100
2012-01-02,1,56,16,9,82
2012-01-03,1,55,15,8,67
2012-01-04,1,47,17,9,67
2012-01-05,1,53,25,8,64
2012-01-06,1,55,26,8,75
2012-01-07,1,62,23,10,95
2012-01-08,1,58,20,12,81
2012-01-09,1,49,16,9,63
2012-01-10,1,49,17,8,65
2012-01-11,1,51,16,8,64
2012-01-12,1,51,16,8,63
2012-01-13,1,58,18,8,75
2012-01-14,1,60,20,11,90
2012-01-15,2,57,18,10,82
2012-01-16,1,53,15,9,60
2012-01-17,1,52,15,8,58
2012-01-18,1,50,15,8,52
2012-01-19,1,51,16,8,56
2012-01-20,1,58,18,8,64
2012-01-21,1,64,25,12,83
2012-01-22,1,54,31,12,67
2012-01-23,1,51,21,8,54
2012-01-24,1,51,16,8,54
2012-01-25,1,59,17,9,65
2012-01-26,1,58,20,8,72
2012-01-27,1,58,17,9,68
2012-01-28,1,59,19,13,88
2012-01-29,1,54,17,11,70
2012-01-30,1,46,14,10,54
2012-01-31,1,49,15,12,57
2012-02-01,1,49,15,12,49
2012-02-02,1,52,14,12,54
2012-02-03,1,66,19,11,63
2012-02-04,2,71,21,15,79
2012-02-05,2,58,18,13,65
2012-02-06,1,43,14,11,48
2012-02-07,2,47,15,10,47
2012-02-08,2,48,16,10,44
2012-02-09,1,49,15,10,51
2012-02-10,1,61,17,11,63
2012-02-11,2,68,20,16,83
2012-02-12,2,57,17,13,65
2012-02-13,2,45,15,11,44
2012-02-14,2,50,15,10,46
2012-02-15,2,50,15,10,44
2012-02-16,2,53,15,11,46
2012-02-17,1,64,19,12,60
2012-02-18,2,74,22,13,82
2012-02-19,2,54,17,13,63
2012-02-20,2,47,14,11,46
2012-02-21,2,54,15,11,46
2012-02-22,1,55,15,11,45
2012-02-23,2,56,15,10,44
2012-02-24,2,69,16,10,59
2012-02-25,2,73,19,13,82
2012-02-26,2,59,18,14,67
2012-02-27,2,50,14,11,49
2012-02-28,2,54,15,11,48
2012-02-29,1,58,14,14,46
2012-03-01,1,58,15,13,46
2012-03-02,1,70,17,11,62
2012-03-03,2,75,19,15,87
2012-03-04,2,61,18,14,69
2012-03-05,2,54,14,11,48
2012-03-06,2,55,15,12,44
2012-03-07,1,54,14,12,46
2012-03-08,1,56,15,11,46
2012-03-09,1,73,17,11,62
2012-03-10,2,72,20,14,79
2012-03-11,2,62,18,13,71
2012-03-12,2,56,15,12,52
2012-03-13,2,53,15,11,48
2012-03-14,2,55,15,13,47
2012-03-15,2,56,15,12,46
2012-03-16,2,74,17,13,61
2012-03-17,2,76,21,15,84
2012-03-18,2,63,18,16,65
2012-03-19,2,53,15,13,47
2012-03-20,1,54,14,12,49
2012-03-21,2,56,15,13,49
2012-03-22,1,62,15,13,52
2012-03-23,2,73,17,13,67
2012-03-24,2,73,20,16,82
2012-03-25,2,60,17,14,65
2012-03-26,2,54,15,12,49
2012-03-27,2,56,15,12,49
2012-03-28,2,59,15,13,49
2012-03-29,2,61,17,13,49
2012-03-30,2,77,18,15,58
2012-03-31,2,76,20,18,82
2012-04-01,2,68,18,16,70
2012-04-02,2,60,15,12,51
2012-04-03,2,60,15,11,53
2012-04-04,3,62,16,12,50
2012-04-05,2,76,18,12,64
2012-04-06,3,76,22,12,92
2012-04-07,3,72,21,16,85
2012-04-08,3,69,21,16,96
2012-04-09,5,62,18,14,77
2012-04-10,10,50,16,13,60
2012-04-11,6,54,16,13,58
2012-04-12,4,54,16,13,55
2012-04-13,4,56,19,16,62
2012-04-14,4,62,20,24,83
2012-04-15,4,56,20,20,69
2012-04-16,3,46,18,15,52
2012-04-17,3,49,17,15,49
2012-04-18,3,52,16,14,53
2012-04-19,3,49,16,13,51
2012-04-20,3,60,18,18,62
2012-04-21,3,68,22,22,79
2012-04-22,3,60,20,21,67
2012-04-23,3,50,17,14,50
2012-04-24,3,61,18,13,62
2012-04-25,3,59,18,16,73
2012-04-26,3,50,14,13,49
2012-04-27,3,66,17,19,60
2012-04-28,3,68,21,20,86
2012-04-29,3,57,18,19,70
2012-04-30,3,48,16,16,46
2012-05-01,3,52,16,14,48
2012-05-02,3,53,15,12,46
2012-05-03,3,60,15,14,45
2012-05-04,3,69,18,16,57
2012-05-05,3,77,21,22,79
2012-05-06,3,60,18,21,66
2012-05-07,3,53,16,15,49
2012-05-08,3,57,14,13,42
2012-05-09,3,56,15,12,43
2012-05-10,3,59,17,13,47
2012-05-11,3,73,18,16,58
2012-05-12,3,72,22,19,77
2012-05-13,3,62,19,21,66
2012-05-14,3,54,18,16,43
2012-05-15,3,58,16,12,43
2012-05-16,3,57,15,13,43
2012-05-17,3,62,15,13,47
2012-05-18,3,72,18,16,61
2012-05-19,3,78,22,23,82
2012-05-20,4,62,18,19,66
2012-05-21,3,55,17,14,45
2012-05-22,3,59,16,12,46
2012-05-23,2,66,16,13,46
2012-05-24,3,67,17,13,48
2012-05-25,3,84,19,18,64
2012-05-26,3,76,23,19,80
2012-05-27,3,62,21,17,68
2012-05-28,3,54,18,14,43
2012-05-29,3,56,15,13,48
2012-05-30,3,61,16,13,47
2012-05-31,3,65,16,13,47
2012-06-01,2,76,18,19,58
2012-06-02,3,80,22,23,86
2012-06-03,4,67,18,17,71
2012-06-04,3,62,17,14,52
2012-06-05,3,62,16,12,47
2012-06-06,3,65,16,13,47
2012-06-07,3,65,16,12,51
2012-06-08,3,77,17,20,63
2012-06-09,4,78,21,22,84
2012-06-10,4,74,19,19,92
2012-06-11,4,65,19,18,69
2012-06-12,3,60,15,22,50
2012-06-13,3,68,15,16,46
2012-06-14,3,66,15,17,51
2012-06-15,3,78,17,20,64
2012-06-16,4,74,20,20,86
2012-06-17,4,64,20,18,67
2012-06-18,3,62,16,16,48
2012-06-19,3,63,15,14,50
2012-06-20,3,65,16,14,51
2012-06-21,3,73,16,14,51
2012-06-22,3,87,17,19,64
2012-06-23,4,79,21,22,83
2012-06-24,4,67,18,24,71
2012-06-25,4,67,15,15,55
2012-06-26,4,67,15,12,56
2012-06-27,3,66,15,14,56
2012-06-28,3,77,16,17,57
2012-06-29,3,83,17,16,66
2012-06-30,17,76,19,17,85
2012-07-01,5,69,18,19,80
2012-07-02,4,58,15,13,61
2012-07-03,4,61,15,11,64
2012-07-04,3,67,16,12,58
2012-07-05,4,60,16,11,65
2012-07-06,3,63,18,13,74
2012-07-07,4,67,21,14,88
2012-07-08,4,62,18,13,80
2012-07-09,4,56,15,11,61
2012-07-10,4,59,16,11,63
2012-07-11,3,57,16,10,61
2012-07-12,3,58,17,11,63
2012-07-13,3,64,18,16,71
2012-07-14,4,66,22,16,96
2012-07-15,4,58,20,14,75
2012-07-16,3,52,15,11,53
2012-07-17,3,53,15,11,51
2012-07-18,3,56,16,11,51
2012-07-19,3,57,15,12,54
2012-07-20,4,69,17,15,68
2012-07-21,4,68,20,17,86
2012-07-22,4,59,19,15,75
2012-07-23,4,56,15,12,51
2012-07-24,3,60,15,11,52
2012-07-25,3,64,17,12,50
2012-07-26,3,59,16,13,49
2012-07-27,3,79,17,16,60
2012-07-28,4,91,21,18,76
2012-07-29,4,81,17,15,64
2012-07-30,3,76,15,13,46
2012-07-31,3,74,15,12,46
2012-08-01,4,75,15,12,45
2012-08-02,4,72,16,12,49
2012-08-03,3,87,17,15,57
2012-08-04,4,83,20,19,80
2012-08-05,4,73,18,16,66
2012-08-06,4,64,15,12,47
2012-08-07,3,75,15,12,45
2012-08-08,4,80,16,12,46
2012-08-09,3,81,15,14,45
2012-08-10,4,91,18,23,58
2012-08-11,4,84,20,21,81
2012-08-12,5,71,20,17,68
2012-08-13,4,61,16,13,46
2012-08-14,4,61,16,12,46
2012-08-15,4,61,15,14,49
2012-08-16,4,63,17,13,48
2012-08-17,4,79,18,16,60
2012-08-18,5,79,23,21,83
2012-08-19,5,60,20,18,64
2012-08-20,4,57,17,15,47
2012-08-21,4,59,17,13,46
2012-08-22,4,60,17,12,46
2012-08-23,4,61,15,13,47
2012-08-24,4,80,19,15,59
2012-08-25,4,74,21,20,77
2012-08-26,5,59,20,19,63
2012-08-27,4,51,15,13,47
2012-08-28,4,56,16,12,45
2012-08-29,4,57,17,13,46
2012-08-30,4,59,16,12,48
2012-08-31,4,75,18,16,60
2012-09-01,7,73,22,20,76
2012-09-02,6,60,19,19,66
2012-09-03,4,55,15,13,46
2012-09-04,4,60,15,11,49
2012-09-05,4,61,16,11,46
2012-09-06,4,59,16,12,48
2012-09-07,4,75,19,14,60
2012-09-08,5,71,23,18,81
2012-09-09,5,59,20,15,70
2012-09-10,4,52,16,15,45
2012-09-11,4,56,16,13,46
2012-09-12,4,57,16,11,48
2012-09-13,4,58,17,10,50
2012-09-14,4,74,19,12,62
2012-09-15,5,68,22,20,92
2012-09-16,5,54,19,15,70
2012-09-17,4,54,16,12,53
2012-09-18,4,61,16,12,51
2012-09-19,4,60,17,12,49
2012-09-20,4,68,18,11,54
2012-09-21,4,83,21,12,67
2012-09-22,5,72,23,17,82
2012-09-23,5,55,20,16,76
2012-09-24,5,51,15,10,55
2012-09-25,4,51,17,9,56
2012-09-26,4,48,16,10,55
2012-09-27,4,50,17,9,55
2012-09-28,5,56,20,9,65
2012-09-29,5,64,27,17,81
2012-09-30,5,54,21,13,79
2012-10-01,5,48,19,9,67
2012-10-02,5,45,17,9,51
2012-10-03,5,43,16,10,55
2012-10-04,5,46,17,9,56
2012-10-05,5,49,18,9,67
2012-10-06,5,56,21,13,87
2012-10-07,5,46,18,13,68
2012-10-08,5,42,16,11,48
2012-10-09,4,45,16,10,47
2012-10-10,4,46,16,8,47
2012-10-11,4,50,16,9,52
2012-10-12,5,57,19,11,63
2012-10-13,5,53,21,13,79
2012-10-14,5,47,18,11,63
2012-10-15,4,43,15,10,48
2012-10-16,5,45,16,12,47
2012-10-17,4,45,16,11,47
2012-10-18,4,49,17,8,54
2012-10-19,5,59,20,9,61
2012-10-20,5,59,21,14,78
2012-10-21,6,51,19,12,68
2012-10-22,4,46,17,9,49
2012-10-23,5,50,16,10,47
2012-10-24,4,52,16,10,48
2012-10-25,5,53,17,9,51
2012-10-26,5,62,19,8,63
2012-10-27,6,58,22,12,83
2012-10-28,6,49,19,13,66
2012-10-29,5,49,16,9,45
2012-10-30,5,50,16,9,44
2012-10-31,5,50,16,11,50
2012-11-01,5,53,17,9,47
2012-11-02,5,62,19,9,64
2012-11-03,5,66,21,13,80
2012-11-04,6,51,18,12,68
2012-11-05,5,54,17,9,47
2012-11-06,6,51,16,9,46
2012-11-07,7,48,16,10,45
2012-11-08,8,55,17,10,50
2012-11-09,7,59,18,9,62
2012-11-10,7,58,23,13,82
2012-11-11,7,48,19,12,66
2012-11-12,5,49,17,9,47
2012-11-13,5,51,16,8,48
2012-11-14,6,53,17,10,50
2012-11-15,5,53,17,11,51
2012-11-16,5,66,19,9,66
2012-11-17,7,60,23,13,85
2012-11-18,7,52,18,12,70
2012-11-19,6,49,17,9,49
2012-11-20,5,51,17,8,47
2012-11-21,5,57,17,9,50
2012-11-22,5,56,17,10,50
2012-11-23,5,66,19,9,61
2012-11-24,6,63,20,13,85
2012-11-25,7,54,18,11,69
2012-11-26,5,55,16,8,52
2012-11-27,6,57,17,9,55
2012-11-28,5,60,16,10,55
2012-11-29,6,68,17,9,51
2012-11-30,6,71,19,8,65
2012-12-01,7,68,22,12,83
2012-12-02,6,56,19,12,75
2012-12-03,6,57,16,10,55
2012-12-04,5,63,16,10,55
2012-12-05,5,59,16,10,57
2012-12-06,5,64,17,9,52
2012-12-07,5,70,19,9,63
2012-12-08,6,64,21,11,81
2012-12-09,6,56,19,14,78
2012-12-10,5,60,16,11,57
2012-12-11,6,62,16,9,54
2012-12-12,6,66,17,9,56
2012-12-13,6,66,18,9,54
2012-12-14,6,73,20,8,65
2012-12-15,6,65,21,11,86
2012-12-16,6,57,19,11,73
2012-12-17,5,58,16,8,59
2012-12-18,9,61,16,7,55
2012-12-19,10,55,17,8,58
2012-12-20,6,54,18,8,58
2012-12-21,7,59,21,8,69
2012-12-22,7,60,24,11,85
2012-12-23,7,61,21,11,83
2012-12-24,7,56,26,8,76
2012-12-25,8,53,23,8,97
2012-12-26,7,48,18,11,93
2012-12-27,7,42,16,9,87
2012-12-28,7,43,19,7,89
2012-12-29,7,45,20,11,97
2012-12-30,6,43,19,10,91
2012-12-31,6,44,24,8,81
2013-01-01,8,42,18,12,96
2013-01-02,7,38,16,10,76
2013-01-03,6,40,16,9,75
2013-01-04,6,41,19,8,83
2013-01-05,7,47,21,11,99
2013-01-06,7,43,19,12,89
2013-01-07,6,37,16,9,66
2013-01-08,6,38,16,8,67
2013-01-09,6,38,17,9,69
2013-01-10,6,41,17,8,68
2013-01-11,6,40,20,8,78
2013-01-12,6,44,22,12,100
2013-01-13,7,44,19,13,86
2013-01-14,7,36,17,9,63
2013-01-15,6,40,16,9,62
2013-01-16,7,40,16,10,60
2013-01-17,6,39,16,9,62
2013-01-18,7,41,18,9,71
2013-01-19,7,45,21,12,87
2013-01-20,8,40,18,12,79
2013-01-21,8,39,16,10,63
2013-01-22,7,38,15,9,60
2013-01-23,6,38,16,10,59
2013-01-24,6,38,16,10,63
2013-01-25,6,40,18,9,73
2013-01-26,6,43,23,12,91
2013-01-27,7,46,18,12,99
2013-01-28,7,41,16,10,83
2013-01-29,6,34,13,11,58
2013-01-30,5,31,14,12,52
2013-01-31,5,35,16,11,56
2013-02-01,6,42,19,12,72
2013-02-02,7,47,25,15,94
2013-02-03,7,40,19,14,75
2013-02-04,6,33,14,12,51
2013-02-05,6,35,15,11,53
2013-02-06,6,39,16,12,51
2013-02-07,7,38,17,12,51
2013-02-08,9,47,19,11,67
2013-02-09,10,56,23,16,92
2013-02-10,9,44,19,14,74
2013-02-11,7,41,16,12,51
2013-02-12,7,42,16,12,51
2013-02-13,7,46,16,13,52
2013-02-14,7,48,18,12,52
2013-02-15,7,55,20,12,66
2013-02-16,9,58,23,16,91
2013-02-17,9,50,19,14,74
2013-02-18,7,43,16,12,51
2013-02-19,7,44,16,13,52
2013-02-20,8,44,16,12,49
2013-02-21,7,45,16,12,53
2013-02-22,8,55,20,12,64
2013-02-23,9,56,22,15,89
2013-02-24,9,45,18,14,73
2013-02-25,7,41,16,11,49
2013-02-26,7,44,16,11,51
2013-02-27,7,45,16,12,49
2013-02-28,7,46,16,11,52
2013-03-01,8,59,21,11,74
2013-03-02,9,57,21,15,94
2013-03-03,9,48,21,14,74
2013-03-04,7,42,16,12,49
2013-03-05,7,42,17,12,47
2013-03-06,7,43,17,12,49
2013-03-07,7,47,18,12,50
2013-03-08,8,56,19,11,64
2013-03-09,9,58,22,15,85
2013-03-10,10,49,19,15,77
2013-03-11,8,43,16,12,55
2013-03-12,8,45,16,12,49
2013-03-13,8,44,16,13,46
2013-03-14,8,46,16,12,50
2013-03-15,8,53,18,13,61
2013-03-16,10,56,21,16,86
2013-03-17,10,48,19,15,69
2013-03-18,8,43,16,13,48
2013-03-19,8,43,16,12,50
2013-03-20,8,45,16,12,47
2013-03-21,8,47,16,12,50
2013-03-22,8,60,19,16,60
2013-03-23,9,60,22,17,86
2013-03-24,10,46,19,14,66
2013-03-25,9,43,15,12,47
2013-03-26,8,46,16,17,49
2013-03-27,8,51,16,12,51
2013-03-28,9,60,19,12,66
2013-03-29,11,61,23,13,96
2013-03-30,10,54,24,15,87
2013-03-31,12,57,22,14,97
2013-04-01,10,47,18,14,76
2013-04-02,9,40,14,12,54
2013-04-03,9,43,15,12,53
2013-04-04,8,43,16,12,51
2013-04-05,9,50,17,18,61
2013-04-06,10,49,20,19,82
2013-04-07,9,42,18,18,68
2013-04-08,8,40,15,14,49
2013-04-09,8,41,16,13,51
2013-04-10,7,43,17,13,49
2013-04-11,8,44,16,12,53
2013-04-12,8,51,18,16,61
2013-04-13,9,51,23,21,79
2013-04-14,10,43,18,18,65
2013-04-15,8,38,15,13,53
2013-04-16,8,36,15,11,50
