date,film
2012-01-01,100
2012-01-02,84
2012-01-03,68
2012-01-04,66
2012-01-05,64
2012-01-06,74
2012-01-07,95
2012-01-08,82
2012-01-09,63
2012-01-10,65
2012-01-11,64
2012-01-12,62
2012-01-13,72
2012-01-14,92
2012-01-15,80
2012-01-16,62
2012-01-17,58
2012-01-18,55
2012-01-19,56
2012-01-20,66
2012-01-21,83
2012-01-22,70
2012-01-23,56
2012-01-24,53
2012-01-25,65
2012-01-26,72
2012-01-27,68
2012-01-28,90
2012-01-29,69
2012-01-30,53
2012-01-31,56
2012-02-01,58
2012-02-02,53
2012-02-03,65
2012-02-04,79
2012-02-05,69
2012-02-06,48
2012-02-07,48
2012-02-08,48
2012-02-09,51
2012-02-10,66
2012-02-11,84
2012-02-12,65
2012-02-13,46
2012-02-14,48
2012-02-15,46
2012-02-16,45
2012-02-17,61
2012-02-18,83
2012-02-19,64
2012-02-20,46
2012-02-21,47
2012-02-22,46
2012-02-23,47
2012-02-24,59
2012-02-25,82
2012-02-26,61
2012-02-27,51
2012-02-28,47
2012-02-29,48
2012-03-01,46
2012-03-02,62
2012-03-03,87
2012-03-04,68
2012-03-05,49
2012-03-06,45
2012-03-07,44
2012-03-08,47
2012-03-09,58
2012-03-10,81
2012-03-11,68
2012-03-12,49
2012-03-13,46
2012-03-14,49
2012-03-15,47
2012-03-16,59
2012-03-17,84
2012-03-18,68
2012-03-19,47
2012-03-20,49
2012-03-21,49
2012-03-22,53
2012-03-23,67
2012-03-24,82
2012-03-25,67
2012-03-26,49
2012-03-27,51
2012-03-28,49
2012-03-29,48
2012-03-30,59
2012-03-31,84
2012-04-01,68
2012-04-02,54
2012-04-03,53
2012-04-04,53
2012-04-05,67
2012-04-06,91
2012-04-07,86
2012-04-08,95
2012-04-09,82
2012-04-10,62
2012-04-11,59
2012-04-12,56
2012-04-13,65
2012-04-14,85
2012-04-15,69
2012-04-16,52
2012-04-17,52
2012-04-18,53
2012-04-19,51
2012-04-20,62
2012-04-21,81
2012-04-22,69
2012-04-23,55
2012-04-24,62
2012-04-25,74
2012-04-26,50
2012-04-27,62
2012-04-28,84
2012-04-29,71
2012-04-30,47
2012-05-01,46
2012-05-02,46
2012-05-03,48
2012-05-04,58
2012-05-05,81
2012-05-06,66
2012-05-07,51
2012-05-08,41
2012-05-09,43
2012-05-10,49
2012-05-11,59
2012-05-12,79
2012-05-13,67
2012-05-14,45
2012-05-15,42
2012-05-16,46
2012-05-17,48
2012-05-18,61
2012-05-19,84
2012-05-20,66
2012-05-21,44
2012-05-22,46
2012-05-23,45
2012-05-24,49
2012-05-25,64
2012-05-26,73
2012-05-27,68
2012-05-28,48
2012-05-29,46
2012-05-30,47
2012-05-31,46
2012-06-01,61
2012-06-02,89
2012-06-03,71
2012-06-04,52
2012-06-05,48
2012-06-06,49
2012-06-07,52
2012-06-08,64
2012-06-09,88
2012-06-10,90
2012-06-11,69
2012-06-12,52
2012-06-13,49
2012-06-14,51
2012-06-15,67
2012-06-16,86
2012-06-17,70
2012-06-18,49
2012-06-19,49
2012-06-20,50
2012-06-21,53
2012-06-22,65
2012-06-23,84
2012-06-24,73
2012-06-25,53
2012-06-26,57
2012-06-27,57
2012-06-28,56
2012-06-29,68
2012-06-30,88
2012-07-01,86
2012-07-02,62
