date,game
2012-01-01,69
2012-01-02,63
2012-01-03,59
2012-01-04,55
2012-01-05,59
2012-01-06,61
2012-01-07,70
2012-01-08,65
2012-01-09,54
2012-01-10,54
2012-01-11,56
2012-01-12,55
2012-01-13,65
2012-01-14,67
2012-01-15,61
2012-01-16,59
2012-01-17,57
2012-01-18,54
2012-01-19,56
2012-01-20,63
2012-01-21,70
2012-01-22,61
2012-01-23,52
2012-01-24,55
2012-01-25,64
2012-01-26,67
2012-01-27,61
2012-01-28,68
2012-01-29,61
2012-01-30,53
2012-01-31,52
2012-02-01,56
2012-02-02,56
2012-02-03,73
2012-02-04,80
2012-02-05,62
2012-02-06,48
2012-02-07,51
2012-02-08,53
2012-02-09,53
2012-02-10,68
2012-02-11,76
2012-02-12,59
2012-02-13,48
2012-02-14,55
2012-02-15,50
2012-02-16,57
2012-02-17,71
2012-02-18,82
2012-02-19,65
2012-02-20,52
2012-02-21,56
2012-02-22,54
2012-02-23,59
2012-02-24,77
2012-02-25,81
2012-02-26,66
2012-02-27,58
2012-02-28,58
2012-02-29,64
2012-03-01,63
2012-03-02,78
2012-03-03,83
2012-03-04,69
2012-03-05,60
2012-03-06,60
2012-03-07,58
2012-03-08,63
2012-03-09,80
2012-03-10,77
2012-03-11,73
2012-03-12,62
2012-03-13,60
2012-03-14,61
2012-03-15,64
2012-03-16,84
2012-03-17,84
2012-03-18,68
2012-03-19,57
2012-03-20,59
2012-03-21,63
2012-03-22,67
2012-03-23,80
2012-03-24,84
2012-03-25,65
2012-03-26,61
2012-03-27,62
2012-03-28,66
2012-03-29,70
2012-03-30,87
2012-03-31,81
2012-04-01,72
2012-04-02,66
2012-04-03,67
2012-04-04,69
2012-04-05,83
2012-04-06,80
2012-04-07,79
2012-04-08,76
2012-04-09,70
2012-04-10,55
2012-04-11,60
2012-04-12,60
2012-04-13,65
2012-04-14,70
2012-04-15,64
2012-04-16,51
2012-04-17,55
2012-04-18,57
2012-04-19,57
2012-04-20,65
