date,instagram
2012-01-01,7
2012-01-02,5
2012-01-03,6
2012-01-04,5
2012-01-05,6
2012-01-06,6
2012-01-07,7
2012-01-08,8
2012-01-09,6
2012-01-10,6
2012-01-11,6
2012-01-12,6
2012-01-13,5
2012-01-14,7
2012-01-15,8
2012-01-16,7
2012-01-17,7
2012-01-18,7
2012-01-19,7
2012-01-20,6
2012-01-21,7
2012-01-22,6
2012-01-23,7
2012-01-24,7
2012-01-25,7
2012-01-26,6
2012-01-27,6
2012-01-28,7
2012-01-29,7
2012-01-30,7
2012-01-31,7
2012-02-01,7
2012-02-02,6
2012-02-03,7
2012-02-04,9
2012-02-05,9
2012-02-06,7
2012-02-07,8
2012-02-08,9
2012-02-09,7
2012-02-10,8
2012-02-11,9
2012-02-12,9
2012-02-13,9
2012-02-14,8
2012-02-15,9
2012-02-16,8
2012-02-17,7
2012-02-18,10
2012-02-19,10
2012-02-20,8
2012-02-21,9
2012-02-22,8
2012-02-23,8
2012-02-24,8
2012-02-25,9
2012-02-26,11
2012-02-27,10
2012-02-28,8
2012-02-29,8
2012-03-01,7
2012-03-02,8
2012-03-03,10
2012-03-04,11
2012-03-05,9
2012-03-06,9
2012-03-07,7
2012-03-08,7
2012-03-09,8
2012-03-10,9
2012-03-11,13
2012-03-12,10
2012-03-13,9
2012-03-14,9
2012-03-15,8
2012-03-16,8
2012-03-17,10
2012-03-18,12
2012-03-19,8
2012-03-20,7
2012-03-21,8
2012-03-22,8
2012-03-23,8
2012-03-24,11
2012-03-25,12
2012-03-26,9
2012-03-27,8
2012-03-28,9
2012-03-29,8
2012-03-30,9
2012-03-31,11
2012-04-01,12
2012-04-02,9
2012-04-03,13
2012-04-04,19
2012-04-05,13
2012-04-06,19
2012-04-07,14
2012-04-08,18
2012-04-09,29
2012-04-10,56
2012-04-11,35
2012-04-12,26
2012-04-13,20
2012-04-14,23
2012-04-15,22
2012-04-16,17
2012-04-17,17
2012-04-18,17
2012-04-19,15
2012-04-20,14
2012-04-21,20
2012-04-22,20
2012-04-23,16
2012-04-24,16
2012-04-25,16
2012-04-26,17
2012-04-27,14
2012-04-28,16
2012-04-29,19
2012-04-30,14
2012-05-01,14
2012-05-02,14
2012-05-03,16
2012-05-04,16
2012-05-05,16
2012-05-06,20
2012-05-07,15
2012-05-08,15
2012-05-09,16
2012-05-10,14
2012-05-11,13
2012-05-12,18
2012-05-13,17
2012-05-14,16
2012-05-15,14
2012-05-16,14
2012-05-17,14
2012-05-18,16
2012-05-19,17
2012-05-20,20
2012-05-21,17
2012-05-22,17
2012-05-23,13
2012-05-24,13
2012-05-25,14
2012-05-26,17
2012-05-27,18
2012-05-28,14
2012-05-29,14
2012-05-30,15
2012-05-31,14
2012-06-01,14
2012-06-02,17
2012-06-03,21
2012-06-04,17
2012-06-05,15
2012-06-06,14
2012-06-07,15
2012-06-08,17
2012-06-09,19
2012-06-10,20
2012-06-11,19
2012-06-12,17
2012-06-13,15
2012-06-14,15
2012-06-15,15
2012-06-16,21
2012-06-17,19
2012-06-18,17
2012-06-19,16
2012-06-20,16
2012-06-21,15
2012-06-22,16
2012-06-23,20
2012-06-24,22
2012-06-25,19
2012-06-26,20
2012-06-27,18
2012-06-28,16
2012-06-29,17
2012-06-30,100
2012-07-01,27
2012-07-02,22
2012-07-03,20
2012-07-04,18
2012-07-05,20
2012-07-06,18
2012-07-07,19
2012-07-08,23
2012-07-09,19
2012-07-10,20
2012-07-11,18
2012-07-12,19
2012-07-13,18
2012-07-14,22
2012-07-15,22
2012-07-16,18
