Category: Arts & Entertainment

Day,Geo: Canada
2015-03-01,88
2015-03-02,80
2015-03-03,81
2015-03-04,77
2015-03-05,79
2015-03-06,84
2015-03-07,90
2015-03-08,88
2015-03-09,78
2015-03-10,80
2015-03-11,80
2015-03-12,79
2015-03-13,82
2015-03-14,89
2015-03-15,91
2015-03-16,81
2015-03-17,81
2015-03-18,77
2015-03-19,79
2015-03-20,78
2015-03-21,91
2015-03-22,92
2015-03-23,81
2015-03-24,79
2015-03-25,77
2015-03-26,72
2015-03-27,86
2015-03-28,94
2015-03-29,91
2015-03-30,84
2015-03-31,83
2015-04-01,83
2015-04-02,82
2015-04-03,91
2015-04-04,94
2015-04-05,100
2015-04-06,90
2015-04-07,81
2015-04-08,79
2015-04-09,79
2015-04-10,84
2015-04-11,89
2015-04-12,90
2015-04-13,81
2015-04-14,77
2015-04-15,75
2015-04-16,72
2015-04-17,76
2015-04-18,86
2015-04-19,89
2015-04-20,79
2015-04-21,81
2015-04-22,80
2015-04-23,79
2015-04-24,88
2015-04-25,90
2015-04-26,87
2015-04-27,78
2015-04-28,74
2015-04-29,75
2015-04-30,79
2015-05-01,84
2015-05-02,81
2015-05-03,84
2015-05-04,77
2015-05-05,75
2015-05-06,76
2015-05-07,73
2015-05-08,77
2015-05-09,82
2015-05-10,80
2015-05-11,76
2015-05-12,75
2015-05-13,74
2015-05-14,76
2015-05-15,78
2015-05-16,78
2015-05-17,75
2015-05-18,72
2015-05-19,76
2015-05-20,74
2015-05-21,72
2015-05-22,79
2015-05-23,88
2015-05-24,89
2015-05-25,76
2015-05-26,71
2015-05-27,70
2015-05-28,73
2015-05-29,76
2015-05-30,86
2015-05-31,87
2015-06-01,73
2015-06-02,79
2015-06-03,75
2015-06-04,75
2015-06-05,81
2015-06-06,79
2015-06-07,82
2015-06-08,77
2015-06-09,75
2015-06-10,76
2015-06-11,79
2015-06-12,82
2015-06-13,84
2015-06-14,86
2015-06-15,77
2015-06-16,78
2015-06-17,72
2015-06-18,75
2015-06-19,78
2015-06-20,83
2015-06-21,82
2015-06-22,74
2015-06-23,77
2015-06-24,75
2015-06-25,77
2015-06-26,75
2015-06-27,85
2015-06-28,94
2015-06-29,78
2015-06-30,79
2015-07-01,79
2015-07-02,74
2015-07-03,80
2015-07-04,83
2015-07-05,83
2015-07-06,72
2015-07-07,82
2015-07-08,73
2015-07-09,78
2015-07-10,77
2015-07-11,82
2015-07-12,86
2015-07-13,76
2015-07-14,79
2015-07-15,81
2015-07-16,76
2015-07-17,85
2015-07-18,92
2015-07-19,94
2015-07-20,80
2015-07-21,81
2015-07-22,81
2015-07-23,78
2015-07-24,79
2015-07-25,83
2015-07-26,83
2015-07-27,78
2015-07-28,75
2015-07-29,77
2015-07-30,80
2015-07-31,81
2015-08-01,80
2015-08-02,84
2015-08-03,74
2015-08-04,80
2015-08-05,79
2015-08-06,81
2015-08-07,82
2015-08-08,83
2015-08-09,85
2015-08-10,79
2015-08-11,79
2015-08-12,81
2015-08-13,77
2015-08-14,82
2015-08-15,87
2015-08-16,81
2015-08-17,75
2015-08-18,80
2015-08-19,78
2015-08-20,80
2015-08-21,81
2015-08-22,81
2015-08-23,80
2015-08-24,74
2015-08-25,78
2015-08-26,77
2015-08-27,76
2015-08-28,77
2015-08-29,88
2015-08-30,84
2015-08-31,83
2015-09-01,77
2015-09-02,74
2015-09-03,78
2015-09-04,74
2015-09-05,80
2015-09-06,81
2015-09-07,76
2015-09-08,75
2015-09-09,70
2015-09-10,72
2015-09-11,78
2015-09-12,86
2015-09-13,86
2015-09-14,75
2015-09-15,73
2015-09-16,74
2015-09-17,75
2015-09-18,79
2015-09-19,88
2015-09-20,87
2015-09-21,75
2015-09-22,76
2015-09-23,75
2015-09-24,80
2015-09-25,80
2015-09-26,86
2015-09-27,81
2015-09-28,77
2015-09-29,77
2015-09-30,75
2015-10-01,72
