date,film,game,ice_hockey,soccer
2012-01-01,100,78,23,6
2012-01-02,93,61,14,6
2012-01-03,72,57,14,6
2012-01-04,64,58,20,6
2012-01-05,60,55,15,5
2012-01-06,66,55,15,6
2012-01-07,87,65,14,7
2012-01-08,93,61,14,9
2012-01-09,59,45,11,7
2012-01-10,52,48,11,7
2012-01-11,52,42,11,7
2012-01-12,52,48,10,6
2012-01-13,57,50,12,6
2012-01-14,79,65,13,9
2012-01-15,85,64,14,9
2012-01-16,59,46,11,6
2012-01-17,55,48,10,6
2012-01-18,53,49,10,7
2012-01-19,50,48,10,6
2012-01-20,60,53,10,7
2012-01-21,84,66,14,9
2012-01-22,82,69,14,11
2012-01-23,58,48,11,9
2012-01-24,54,47,10,8
2012-01-25,51,50,10,9
2012-01-26,54,50,10,7
2012-01-27,61,58,9,7
2012-01-28,81,69,11,13
2012-01-29,83,73,12,9
2012-01-30,59,51,10,9
2012-01-31,53,46,9,7
2012-02-01,51,49,10,8
2012-02-02,51,49,9,9
2012-02-03,57,56,10,8
2012-02-04,75,63,12,9
2012-02-05,78,65,14,12
2012-02-06,52,45,11,10
2012-02-07,46,45,10,7
2012-02-08,45,45,10,7
2012-02-09,47,47,10,7
2012-02-10,57,53,11,6
2012-02-11,80,68,14,9
2012-02-12,80,64,13,9
2012-02-13,53,45,10,7
2012-02-14,51,43,9,7
2012-02-15,50,48,10,7
2012-02-16,50,49,11,7
2012-02-17,57,52,11,6
2012-02-18,75,66,13,8
2012-02-19,83,66,14,8
2012-02-20,68,55,12,7
2012-02-21,54,47,10,7
2012-02-22,49,50,11,7
2012-02-23,48,47,9,7
2012-02-24,55,54,11,7
2012-02-25,77,67,13,9
2012-02-26,78,66,14,9
2012-02-27,62,47,12,7
2012-02-28,49,46,10,7
2012-02-29,48,46,10,9
2012-03-01,47,47,9,8
2012-03-02,55,49,10,7
2012-03-03,82,66,11,8
2012-03-04,83,63,13,9
2012-03-05,54,49,11,8
2012-03-06,50,46,9,7
2012-03-07,49,50,10,8
2012-03-08,47,48,9,8
2012-03-09,55,55,10,7
2012-03-10,76,62,11,9
2012-03-11,81,59,13,9
2012-03-12,55,48,10,7
2012-03-13,52,47,8,7
