date,film
2012-01-01,100
2012-01-02,92
2012-01-03,70
2012-01-04,65
2012-01-05,61
2012-01-06,67
2012-01-07,86
2012-01-08,89
2012-01-09,59
2012-01-10,53
2012-01-11,51
2012-01-12,53
2012-01-13,60
2012-01-14,81
2012-01-15,85
2012-01-16,59
2012-01-17,53
2012-01-18,51
2012-01-19,50
2012-01-20,58
2012-01-21,84
2012-01-22,84
2012-01-23,60
2012-01-24,54
2012-01-25,51
2012-01-26,52
2012-01-27,60
2012-01-28,81
2012-01-29,87
2012-01-30,58
2012-01-31,53
2012-02-01,50
2012-02-02,51
2012-02-03,57
2012-02-04,79
2012-02-05,77
2012-02-06,52
2012-02-07,48
2012-02-08,48
2012-02-09,50
2012-02-10,55
2012-02-11,79
2012-02-12,82
2012-02-13,52
2012-02-14,52
2012-02-15,49
2012-02-16,49
2012-02-17,57
2012-02-18,78
2012-02-19,87
2012-02-20,67
2012-02-21,53
2012-02-22,50
2012-02-23,47
2012-02-24,56
2012-02-25,76
2012-02-26,79
2012-02-27,59
2012-02-28,52
2012-02-29,47
2012-03-01,49
2012-03-02,55
2012-03-03,82
2012-03-04,82
2012-03-05,54
2012-03-06,52
2012-03-07,48
2012-03-08,47
2012-03-09,54
2012-03-10,77
2012-03-11,81
2012-03-12,56
2012-03-13,52
2012-03-14,51
2012-03-15,50
2012-03-16,55
2012-03-17,72
2012-03-18,74
2012-03-19,47
2012-03-20,47
2012-03-21,44
2012-03-22,45
2012-03-23,55
2012-03-24,75
2012-03-25,77
2012-03-26,52
2012-03-27,51
2012-03-28,47
2012-03-29,47
2012-03-30,52
2012-03-31,70
2012-04-01,74
2012-04-02,48
2012-04-03,47
2012-04-04,47
2012-04-05,51
2012-04-06,72
2012-04-07,75
2012-04-08,75
2012-04-09,64
2012-04-10,45
2012-04-11,43
2012-04-12,42
2012-04-13,49
2012-04-14,69
2012-04-15,72
2012-04-16,47
2012-04-17,43
2012-04-18,44
2012-04-19,44
2012-04-20,50
2012-04-21,69
2012-04-22,70
2012-04-23,48
2012-04-24,44
2012-04-25,44
2012-04-26,46
2012-04-27,51
2012-04-28,71
2012-04-29,73
2012-04-30,48
2012-05-01,46
2012-05-02,44
2012-05-03,43
2012-05-04,53
2012-05-05,73
2012-05-06,76
2012-05-07,52
2012-05-08,48
2012-05-09,47
2012-05-10,46
2012-05-11,49
2012-05-12,67
2012-05-13,70
2012-05-14,47
2012-05-15,44
2012-05-16,44
2012-05-17,46
2012-05-18,50
2012-05-19,71
2012-05-20,79
2012-05-21,70
2012-05-22,45
2012-05-23,45
2012-05-24,45
2012-05-25,49
2012-05-26,64
2012-05-27,71
2012-05-28,48
2012-05-29,47
2012-05-30,47
2012-05-31,45
2012-06-01,53
2012-06-02,75
2012-06-03,75
2012-06-04,54
2012-06-05,46
2012-06-06,46
2012-06-07,47
2012-06-08,52
2012-06-09,75
2012-06-10,72
2012-06-11,49
2012-06-12,45
2012-06-13,47
2012-06-14,46
2012-06-15,48
2012-06-16,65
2012-06-17,67
2012-06-18,48
2012-06-19,47
2012-06-20,47
2012-06-21,46
2012-06-22,52
2012-06-23,67
2012-06-24,76
2012-06-25,55
2012-06-26,53
2012-06-27,52
2012-06-28,49
2012-06-29,58
2012-06-30,75
2012-07-01,74
2012-07-02,76
2012-07-03,63
2012-07-04,55
2012-07-05,58
2012-07-06,58
2012-07-07,70
2012-07-08,76
2012-07-09,54
2012-07-10,54
2012-07-11,53
2012-07-12,51
2012-07-13,58
2012-07-14,73
2012-07-15,86
2012-07-16,57
2012-07-17,57
2012-07-18,53
2012-07-19,55
2012-07-20,63
2012-07-21,79
2012-07-22,82
2012-07-23,60
2012-07-24,60
2012-07-25,51
2012-07-26,54
2012-07-27,57
2012-07-28,70
2012-07-29,75
2012-07-30,53
2012-07-31,52
2012-08-01,52
2012-08-02,56
2012-08-03,57
2012-08-04,74
2012-08-05,80
2012-08-06,71
2012-08-07,57
2012-08-08,55
2012-08-09,55
2012-08-10,62
2012-08-11,78
2012-08-12,79
2012-08-13,56
2012-08-14,61
2012-08-15,57
2012-08-16,56
2012-08-17,60
2012-08-18,79
2012-08-19,81
2012-08-20,57
2012-08-21,56
2012-08-22,60
2012-08-23,56
2012-08-24,60
2012-08-25,74
2012-08-26,82
2012-08-27,61
2012-08-28,60
2012-08-29,53
2012-08-30,51
2012-08-31,57
2012-09-01,75
2012-09-02,83
2012-09-03,75
2012-09-04,53
2012-09-05,46
2012-09-06,48
2012-09-07,53
2012-09-08,78
2012-09-09,78
2012-09-10,51
2012-09-11,48
2012-09-12,51
2012-09-13,52
2012-09-14,61
2012-09-15,83
2012-09-16,79
2012-09-17,54
2012-09-18,50
2012-09-19,48
2012-09-20,50
2012-09-21,56
2012-09-22,81
2012-09-23,79
2012-09-24,51
2012-09-25,48
2012-09-26,48
2012-09-27,46
2012-09-28,53
2012-09-29,79
2012-09-30,81
2012-10-01,51
2012-10-02,47
2012-10-03,47
2012-10-04,46
2012-10-05,55
2012-10-06,76
2012-10-07,78
2012-10-08,84
2012-10-09,53
2012-10-10,50
2012-10-11,49
2012-10-12,56
2012-10-13,79
2012-10-14,80
2012-10-15,53
2012-10-16,49
2012-10-17,47
2012-10-18,48
2012-10-19,57
2012-10-20,85
2012-10-21,86
