date,game
2012-01-01,100
2012-01-02,82
2012-01-03,70
2012-01-04,70
2012-01-05,71
2012-01-06,69
2012-01-07,79
2012-01-08,79
2012-01-09,56
2012-01-10,59
2012-01-11,59
2012-01-12,60
2012-01-13,63
2012-01-14,82
2012-01-15,79
2012-01-16,57
2012-01-17,59
2012-01-18,61
2012-01-19,57
2012-01-20,64
2012-01-21,84
2012-01-22,86
2012-01-23,60
2012-01-24,60
2012-01-25,61
2012-01-26,64
2012-01-27,75
2012-01-28,89
2012-01-29,95
2012-01-30,65
2012-01-31,59
2012-02-01,63
2012-02-02,66
2012-02-03,68
2012-02-04,82
2012-02-05,83
2012-02-06,57
2012-02-07,56
2012-02-08,57
2012-02-09,59
2012-02-10,66
2012-02-11,83
2012-02-12,79
2012-02-13,55
2012-02-14,54
2012-02-15,60
2012-02-16,60
2012-02-17,69
2012-02-18,85
2012-02-19,83
2012-02-20,67
2012-02-21,58
2012-02-22,60
2012-02-23,60
2012-02-24,67
2012-02-25,81
2012-02-26,81
2012-02-27,59
2012-02-28,58
2012-02-29,55
2012-03-01,60
2012-03-02,63
2012-03-03,83
2012-03-04,79
2012-03-05,61
2012-03-06,59
2012-03-07,62
2012-03-08,62
2012-03-09,68
2012-03-10,78
2012-03-11,76
2012-03-12,59
2012-03-13,60
2012-03-14,59
2012-03-15,59
2012-03-16,62
2012-03-17,76
2012-03-18,74
2012-03-19,52
2012-03-20,54
2012-03-21,53
2012-03-22,55
2012-03-23,61
2012-03-24,77
2012-03-25,75
2012-03-26,55
2012-03-27,57
2012-03-28,55
2012-03-29,58
2012-03-30,61
2012-03-31,74
2012-04-01,73
2012-04-02,53
2012-04-03,57
2012-04-04,56
2012-04-05,62
2012-04-06,79
2012-04-07,79
2012-04-08,71
2012-04-09,65
2012-04-10,53
2012-04-11,55
2012-04-12,57
2012-04-13,62
2012-04-14,74
2012-04-15,73
2012-04-16,53
2012-04-17,54
2012-04-18,55
2012-04-19,62
2012-04-20,64
2012-04-21,81
2012-04-22,82
2012-04-23,59
2012-04-24,57
2012-04-25,56
2012-04-26,59
2012-04-27,67
2012-04-28,75
2012-04-29,73
2012-04-30,56
2012-05-01,56
2012-05-02,52
2012-05-03,56
2012-05-04,60
2012-05-05,70
2012-05-06,75
2012-05-07,51
2012-05-08,58
2012-05-09,55
2012-05-10,56
2012-05-11,61
2012-05-12,73
2012-05-13,72
2012-05-14,52
2012-05-15,54
2012-05-16,55
2012-05-17,59
2012-05-18,64
2012-05-19,73
2012-05-20,74
2012-05-21,66
2012-05-22,53
2012-05-23,52
2012-05-24,51
2012-05-25,58
2012-05-26,70
2012-05-27,67
2012-05-28,53
2012-05-29,54
2012-05-30,53
2012-05-31,56
2012-06-01,63
2012-06-02,73
2012-06-03,74
2012-06-04,58
2012-06-05,55
2012-06-06,55
2012-06-07,61
2012-06-08,67
2012-06-09,79
2012-06-10,78
2012-06-11,57
2012-06-12,61
2012-06-13,61
2012-06-14,62
2012-06-15,66
2012-06-16,69
2012-06-17,74
2012-06-18,59
2012-06-19,62
2012-06-20,63
2012-06-21,67
2012-06-22,66
2012-06-23,71
2012-06-24,74
2012-06-25,59
2012-06-26,64
2012-06-27,63
2012-06-28,63
2012-06-29,61
2012-06-30,69
2012-07-01,72
2012-07-02,61
2012-07-03,54
2012-07-04,53
2012-07-05,52
2012-07-06,55
2012-07-07,63
2012-07-08,67
2012-07-09,53
2012-07-10,51
2012-07-11,54
2012-07-12,54
2012-07-13,54
2012-07-14,63
2012-07-15,67
2012-07-16,56
2012-07-17,55
2012-07-18,53
2012-07-19,56
2012-07-20,54
2012-07-21,64
2012-07-22,65
2012-07-23,53
2012-07-24,53
2012-07-25,53
2012-07-26,56
2012-07-27,70
2012-07-28,79
2012-07-29,85
2012-07-30,70
2012-07-31,67
2012-08-01,69
2012-08-02,78
2012-08-03,75
2012-08-04,93
2012-08-05,92
2012-08-06,81
2012-08-07,71
2012-08-08,70
2012-08-09,73
2012-08-10,74
2012-08-11,86
2012-08-12,84
2012-08-13,69
2012-08-14,68
2012-08-15,66
2012-08-16,66
2012-08-17,63
2012-08-18,78
2012-08-19,74
2012-08-20,60
2012-08-21,60
2012-08-22,58
2012-08-23,62
2012-08-24,62
2012-08-25,76
2012-08-26,75
2012-08-27,62
2012-08-28,61
2012-08-29,60
2012-08-30,60
2012-08-31,60
2012-09-01,72
2012-09-02,77
2012-09-03,70
2012-09-04,54
2012-09-05,50
2012-09-06,51
2012-09-07,56
2012-09-08,76
2012-09-09,76
2012-09-10,53
2012-09-11,50
2012-09-12,52
2012-09-13,54
2012-09-14,63
2012-09-15,74
2012-09-16,78
2012-09-17,52
2012-09-18,57
2012-09-19,55
2012-09-20,55
2012-09-21,63
2012-09-22,73
2012-09-23,80
2012-09-24,54
2012-09-25,58
2012-09-26,56
2012-09-27,55
2012-09-28,59
2012-09-29,76
2012-09-30,80
2012-10-01,53
2012-10-02,55
2012-10-03,57
2012-10-04,59
2012-10-05,65
2012-10-06,83
2012-10-07,88
2012-10-08,83
2012-10-09,56
2012-10-10,58
2012-10-11,56
2012-10-12,61
2012-10-13,82
2012-10-14,81
2012-10-15,56
2012-10-16,59
2012-10-17,60
2012-10-18,58
2012-10-19,65
2012-10-20,82
2012-10-21,84
2012-10-22,56
2012-10-23,60
2012-10-24,56
2012-10-25,59
2012-10-26,68
2012-10-27,78
2012-10-28,84
2012-10-29,60
2012-10-30,57
2012-10-31,59
2012-11-01,61
2012-11-02,70
2012-11-03,81
2012-11-04,88
2012-11-05,61
2012-11-06,60
2012-11-07,59
2012-11-08,62
2012-11-09,65
2012-11-10,92
2012-11-11,86
2012-11-12,67
