Category: Arts & Entertainment

Day,Geo: United States
2012-01-01,77
2012-01-02,67
2012-01-03,63
2012-01-04,64
2012-01-05,63
2012-01-06,67
2012-01-07,70
2012-01-08,69
2012-01-09,61
2012-01-10,62
2012-01-11,62
2012-01-12,62
2012-01-13,67
2012-01-14,75
2012-01-15,69
2012-01-16,68
2012-01-17,61
2012-01-18,62
2012-01-19,60
2012-01-20,66
2012-01-21,73
2012-01-22,73
2012-01-23,62
2012-01-24,61
2012-01-25,61
2012-01-26,64
2012-01-27,66
2012-01-28,73
2012-01-29,66
2012-01-30,60
2012-01-31,59
2012-02-01,62
2012-02-02,63
2012-02-03,63
2012-02-04,71
2012-02-05,71
2012-02-06,66
2012-02-07,64
2012-02-08,64
2012-02-09,63
2012-02-10,65
2012-02-11,72
2012-02-12,100
2012-02-13,78
2012-02-14,66
2012-02-15,62
2012-02-16,63
2012-02-17,67
2012-02-18,73
2012-02-19,75
2012-02-20,68
2012-02-21,65
2012-02-22,61
2012-02-23,62
2012-02-24,65
2012-02-25,72
2012-02-26,72
2012-02-27,69
2012-02-28,63
2012-02-29,64
2012-03-01,60
2012-03-02,63
2012-03-03,70
2012-03-04,66
2012-03-05,60
2012-03-06,60
2012-03-07,58
2012-03-08,63
2012-03-09,65
2012-03-10,71
2012-03-11,68
2012-03-12,60
2012-03-13,62
2012-03-14,59
2012-03-15,60
2012-03-16,63
2012-03-17,75
2012-03-18,67
2012-03-19,61
2012-03-20,63
2012-03-21,61
2012-03-22,64
2012-03-23,65
2012-03-24,70
2012-03-25,70
2012-03-26,60
2012-03-27,60
2012-03-28,63
2012-03-29,63
2012-03-30,64
2012-03-31,67
2012-04-01,69
2012-04-02,63
2012-04-03,63
2012-04-04,63
2012-04-05,66
2012-04-06,74
2012-04-07,67
2012-04-08,66
2012-04-09,62
2012-04-10,55
2012-04-11,62
2012-04-12,61
2012-04-13,64
2012-04-14,69
2012-04-15,69
2012-04-16,60
2012-04-17,62
2012-04-18,63
2012-04-19,63
2012-04-20,63
2012-04-21,68
2012-04-22,66
2012-04-23,60
2012-04-24,62
2012-04-25,62
2012-04-26,59
2012-04-27,65
2012-04-28,72
2012-04-29,68
2012-04-30,63
2012-05-01,69
2012-05-02,62
2012-05-03,64
2012-05-04,67
2012-05-05,72
2012-05-06,66
2012-05-07,61
2012-05-08,62
2012-05-09,64
2012-05-10,61
2012-05-11,64
2012-05-12,67
2012-05-13,66
2012-05-14,61
2012-05-15,60
2012-05-16,61
2012-05-17,64
2012-05-18,67
2012-05-19,67
2012-05-20,68
2012-05-21,62
2012-05-22,61
2012-05-23,63
2012-05-24,64
2012-05-25,63
2012-05-26,66
2012-05-27,67
2012-05-28,60
2012-05-29,58
2012-05-30,60
2012-05-31,60
2012-06-01,60
2012-06-02,70
2012-06-03,68
2012-06-04,62
2012-06-05,60
2012-06-06,62
2012-06-07,62
2012-06-08,63
2012-06-09,68
2012-06-10,64
2012-06-11,59
2012-06-12,60
2012-06-13,61
2012-06-14,62
2012-06-15,65
2012-06-16,70
2012-06-17,66
2012-06-18,59
2012-06-19,64
2012-06-20,61
2012-06-21,59
2012-06-22,64
2012-06-23,70
2012-06-24,68
2012-06-25,60
2012-06-26,62
2012-06-27,62
2012-06-28,64
2012-06-29,69
2012-06-30,70
2012-07-01,69
2012-07-02,66
2012-07-03,66
2012-07-04,63
2012-07-05,62
2012-07-06,67
2012-07-07,69
2012-07-08,71
2012-07-09,63
2012-07-10,64
2012-07-11,64
2012-07-12,66
2012-07-13,65
2012-07-14,72
2012-07-15,72
2012-07-16,63
2012-07-17,64
2012-07-18,62
2012-07-19,65
2012-07-20,72
2012-07-21,75
2012-07-22,75
2012-07-23,65
2012-07-24,62
2012-07-25,68
2012-07-26,65
2012-07-27,67
2012-07-28,69
2012-07-29,68
2012-07-30,58
2012-07-31,60
2012-08-01,61
