Category: Arts & Entertzainment

Day,Geo: United States
2015-12-01,66
2015-12-02,67
2015-12-03,69
2015-12-04,77
2015-12-05,72
2015-12-06,65
2015-12-07,69
2015-12-08,70
2015-12-09,71
2015-12-10,69
2015-12-11,70
2015-12-12,69
2015-12-13,71
2015-12-14,69
2015-12-15,71
2015-12-16,67
2015-12-17,78
2015-12-18,78
2015-12-19,75
2015-12-20,74
2015-12-21,71
2015-12-22,71
2015-12-23,72
2015-12-24,74
2015-12-25,78
2015-12-26,77
2015-12-27,73
2015-12-28,71
2015-12-29,72
2015-12-30,74
2015-12-31,79
2016-01-01,97
2016-01-02,98
2016-01-03,88
2016-01-04,77
2016-01-05,80
2016-01-06,79
2016-01-07,85
2016-01-08,85
2016-01-09,90
2016-01-10,91
2016-01-11,95
2016-01-12,86
2016-01-13,79
2016-01-14,91
2016-01-15,88
2016-01-16,95
2016-01-17,95
2016-01-18,89
2016-01-19,90
2016-01-20,79
2016-01-21,84
2016-01-22,84
2016-01-23,97
2016-01-24,88
2016-01-25,81
2016-01-26,79
2016-01-27,79
2016-01-28,81
2016-01-29,83
2016-01-30,90
2016-01-31,91
2016-02-01,83
2016-02-02,80
2016-02-03,79
2016-02-04,82
2016-02-05,84
2016-02-06,92
2016-02-07,91
2016-02-08,87
2016-02-09,84
2016-02-10,80
2016-02-11,81
2016-02-12,88
2016-02-13,92
2016-02-14,95
2016-02-15,89
2016-02-16,97
2016-02-17,83
2016-02-18,82
2016-02-19,90
2016-02-20,88
2016-02-21,99
2016-02-22,85
2016-02-23,81
2016-02-24,80
2016-02-25,83
2016-02-26,87
2016-02-27,91
2016-02-28,92
2016-02-29,100
2016-03-01,84
2016-03-02,81
2016-03-03,80
2016-03-04,86
2016-03-05,87
2016-03-06,88
2016-03-07,80
2016-03-08,77
2016-03-09,81
2016-03-10,84
2016-03-11,86
2016-03-12,89
2016-03-13,87
2016-03-14,81
2016-03-15,76
2016-03-16,75
2016-03-17,78
2016-03-18,81
2016-03-19,89
2016-03-20,88
2016-03-21,88
2016-03-22,77
2016-03-23,87
2016-03-24,85
2016-03-25,95
2016-03-26,92
2016-03-27,94
2016-03-28,84
2016-03-29,83
2016-03-30,80
2016-03-31,81
2016-04-01,80
2016-04-02,91
2016-04-03,89
2016-04-04,84
2016-04-05,79
2016-04-06,82
2016-04-07,84
2016-04-08,90
2016-04-09,89
2016-04-10,92
2016-04-11,84
2016-04-12,82
2016-04-13,83
2016-04-14,77
2016-04-15,82
2016-04-16,90
2016-04-17,85
2016-04-18,77
2016-04-19,82
2016-04-20,78
2016-04-21,99
2016-04-22,98
2016-04-23,91
2016-04-24,92
2016-04-25,83
2016-04-26,83
2016-04-27,78
2016-04-28,81
2016-04-29,90
2016-04-30,92
2016-05-01,91
2016-05-02,81
2016-05-03,83
2016-05-04,81
2016-05-05,89
2016-05-06,88
2016-05-07,88
2016-05-08,89
2016-05-09,80
2016-05-10,79
2016-05-11,78
2016-05-12,78
2016-05-13,86
2016-05-14,87
2016-05-15,89
2016-05-16,78
2016-05-17,78
2016-05-18,84
2016-05-19,78
2016-05-20,84
2016-05-21,89
2016-05-22,87
2016-05-23,81
2016-05-24,81
2016-05-25,78
2016-05-26,82
2016-05-27,82
2016-05-28,87
2016-05-29,85
2016-05-30,83
2016-05-31,77
2016-06-01,73
2016-06-02,74
2016-06-03,82
2016-06-04,88
2016-06-05,91
2016-06-06,78
2016-06-07,74
2016-06-08,76
2016-06-09,76
2016-06-10,80
2016-06-11,86
2016-06-12,87
2016-06-13,80
2016-06-14,78
2016-06-15,79
2016-06-16,77
2016-06-17,83
2016-06-18,87
2016-06-19,86
2016-06-20,74
2016-06-21,78
2016-06-22,78
2016-06-23,85
2016-06-24,81
2016-06-25,90
2016-06-26,85
2016-06-27,80
2016-06-28,80
2016-06-29,76
2016-06-30,77
2016-07-01,84
2016-07-02,88
2016-07-03,91
2016-07-04,82
2016-07-05,81
2016-07-06,81
2016-07-07,81
2016-07-08,79
2016-07-09,91
2016-07-10,90
2016-07-11,78
2016-07-12,76
2016-07-13,80
2016-07-14,80
2016-07-15,82
2016-07-16,88
2016-07-17,90
2016-07-18,81
2016-07-19,83
2016-07-20,83
2016-07-21,85
2016-07-22,88
2016-07-23,94
2016-07-24,97
2016-07-25,85
2016-07-26,78
2016-07-27,85
2016-07-28,80
2016-07-29,86
2016-07-30,94
2016-07-31,94
2016-08-01,83
