Category: Arts & Entertainment

Day,Geo: United States
2022-04-01,89
2022-04-02,92
2022-04-03,93
2022-04-04,92
2022-04-05,81
2022-04-06,83
2022-04-07,89
2022-04-08,90
2022-04-09,94
2022-04-10,90
2022-04-11,85
2022-04-12,90
2022-04-13,86
2022-04-14,91
2022-04-15,95
2022-04-16,89
2022-04-17,94
2022-04-18,91
2022-04-19,87
2022-04-20,87
2022-04-21,86
2022-04-22,90
2022-04-23,88
2022-04-24,90
2022-04-25,85
2022-04-26,86
2022-04-27,87
2022-04-28,83
2022-04-29,95
2022-04-30,92
2022-05-01,95
2022-05-02,92
2022-05-03,95
2022-05-04,85
2022-05-05,88
2022-05-06,94
2022-05-07,95
2022-05-08,91
2022-05-09,89
2022-05-10,86
2022-05-11,87
2022-05-12,86
2022-05-13,90
2022-05-14,90
2022-05-15,95
2022-05-16,87
2022-05-17,84
2022-05-18,86
2022-05-19,85
2022-05-20,90
2022-05-21,88
2022-05-22,91
2022-05-23,85
2022-05-24,84
2022-05-25,80
2022-05-26,92
2022-05-27,96
2022-05-28,98
2022-05-29,95
2022-05-30,87
2022-05-31,86
2022-06-01,89
2022-06-02,87
2022-06-03,86
2022-06-04,94
2022-06-05,92
2022-06-06,84
2022-06-07,83
2022-06-08,85
2022-06-09,87
2022-06-10,88
2022-06-11,98
2022-06-12,96
2022-06-13,82
2022-06-14,83
2022-06-15,82
2022-06-16,86
2022-06-17,89
2022-06-18,95
2022-06-19,100
2022-06-20,88
2022-06-21,86
2022-06-22,86
2022-06-23,85
2022-06-24,88
2022-06-25,91
2022-06-26,95
2022-06-27,84
2022-06-28,84
2022-06-29,85
2022-06-30,85
2022-07-01,93
2022-07-02,98
2022-07-03,98
2022-07-04,92
2022-07-05,87
2022-07-06,85
2022-07-07,90
2022-07-08,88
2022-07-09,100
2022-07-10,97
2022-07-11,87
2022-07-12,85
2022-07-13,80
2022-07-14,88
2022-07-15,90
2022-07-16,95
2022-07-17,93
2022-07-18,88
2022-07-19,86
2022-07-20,84
2022-07-21,83
2022-07-22,86
2022-07-23,94
2022-07-24,94
2022-07-25,82
2022-07-26,85
2022-07-27,82
2022-07-28,83
2022-07-29,87
2022-07-30,92
2022-07-31,98
2022-08-01,83
2022-08-02,82
2022-08-03,85
2022-08-04,89
2022-08-05,87
2022-08-06,94
2022-08-07,94
2022-08-08,92
2022-08-09,90
2022-08-10,86
2022-08-11,85
2022-08-12,95
2022-08-13,98
2022-08-14,96
2022-08-15,86
2022-08-16,88
2022-08-17,84
2022-08-18,84
2022-08-19,88
2022-08-20,91
2022-08-21,95
2022-08-22,84
2022-08-23,82
2022-08-24,81
2022-08-25,82
2022-08-26,89
2022-08-27,92
2022-08-28,92
2022-08-29,84
2022-08-30,83
2022-08-31,83
2022-09-01,83
2022-09-02,87
2022-09-03,93
2022-09-04,91
2022-09-05,89
2022-09-06,85
2022-09-07,83
2022-09-08,82
2022-09-09,89
2022-09-10,93
2022-09-11,94
2022-09-12,80
2022-09-13,83
2022-09-14,83
2022-09-15,82
2022-09-16,93
2022-09-17,92
2022-09-18,93
2022-09-19,83
2022-09-20,83
2022-09-21,78
2022-09-22,87
2022-09-23,88
2022-09-24,96
2022-09-25,96
2022-09-26,82
2022-09-27,83
2022-09-28,80
2022-09-29,89
2022-09-30,92
2022-10-01,91
2022-10-02,93
2022-10-03,82
2022-10-04,91
2022-10-05,87
2022-10-06,86
2022-10-07,91
2022-10-08,91
2022-10-09,93
2022-10-10,86
2022-10-11,82
2022-10-12,85
2022-10-13,84
2022-10-14,92
2022-10-15,92
2022-10-16,89
2022-10-17,82
2022-10-18,85
2022-10-19,79
2022-10-20,86
2022-10-21,90
2022-10-22,97
2022-10-23,91
2022-10-24,91
2022-10-25,86
2022-10-26,88
2022-10-27,86
2022-10-28,92
2022-10-29,96
2022-10-30,90
2022-10-31,88
2022-11-01,90
2022-11-02,86
2022-11-03,83
2022-11-04,91
2022-11-05,95
2022-11-06,88
2022-11-07,81
2022-11-08,82
2022-11-09,79
2022-11-10,88
2022-11-11,93
2022-11-12,91
2022-11-13,92
2022-11-14,88
2022-11-15,90
2022-11-16,87
2022-11-17,84
2022-11-18,87
2022-11-19,92
2022-11-20,91
2022-11-21,82
2022-11-22,77
2022-11-23,76
2022-11-24,78
2022-11-25,80
2022-11-26,90
2022-11-27,87
2022-11-28,80
2022-11-29,84
2022-11-30,84
2022-12-01,83
