Category: Arts & Entertainment

Day,Geo: United States
2021-01-01,100
2021-01-02,86
2021-01-03,87
2021-01-04,76
2021-01-05,74
2021-01-06,75
2021-01-07,75
2021-01-08,82
2021-01-09,84
2021-01-10,84
2021-01-11,74
2021-01-12,72
2021-01-13,75
2021-01-14,77
2021-01-15,76
2021-01-16,84
2021-01-17,83
2021-01-18,75
2021-01-19,75
2021-01-20,74
2021-01-21,73
2021-01-22,74
2021-01-23,85
2021-01-24,84
2021-01-25,75
2021-01-26,72
2021-01-27,71
2021-01-28,75
2021-01-29,79
2021-01-30,84
2021-01-31,86
2021-02-01,75
2021-02-02,74
2021-02-03,71
2021-02-04,74
2021-02-05,75
2021-02-06,80
2021-02-07,83
2021-02-08,73
2021-02-09,70
2021-02-10,72
2021-02-11,73
2021-02-12,79
2021-02-13,80
2021-02-14,86
2021-02-15,75
2021-02-16,69
2021-02-17,69
2021-02-18,71
2021-02-19,75
2021-02-20,85
2021-02-21,84
2021-02-22,68
2021-02-23,70
2021-02-24,70
2021-02-25,68
2021-02-26,74
2021-02-27,81
2021-02-28,83
2021-03-01,75
2021-03-02,71
2021-03-03,67
2021-03-04,65
2021-03-05,72
2021-03-06,79
2021-03-07,82
2021-03-08,72
2021-03-09,70
2021-03-10,68
2021-03-11,70
2021-03-12,71
2021-03-13,78
2021-03-14,82
2021-03-15,73
2021-03-16,69
2021-03-17,70
2021-03-18,68
2021-03-19,73
2021-03-20,76
2021-03-21,75
2021-03-22,64
2021-03-23,65
2021-03-24,74
2021-03-25,69
2021-03-26,74
2021-03-27,79
2021-03-28,81
2021-03-29,70
2021-03-30,67
2021-03-31,71
2021-04-01,70
2021-04-02,78
2021-04-03,78
2021-04-04,80
2021-04-05,73
2021-04-06,67
2021-04-07,67
2021-04-08,69
2021-04-09,73
2021-04-10,74
2021-04-11,76
2021-04-12,71
2021-04-13,69
2021-04-14,74
2021-04-15,74
2021-04-16,73
2021-04-17,79
2021-04-18,83
2021-04-19,70
2021-04-20,71
2021-04-21,68
2021-04-22,69
2021-04-23,73
2021-04-24,81
2021-04-25,81
2021-04-26,74
2021-04-27,68
2021-04-28,66
2021-04-29,67
2021-04-30,71
2021-05-01,73
2021-05-02,74
2021-05-03,69
2021-05-04,69
2021-05-05,69
2021-05-06,71
2021-05-07,72
2021-05-08,76
2021-05-09,76
2021-05-10,70
2021-05-11,72
2021-05-12,67
2021-05-13,70
2021-05-14,72
2021-05-15,75
2021-05-16,76
2021-05-17,68
2021-05-18,69
2021-05-19,69
2021-05-20,72
2021-05-21,72
2021-05-22,76
2021-05-23,74
2021-05-24,71
2021-05-25,67
2021-05-26,70
2021-05-27,71
2021-05-28,76
2021-05-29,82
2021-05-30,81
2021-05-31,73
2021-06-01,71
2021-06-02,69
2021-06-03,68
2021-06-04,73
2021-06-05,80
2021-06-06,88
2021-06-07,71
2021-06-08,72
2021-06-09,70
2021-06-10,73
2021-06-11,71
2021-06-12,74
2021-06-13,79
2021-06-14,68
2021-06-15,69
2021-06-16,66
2021-06-17,70
2021-06-18,72
2021-06-19,76
2021-06-20,83
2021-06-21,68
2021-06-22,70
2021-06-23,73
2021-06-24,70
2021-06-25,73
2021-06-26,78
2021-06-27,82
2021-06-28,69
2021-06-29,70
2021-06-30,73
2021-07-01,74
2021-07-02,76
2021-07-03,79
2021-07-04,86
2021-07-05,73
2021-07-06,69
2021-07-07,69
2021-07-08,71
2021-07-09,75
2021-07-10,83
2021-07-11,79
2021-07-12,71
2021-07-13,71
2021-07-14,75
2021-07-15,72
2021-07-16,74
2021-07-17,83
2021-07-18,83
2021-07-19,74
2021-07-20,76
2021-07-21,74
2021-07-22,72
2021-07-23,77
2021-07-24,77
2021-07-25,82
2021-07-26,69
2021-07-27,68
2021-07-28,72
2021-07-29,76
2021-07-30,73
2021-07-31,76
2021-08-01,78
