Category: Arts & Entertainment

Day,Geo: United States
2018-08-01,80
2018-08-02,81
2018-08-03,83
2018-08-04,89
2018-08-05,86
2018-08-06,81
2018-08-07,77
2018-08-08,76
2018-08-09,76
2018-08-10,81
2018-08-11,88
2018-08-12,90
2018-08-13,79
2018-08-14,81
2018-08-15,79
2018-08-16,83
2018-08-17,84
2018-08-18,91
2018-08-19,88
2018-08-20,81
2018-08-21,80
2018-08-22,80
2018-08-23,78
2018-08-24,83
2018-08-25,89
2018-08-26,86
2018-08-27,77
2018-08-28,78
2018-08-29,78
2018-08-30,77
2018-08-31,85
2018-09-01,84
2018-09-02,85
2018-09-03,81
2018-09-04,77
2018-09-05,78
2018-09-06,85
2018-09-07,89
2018-09-08,92
2018-09-09,89
2018-09-10,79
2018-09-11,77
2018-09-12,79
2018-09-13,82
2018-09-14,86
2018-09-15,93
2018-09-16,91
2018-09-17,83
2018-09-18,78
2018-09-19,83
2018-09-20,89
2018-09-21,83
2018-09-22,89
2018-09-23,86
2018-09-24,79
2018-09-25,80
2018-09-26,80
2018-09-27,83
2018-09-28,85
2018-09-29,85
2018-09-30,86
2018-10-01,80
2018-10-02,80
2018-10-03,78
2018-10-04,81
2018-10-05,86
2018-10-06,85
2018-10-07,84
2018-10-08,80
2018-10-09,75
2018-10-10,82
2018-10-11,80
2018-10-12,87
2018-10-13,87
2018-10-14,87
2018-10-15,78
2018-10-16,81
2018-10-17,79
2018-10-18,78
2018-10-19,84
2018-10-20,88
2018-10-21,85
2018-10-22,77
2018-10-23,77
2018-10-24,77
2018-10-25,77
2018-10-26,86
2018-10-27,84
2018-10-28,86
2018-10-29,76
2018-10-30,82
2018-10-31,84
2018-11-01,80
2018-11-02,86
2018-11-03,85
2018-11-04,87
2018-11-05,80
2018-11-06,79
2018-11-07,78
2018-11-08,79
2018-11-09,84
2018-11-10,82
2018-11-11,86
2018-11-12,86
2018-11-13,80
2018-11-14,79
2018-11-15,80
2018-11-16,85
2018-11-17,84
2018-11-18,84
2018-11-19,76
2018-11-20,73
2018-11-21,76
2018-11-22,77
2018-11-23,78
2018-11-24,87
2018-11-25,85
2018-11-26,80
2018-11-27,83
2018-11-28,80
2018-11-29,79
2018-11-30,85
2018-12-01,89
2018-12-02,87
2018-12-03,80
2018-12-04,80
2018-12-05,85
2018-12-06,83
2018-12-07,89
2018-12-08,91
2018-12-09,87
2018-12-10,78
2018-12-11,78
2018-12-12,82
2018-12-13,84
2018-12-14,90
2018-12-15,89
2018-12-16,89
2018-12-17,81
2018-12-18,85
2018-12-19,82
2018-12-20,86
2018-12-21,85
2018-12-22,90
2018-12-23,86
2018-12-24,83
2018-12-25,94
2018-12-26,83
2018-12-27,85
2018-12-28,89
2018-12-29,92
2018-12-30,90
2018-12-31,93
2019-01-01,100
2019-01-02,83
2019-01-03,82
2019-01-04,83
2019-01-05,90
2019-01-06,94
2019-01-07,86
2019-01-08,81
2019-01-09,82
2019-01-10,86
2019-01-11,82
2019-01-12,89
2019-01-13,88
2019-01-14,81
2019-01-15,81
2019-01-16,82
2019-01-17,77
2019-01-18,85
2019-01-19,87
2019-01-20,90
2019-01-21,81
2019-01-22,78
2019-01-23,77
2019-01-24,79
2019-01-25,84
2019-01-26,88
2019-01-27,92
2019-01-28,78
2019-01-29,82
2019-01-30,82
2019-01-31,79
2019-02-01,83
2019-02-02,87
2019-02-03,88
2019-02-04,86
2019-02-05,85
2019-02-06,79
2019-02-07,79
2019-02-08,85
2019-02-09,87
2019-02-10,91
2019-02-11,88
2019-02-12,81
2019-02-13,78
2019-02-14,82
2019-02-15,84
2019-02-16,92
2019-02-17,95
2019-02-18,83
2019-02-19,82
2019-02-20,80
2019-02-21,84
2019-02-22,86
2019-02-23,92
2019-02-24,90
2019-02-25,97
2019-02-26,80
2019-02-27,87
2019-02-28,91
2019-03-01,90
2019-03-02,90
2019-03-03,89
2019-03-04,91
2019-03-05,87
2019-03-06,83
2019-03-07,83
2019-03-08,85
2019-03-09,93
2019-03-10,92
2019-03-11,81
2019-03-12,82
2019-03-13,77
2019-03-14,73
2019-03-15,83
2019-03-16,86
2019-03-17,83
2019-03-18,77
2019-03-19,73
2019-03-20,77
2019-03-21,76
2019-03-22,84
2019-03-23,88
2019-03-24,85
2019-03-25,76
2019-03-26,79
2019-03-27,79
2019-03-28,77
2019-03-29,83
2019-03-30,86
2019-03-31,90
2019-04-01,92
