Category: Arts & Entertainment

Day,Geo: United States
2017-05-01,88
2017-05-02,86
2017-05-03,86
2017-05-04,85
2017-05-05,86
2017-05-06,95
2017-05-07,91
2017-05-08,83
2017-05-09,79
2017-05-10,81
2017-05-11,81
2017-05-12,87
2017-05-13,86
2017-05-14,89
2017-05-15,81
2017-05-16,83
2017-05-17,80
2017-05-18,92
2017-05-19,88
2017-05-20,95
2017-05-21,91
2017-05-22,84
2017-05-23,87
2017-05-24,83
2017-05-25,88
2017-05-26,86
2017-05-27,93
2017-05-28,91
2017-05-29,84
2017-05-30,81
2017-05-31,83
2017-06-01,85
2017-06-02,83
2017-06-03,89
2017-06-04,92
2017-06-05,77
2017-06-06,82
2017-06-07,83
2017-06-08,81
2017-06-09,86
2017-06-10,91
2017-06-11,91
2017-06-12,81
2017-06-13,79
2017-06-14,82
2017-06-15,82
2017-06-16,91
2017-06-17,91
2017-06-18,94
2017-06-19,83
2017-06-20,82
2017-06-21,82
2017-06-22,86
2017-06-23,86
2017-06-24,95
2017-06-25,92
2017-06-26,85
2017-06-27,80
2017-06-28,79
2017-06-29,80
2017-06-30,85
2017-07-01,91
2017-07-02,91
2017-07-03,77
2017-07-04,81
2017-07-05,82
2017-07-06,79
2017-07-07,84
2017-07-08,91
2017-07-09,95
2017-07-10,84
2017-07-11,77
2017-07-12,83
2017-07-13,81
2017-07-14,86
2017-07-15,92
2017-07-16,92
2017-07-17,82
2017-07-18,83
2017-07-19,85
2017-07-20,85
2017-07-21,93
2017-07-22,100
2017-07-23,93
2017-07-24,82
2017-07-25,79
2017-07-26,75
2017-07-27,81
2017-07-28,87
2017-07-29,90
2017-07-30,94
2017-07-31,81
2017-08-01,81
2017-08-02,78
2017-08-03,85
2017-08-04,83
2017-08-05,86
2017-08-06,95
2017-08-07,83
2017-08-08,88
2017-08-09,81
2017-08-10,84
2017-08-11,82
2017-08-12,91
2017-08-13,93
2017-08-14,82
2017-08-15,82
2017-08-16,81
2017-08-17,80
2017-08-18,82
2017-08-19,87
2017-08-20,89
2017-08-21,74
2017-08-22,77
2017-08-23,79
2017-08-24,79
2017-08-25,85
2017-08-26,88
2017-08-27,86
2017-08-28,80
2017-08-29,79
2017-08-30,75
2017-08-31,78
2017-09-01,80
2017-09-02,89
2017-09-03,87
2017-09-04,81
2017-09-05,77
2017-09-06,80
2017-09-07,78
2017-09-08,86
2017-09-09,91
2017-09-10,92
2017-09-11,76
2017-09-12,78
2017-09-13,80
2017-09-14,83
2017-09-15,86
2017-09-16,95
2017-09-17,90
2017-09-18,87
2017-09-19,81
2017-09-20,79
2017-09-21,87
2017-09-22,88
2017-09-23,89
2017-09-24,87
2017-09-25,84
2017-09-26,83
2017-09-27,81
2017-09-28,80
2017-09-29,86
2017-09-30,87
2017-10-01,89
2017-10-02,90
2017-10-03,89
2017-10-04,77
2017-10-05,80
2017-10-06,80
2017-10-07,90
2017-10-08,91
2017-10-09,83
2017-10-10,85
2017-10-11,87
2017-10-12,87
2017-10-13,90
2017-10-14,93
2017-10-15,90
2017-10-16,76
2017-10-17,81
2017-10-18,80
2017-10-19,81
2017-10-20,86
2017-10-21,88
2017-10-22,86
2017-10-23,82
2017-10-24,79
2017-10-25,82
2017-10-26,85
2017-10-27,88
2017-10-28,91
2017-10-29,89
2017-10-30,80
2017-10-31,88
2017-11-01,83
2017-11-02,83
2017-11-03,88
2017-11-04,86
2017-11-05,84
2017-11-06,82
2017-11-07,80
2017-11-08,75
2017-11-09,81
2017-11-10,85
2017-11-11,88
2017-11-12,87
2017-11-13,83
2017-11-14,76
2017-11-15,80
2017-11-16,81
2017-11-17,84
2017-11-18,88
2017-11-19,97
2017-11-20,84
2017-11-21,81
2017-11-22,85
2017-11-23,77
2017-11-24,76
2017-11-25,89
2017-11-26,86
2017-11-27,74
2017-11-28,78
2017-11-29,86
2017-11-30,83
2017-12-01,86
