date,general_label,traffic_rate,total_traffic
2016-11-28,Entertainment,0.0,0.0
2016-11-29,Entertainment,0.55,1029000.0
2016-11-30,Entertainment,0.1,45000.0
2016-12-01,Entertainment,0.1,35000.0
2016-12-02,Entertainment,0.1,55000.0
2016-12-03,Entertainment,0.1,21000.0
2016-12-04,Entertainment,0.1,33000.0
2016-12-05,Entertainment,0.1,36000.0
2016-12-06,Entertainment,0.1,44000.0
2016-12-07,Entertainment,0.1,32000.0
2016-12-08,Entertainment,0.0,0.0
2016-12-09,Entertainment,0.1,110000.0
2016-12-10,Entertainment,0.1,31000.0
2016-12-11,Entertainment,0.1,46000.0
2016-12-12,Entertainment,0.1,69000.0
2016-12-13,Entertainment,0.1,41000.0
2016-12-14,Entertainment,0.3,540000.0
2016-12-15,Entertainment,0.1,220000.0
2016-12-16,Entertainment,0.1,67000.0
2016-12-17,Entertainment,0.1,27000.0
2016-12-18,Entertainment,0.1,37000.0
2016-12-19,Entertainment,0.1,107000.0
2016-12-20,Entertainment,0.1,64000.0
2016-12-21,Entertainment,0.1,23000.0
2016-12-22,Entertainment,0.1,11000.0
2016-12-23,Entertainment,0.1,27000.0
2016-12-24,Entertainment,0.1,137000.0
2016-12-25,Entertainment,0.1,172000.0
2016-12-26,Entertainment,0.1,210000.0
2016-12-27,Entertainment,0.1,14000.0
2016-12-28,Entertainment,0.1,42000.0
2016-12-29,Entertainment,0.1,23000.0
2016-12-30,Entertainment,0.1,41000.0
2016-12-31,Entertainment,0.1,76000.0
2017-01-01,Entertainment,0.1,235000.0
2017-01-02,Entertainment,0.1,29000.0
2017-01-03,Entertainment,0.1,19000.0
2017-01-04,Entertainment,0.1,44000.0
2017-01-05,Entertainment,0.1,31000.0
2017-01-06,Entertainment,0.1,74000.0
2017-01-07,Entertainment,0.1,52000.0
2017-01-08,Entertainment,0.1,89000.0
2017-01-09,Entertainment,0.1,110000.0
2017-01-10,Entertainment,0.1,75000.0
2017-01-11,Entertainment,0.1,17000.0
2017-01-12,Entertainment,0.1,68000.0
2017-01-13,Entertainment,0.1,26000.0
2017-01-14,Entertainment,0.1,23000.0
2017-01-15,Entertainment,0.1,22000.0
2017-01-16,Entertainment,0.1,195000.0
2017-01-17,Entertainment,0.1,111000.0
2017-01-18,Entertainment,0.1,38000.0
2017-01-19,Entertainment,0.1,64000.0
2017-01-20,Entertainment,0.25,265000.0
2017-01-21,Entertainment,0.1,124000.0
2017-01-22,Entertainment,0.1,57000.0
2017-01-23,Entertainment,0.1,74000.0
2017-01-24,Entertainment,0.1,106000.0
2017-01-25,Entertainment,0.1,89000.0
2017-01-26,Entertainment,0.3,651000.0
2017-01-27,Entertainment,0.1,30000.0
2017-01-28,Entertainment,0.1,226000.0
2017-01-29,Entertainment,0.1,80000.0
2017-01-30,Entertainment,0.3,598000.0
2017-01-31,Entertainment,0.1,76000.0
2017-02-01,Entertainment,0.1,54000.0
2017-02-02,Entertainment,0.1,113000.0
2017-02-03,Entertainment,0.1,103000.0
2017-02-04,Entertainment,0.1,106000.0
2017-02-05,Entertainment,0.1,137000.0
2017-02-06,Entertainment,0.1,131000.0
2017-02-07,Entertainment,0.1,43000.0
2017-02-08,Entertainment,0.1,24000.0
2017-02-09,Entertainment,0.1,44000.0
2017-02-10,Entertainment,0.1,94000.0
2017-02-11,Entertainment,0.1,22000.0
2017-02-12,Entertainment,0.1,23000.0
2017-02-13,Entertainment,0.1,65000.0
2017-02-14,Entertainment,0.1,32000.0
2017-02-15,Entertainment,0.1,15000.0
2017-02-16,Entertainment,0.1,48000.0
2017-02-17,Entertainment,0.1,37000.0
2017-02-18,Entertainment,0.1,29000.0
2017-02-19,Entertainment,0.1,26000.0
2017-02-20,Entertainment,0.1,29000.0
2017-02-21,Entertainment,0.1,41000.0
2017-02-22,Entertainment,0.1,34000.0
2017-02-23,Entertainment,0.1,38000.0
2017-02-24,Entertainment,0.1,28000.0
2017-02-25,Entertainment,0.1,27000.0
2017-02-26,Entertainment,0.1,54000.0
2017-02-27,Entertainment,0.5,510000.0
2017-02-28,Entertainment,0.1,64000.0
2017-03-01,Entertainment,0.1,34000.0
2017-03-02,Entertainment,0.1,91000.0
2017-03-03,Entertainment,0.1,97000.0
2017-03-04,Entertainment,0.1,52000.0
2017-03-05,Entertainment,0.1,99000.0
2017-03-06,Entertainment,0.1,35000.0
2017-03-07,Entertainment,0.1,32000.0
2017-03-08,Entertainment,0.1,17000.0
2017-03-09,Entertainment,0.1,163000.0
2017-03-10,Entertainment,0.1,63000.0
2017-03-11,Entertainment,0.1,23000.0
2017-03-12,Entertainment,0.1,14000.0
2017-03-13,Entertainment,0.1,53000.0
2017-03-14,Entertainment,0.1,65000.0
2017-03-15,Entertainment,0.1,37000.0
2017-03-16,Entertainment,0.1,144000.0
2017-03-17,Entertainment,0.1,46000.0
2017-03-18,Entertainment,0.1,37000.0
2017-03-19,Entertainment,0.1,112000.0
2017-03-20,Entertainment,0.1,64000.0
2017-03-21,Entertainment,0.1,42000.0
2017-03-22,Entertainment,0.1,24000.0
2017-03-23,Entertainment,0.1,214000.0
2017-03-24,Entertainment,0.1,42000.0
2017-03-25,Entertainment,0.1,89000.0
2017-03-26,Entertainment,0.1,87000.0
2017-03-27,Entertainment,0.1,26000.0
2017-03-28,Entertainment,0.1,59000.0
2017-03-29,Entertainment,0.1,57000.0
2017-03-30,Entertainment,0.1,85000.0
2017-03-31,Entertainment,0.1,26000.0
2017-04-01,Entertainment,0.1,46000.0
2017-04-02,Entertainment,0.1,173000.0
2017-04-03,Entertainment,0.1,38000.0
2017-04-04,Entertainment,0.1,82000.0
2017-04-05,Entertainment,0.1,56000.0
2017-04-06,Entertainment,0.1,80000.0
2017-04-07,Entertainment,0.1,58000.0
2017-04-08,Entertainment,0.1,59000.0
2017-04-09,Entertainment,0.1,59000.0
2017-04-10,Entertainment,0.1,24000.0
2017-04-11,Entertainment,0.1,167000.0
2017-04-12,Entertainment,0.1,63000.0
2017-04-13,Entertainment,0.1,53000.0
2017-04-14,Entertainment,0.1,29000.0
2017-04-15,Entertainment,0.1,5000.0
2017-04-16,Entertainment,0.1,18000.0
2017-04-17,Entertainment,0.1,41000.0
2017-04-18,Entertainment,0.1,23000.0
2017-04-19,Entertainment,0.1,41000.0
2017-04-20,Entertainment,0.1,81000.0
2017-04-21,Entertainment,0.1,27000.0
2017-04-22,Entertainment,0.1,56000.0
2017-04-23,Entertainment,0.1,168000.0
2017-04-24,Entertainment,0.1,100000.0
2017-04-25,Entertainment,0.1,58000.0
2017-04-26,Entertainment,0.1,36000.0
2017-04-27,Entertainment,0.1,20000.0
2017-04-28,Entertainment,0.1,65000.0
2017-04-29,Entertainment,0.1,39000.0
2017-04-30,Entertainment,0.1,64000.0
2017-05-01,Entertainment,0.1,87000.0
2017-05-02,Entertainment,0.1,40000.0
2017-05-03,Entertainment,0.1,70000.0
2017-05-04,Entertainment,0.1,110000.0
