date,general_label,traffic_rate,total_traffic
2016-11-28,Entertainment,0.1,1100000.0
2016-11-29,Entertainment,0.1,500000.0
2016-11-30,Entertainment,0.1,850000.0
2016-12-01,Entertainment,0.1,960000.0
2016-12-02,Entertainment,0.1,650000.0
2016-12-03,Entertainment,0.1,1540000.0
2016-12-04,Entertainment,0.1,2100000.0
2016-12-05,Entertainment,0.1,570000.0
2016-12-06,Entertainment,0.1,870000.0
2016-12-07,Entertainment,0.0,0.0
2016-12-08,Entertainment,0.1,1050000.0
2016-12-09,Entertainment,0.1,920000.0
2016-12-10,Entertainment,0.1,1140000.0
2016-12-11,Entertainment,0.1,3090000.0
2016-12-12,Entertainment,0.1,2750000.0
2016-12-13,Entertainment,0.1,2930000.0
2016-12-14,Entertainment,0.1,1200000.0
2016-12-15,Entertainment,0.1,3770000.0
2016-12-16,Entertainment,0.1,570000.0
2016-12-17,Entertainment,0.1,830000.0
2016-12-18,Entertainment,0.1,4650000.0
2016-12-19,Entertainment,0.1,1310000.0
2016-12-20,Entertainment,0.1,1110000.0
2016-12-21,Entertainment,0.1,570000.0
2016-12-22,Entertainment,0.1,890000.0
2016-12-23,Entertainment,0.1,2530000.0
2016-12-24,Entertainment,0.1,2700000.0
2016-12-25,Entertainment,0.3,12200000.0
2016-12-26,Entertainment,0.1,3040000.0
2016-12-27,Entertainment,0.1,670000.0
2016-12-28,Entertainment,0.1,1380000.0
2016-12-29,Entertainment,0.1,2990000.0
2016-12-30,Entertainment,0.1,820000.0
2016-12-31,Entertainment,0.25,8050000.0
2017-01-01,Entertainment,0.25,8800000.0
2017-01-02,Entertainment,0.1,2070000.0
2017-01-03,Entertainment,0.1,1020000.0
2017-01-04,Entertainment,0.1,370000.0
2017-01-05,Entertainment,0.1,650000.0
2017-01-06,Entertainment,0.1,80000.0
2017-01-07,Entertainment,0.175,5760000.0
2017-01-08,Entertainment,0.175,8700000.0
2017-01-09,Entertainment,0.175,5600000.0
2017-01-10,Entertainment,0.1,550000.0
2017-01-11,Entertainment,0.1,1350000.0
2017-01-12,Entertainment,0.1,490000.0
2017-01-13,Entertainment,0.1,1420000.0
2017-01-14,Entertainment,0.1,2570000.0
2017-01-15,Entertainment,0.1,1250000.0
