Category: Politics

Day,Geo: Australia
2013-04-01,3
2013-04-02,3
2013-04-03,3
2013-04-04,3
2013-04-05,3
2013-04-06,2
2013-04-07,3
2013-04-08,9
2013-04-09,6
2013-04-10,4
2013-04-11,3
2013-04-12,3
2013-04-13,3
2013-04-14,3
2013-04-15,3
2013-04-16,3
2013-04-17,4
2013-04-18,3
2013-04-19,3
2013-04-20,3
2013-04-21,3
2013-04-22,3
2013-04-23,3
2013-04-24,3
2013-04-25,2
2013-04-26,3
2013-04-27,3
2013-04-28,3
2013-04-29,3
2013-04-30,3
2013-05-01,3
2013-05-02,3
2013-05-03,3
2013-05-04,3
2013-05-05,7
2013-05-06,4
2013-05-07,3
2013-05-08,4
2013-05-09,3
2013-05-10,3
2013-05-11,3
2013-05-12,4
2013-05-13,4
2013-05-14,4
2013-05-15,3
2013-05-16,3
2013-05-17,3
2013-05-18,2
2013-05-19,3
2013-05-20,3
2013-05-21,3
2013-05-22,3
2013-05-23,3
2013-05-24,3
2013-05-25,2
2013-05-26,4
2013-05-27,3
2013-05-28,3
2013-05-29,3
2013-05-30,3
2013-05-31,3
2013-06-01,3
2013-06-02,4
2013-06-03,4
2013-06-04,3
2013-06-05,3
2013-06-06,3
2013-06-07,3
2013-06-08,2
2013-06-09,3
2013-06-10,3
2013-06-11,3
2013-06-12,3
2013-06-13,3
2013-06-14,3
2013-06-15,3
2013-06-16,3
2013-06-17,3
2013-06-18,3
2013-06-19,3
2013-06-20,3
2013-06-21,2
2013-06-22,2
2013-06-23,3
2013-06-24,3
2013-06-25,3
2013-06-26,6
2013-06-27,4
2013-06-28,3
2013-06-29,3
2013-06-30,3
2013-07-01,3
2013-07-02,3
2013-07-03,2
2013-07-04,3
2013-07-05,2
2013-07-06,2
2013-07-07,3
2013-07-08,3
2013-07-09,3
2013-07-10,3
2013-07-11,3
2013-07-12,2
2013-07-13,2
2013-07-14,3
2013-07-15,3
2013-07-16,3
2013-07-17,3
2013-07-18,3
2013-07-19,3
2013-07-20,3
2013-07-21,3
2013-07-22,4
2013-07-23,3
2013-07-24,3
2013-07-25,3
2013-07-26,3
2013-07-27,3
2013-07-28,3
2013-07-29,3
2013-07-30,3
2013-07-31,3
2013-08-01,3
2013-08-02,3
2013-08-03,3
2013-08-04,8
2013-08-05,8
2013-08-06,6
2013-08-07,6
2013-08-08,6
2013-08-09,6
2013-08-10,5
2013-08-11,9
2013-08-12,9
2013-08-13,5
2013-08-14,5
2013-08-15,5
2013-08-16,5
2013-08-17,4
2013-08-18,5
2013-08-19,6
2013-08-20,6
2013-08-21,7
2013-08-22,6
2013-08-23,5
2013-08-24,4
2013-08-25,6
2013-08-26,6
2013-08-27,6
2013-08-28,7
2013-08-29,6
2013-08-30,6
2013-08-31,6
2013-09-01,8
2013-09-02,11
2013-09-03,11
2013-09-04,14
2013-09-05,17
2013-09-06,38
2013-09-07,100
2013-09-08,25
2013-09-09,10
2013-09-10,6
2013-09-11,6
2013-09-12,5
2013-09-13,4
2013-09-14,3
2013-09-15,4
2013-09-16,4
2013-09-17,4
2013-09-18,4
2013-09-19,3
2013-09-20,3
2013-09-21,3
2013-09-22,3
2013-09-23,3
2013-09-24,3
2013-09-25,3
2013-09-26,3
2013-09-27,3
2013-09-28,2
2013-09-29,3
2013-09-30,3
2013-10-01,3
2013-10-02,3
2013-10-03,3
2013-10-04,2
2013-10-05,2
2013-10-06,2
2013-10-07,3
2013-10-08,3
2013-10-09,3
2013-10-10,3
2013-10-11,3
2013-10-12,2
2013-10-13,3
2013-10-14,3
2013-10-15,3
2013-10-16,3
2013-10-17,3
2013-10-18,3
2013-10-19,3
2013-10-20,3
2013-10-21,3
2013-10-22,3
2013-10-23,3
2013-10-24,3
2013-10-25,2
2013-10-26,2
2013-10-27,3
2013-10-28,3
2013-10-29,3
2013-10-30,3
2013-10-31,3
2013-11-01,2
2013-11-02,2
2013-11-03,3
2013-11-04,3
2013-11-05,3
2013-11-06,3
2013-11-07,3
2013-11-08,2
2013-11-09,3
2013-11-10,3
2013-11-11,3
2013-11-12,3
2013-11-13,3
2013-11-14,3
2013-11-15,2
2013-11-16,2
2013-11-17,3
2013-11-18,3
2013-11-19,3
2013-11-20,3
2013-11-21,3
2013-11-22,2
2013-11-23,2
2013-11-24,2
2013-11-25,3
2013-11-26,3
2013-11-27,3
2013-11-28,2
2013-11-29,2
2013-11-30,2
2013-12-01,2
