Category: Politics

Day,Geo: Australia
2012-01-01,15
2012-01-02,14
2012-01-03,17
2012-01-04,19
2012-01-05,16
2012-01-06,15
2012-01-07,16
2012-01-08,17
2012-01-09,15
2012-01-10,15
2012-01-11,21
2012-01-12,16
2012-01-13,15
2012-01-14,17
2012-01-15,17
2012-01-16,16
2012-01-17,17
2012-01-18,15
2012-01-19,16
2012-01-20,16
2012-01-21,14
2012-01-22,19
2012-01-23,16
2012-01-24,16
2012-01-25,17
2012-01-26,13
2012-01-27,16
2012-01-28,15
2012-01-29,15
2012-01-30,17
2012-01-31,18
2012-02-01,17
2012-02-02,16
2012-02-03,15
2012-02-04,14
2012-02-05,17
2012-02-06,17
2012-02-07,17
2012-02-08,20
2012-02-09,16
2012-02-10,16
2012-02-11,18
2012-02-12,18
2012-02-13,17
2012-02-14,16
2012-02-15,17
2012-02-16,17
2012-02-17,16
2012-02-18,14
2012-02-19,19
2012-02-20,20
2012-02-21,20
2012-02-22,23
2012-02-23,22
2012-02-24,18
2012-02-25,18
2012-02-26,23
2012-02-27,27
2012-02-28,21
2012-02-29,19
2012-03-01,18
2012-03-02,16
2012-03-03,18
2012-03-04,20
2012-03-05,19
2012-03-06,24
2012-03-07,23
2012-03-08,19
2012-03-09,18
2012-03-10,15
2012-03-11,19
2012-03-12,21
2012-03-13,21
2012-03-14,22
2012-03-15,24
2012-03-16,19
2012-03-17,23
2012-03-18,27
2012-03-19,27
2012-03-20,26
2012-03-21,26
2012-03-22,27
2012-03-23,44
2012-03-24,100
2012-03-25,47
2012-03-26,30
2012-03-27,23
2012-03-28,21
2012-03-29,19
2012-03-30,17
2012-03-31,16
2012-04-01,18
2012-04-02,19
2012-04-03,19
2012-04-04,19
2012-04-05,16
2012-04-06,14
2012-04-07,14
2012-04-08,14
2012-04-09,16
2012-04-10,16
2012-04-11,20
2012-04-12,18
2012-04-13,20
2012-04-14,18
2012-04-15,20
2012-04-16,21
2012-04-17,20
2012-04-18,19
2012-04-19,18
2012-04-20,17
2012-04-21,19
2012-04-22,24
2012-04-23,24
2012-04-24,20
2012-04-25,20
2012-04-26,24
2012-04-27,32
2012-04-28,68
2012-04-29,49
2012-04-30,31
2012-05-01,25
2012-05-02,23
2012-05-03,23
2012-05-04,25
2012-05-05,35
2012-05-06,28
2012-05-07,29
2012-05-08,22
2012-05-09,22
2012-05-10,20
2012-05-11,19
2012-05-12,15
2012-05-13,18
2012-05-14,20
2012-05-15,20
2012-05-16,19
2012-05-17,18
2012-05-18,16
2012-05-19,17
2012-05-20,19
2012-05-21,21
2012-05-22,19
2012-05-23,18
2012-05-24,17
2012-05-25,16
2012-05-26,14
2012-05-27,19
2012-05-28,19
2012-05-29,19
2012-05-30,20
2012-05-31,19
2012-06-01,17
2012-06-02,15
2012-06-03,18
2012-06-04,19
2012-06-05,17
2012-06-06,20
2012-06-07,17
2012-06-08,15
2012-06-09,14
2012-06-10,15
2012-06-11,15
2012-06-12,18
2012-06-13,17
2012-06-14,17
2012-06-15,17
2012-06-16,18
2012-06-17,33
2012-06-18,23
2012-06-19,17
2012-06-20,17
2012-06-21,17
2012-06-22,16
2012-06-23,13
2012-06-24,15
2012-06-25,17
2012-06-26,17
2012-06-27,16
2012-06-28,16
2012-06-29,14
2012-06-30,13
2012-07-01,15
2012-07-02,16
2012-07-03,15
2012-07-04,15
2012-07-05,16
2012-07-06,15
2012-07-07,14
2012-07-08,14
2012-07-09,16
2012-07-10,15
2012-07-11,16
2012-07-12,16
2012-07-13,16
2012-07-14,14
2012-07-15,17
2012-07-16,17
2012-07-17,18
2012-07-18,16
2012-07-19,16
2012-07-20,17
2012-07-21,23
2012-07-22,21
2012-07-23,19
2012-07-24,18
2012-07-25,19
2012-07-26,18
2012-07-27,17
2012-07-28,14
2012-07-29,17
2012-07-30,17
2012-07-31,20
2012-08-01,18
