Category: Politics

Day,Geo: United States
2012-08-01,4
2012-08-02,3
2012-08-03,3
2012-08-04,2
2012-08-05,2
2012-08-06,3
2012-08-07,3
2012-08-08,4
2012-08-09,3
2012-08-10,3
2012-08-11,5
2012-08-12,3
2012-08-13,4
2012-08-14,4
2012-08-15,4
2012-08-16,3
2012-08-17,3
2012-08-18,3
2012-08-19,3
2012-08-20,4
2012-08-21,4
2012-08-22,4
2012-08-23,4
2012-08-24,4
2012-08-25,3
2012-08-26,3
2012-08-27,4
2012-08-28,5
2012-08-29,7
2012-08-30,6
2012-08-31,9
2012-09-01,4
2012-09-02,4
2012-09-03,4
2012-09-04,5
2012-09-05,9
2012-09-06,11
2012-09-07,10
2012-09-08,5
2012-09-09,4
2012-09-10,4
2012-09-11,4
2012-09-12,4
2012-09-13,5
2012-09-14,4
2012-09-15,3
2012-09-16,3
2012-09-17,4
2012-09-18,6
2012-09-19,5
2012-09-20,5
2012-09-21,5
2012-09-22,4
2012-09-23,3
2012-09-24,4
2012-09-25,5
2012-09-26,5
2012-09-27,5
2012-09-28,5
2012-09-29,4
2012-09-30,4
2012-10-01,5
2012-10-02,6
2012-10-03,8
2012-10-04,19
2012-10-05,8
2012-10-06,5
2012-10-07,5
2012-10-08,7
2012-10-09,7
2012-10-10,7
2012-10-11,8
2012-10-12,14
2012-10-13,5
2012-10-14,5
2012-10-15,6
2012-10-16,8
2012-10-17,19
2012-10-18,9
2012-10-19,8
2012-10-20,6
2012-10-21,6
2012-10-22,9
2012-10-23,18
2012-10-24,10
2012-10-25,10
2012-10-26,9
2012-10-27,7
2012-10-28,6
2012-10-29,8
2012-10-30,8
2012-10-31,9
2012-11-01,10
2012-11-02,11
2012-11-03,10
2012-11-04,10
2012-11-05,20
2012-11-06,56
2012-11-07,100
2012-11-08,15
2012-11-09,9
2012-11-10,6
2012-11-11,5
2012-11-12,4
2012-11-13,4
2012-11-14,4
2012-11-15,4
2012-11-16,3
2012-11-17,3
2012-11-18,3
2012-11-19,3
2012-11-20,3
2012-11-21,2
2012-11-22,2
2012-11-23,2
2012-11-24,2
2012-11-25,2
2012-11-26,2
2012-11-27,3
2012-11-28,3
2012-11-29,3
2012-11-30,3
2012-12-01,2
2012-12-02,2
2012-12-03,2
2012-12-04,2
2012-12-05,2
2012-12-06,3
2012-12-07,2
2012-12-08,2
2012-12-09,2
2012-12-10,2
2012-12-11,2
2012-12-12,2
2012-12-13,2
2012-12-14,2
2012-12-15,2
2012-12-16,2
2012-12-17,2
2012-12-18,2
2012-12-19,2
2012-12-20,3
2012-12-21,2
2012-12-22,2
2012-12-23,2
2012-12-24,2
2012-12-25,1
2012-12-26,2
2012-12-27,2
2012-12-28,2
2012-12-29,2
2012-12-30,2
2012-12-31,3
2013-01-01,2
2013-01-02,2
2013-01-03,2
2013-01-04,2
2013-01-05,2
2013-01-06,2
2013-01-07,2
2013-01-08,2
2013-01-09,2
2013-01-10,2
2013-01-11,2
2013-01-12,2
2013-01-13,2
2013-01-14,2
2013-01-15,2
2013-01-16,3
2013-01-17,3
2013-01-18,3
2013-01-19,2
2013-01-20,3
2013-01-21,6
2013-01-22,4
2013-01-23,3
2013-01-24,3
2013-01-25,3
2013-01-26,2
2013-01-27,2
2013-01-28,2
2013-01-29,2
2013-01-30,2
2013-01-31,2
2013-02-01,2
2013-02-02,2
2013-02-03,2
2013-02-04,2
2013-02-05,2
2013-02-06,2
2013-02-07,2
2013-02-08,2
2013-02-09,2
2013-02-10,2
2013-02-11,2
2013-02-12,2
2013-02-13,3
2013-02-14,2
2013-02-15,2
2013-02-16,2
2013-02-17,2
2013-02-18,2
2013-02-19,2
2013-02-20,2
2013-02-21,2
2013-02-22,2
2013-02-23,2
2013-02-24,2
2013-02-25,2
2013-02-26,2
2013-02-27,2
2013-02-28,2
2013-03-01,2
2013-03-02,2
2013-03-03,2
2013-03-04,2
2013-03-05,4
2013-03-06,4
2013-03-07,3
2013-03-08,3
2013-03-09,2
2013-03-10,2
2013-03-11,2
2013-03-12,2
2013-03-13,3
2013-03-14,2
2013-03-15,2
2013-03-16,2
2013-03-17,2
2013-03-18,2
2013-03-19,2
2013-03-20,2
2013-03-21,2
2013-03-22,2
2013-03-23,2
2013-03-24,2
2013-03-25,2
2013-03-26,3
2013-03-27,3
2013-03-28,2
2013-03-29,2
2013-03-30,2
2013-03-31,2
2013-04-01,2
