Category: Politics

Day,Geo: United States
2016-06-01,1
2016-06-02,1
2016-06-03,1
2016-06-04,1
2016-06-05,1
2016-06-06,2
2016-06-07,4
2016-06-08,7
2016-06-09,2
2016-06-10,2
2016-06-11,1
2016-06-12,1
2016-06-13,1
2016-06-14,1
2016-06-15,1
2016-06-16,1
2016-06-17,1
2016-06-18,1
2016-06-19,1
2016-06-20,1
2016-06-21,1
2016-06-22,1
2016-06-23,2
2016-06-24,2
2016-06-25,1
2016-06-26,1
2016-06-27,1
2016-06-28,1
2016-06-29,1
2016-06-30,1
2016-07-01,1
2016-07-02,1
2016-07-03,1
2016-07-04,1
2016-07-05,1
2016-07-06,1
2016-07-07,1
2016-07-08,1
2016-07-09,1
2016-07-10,1
2016-07-11,1
2016-07-12,1
2016-07-13,1
2016-07-14,2
2016-07-15,2
2016-07-16,1
2016-07-17,1
2016-07-18,2
2016-07-19,3
2016-07-20,3
2016-07-21,3
2016-07-22,3
2016-07-23,3
2016-07-24,2
2016-07-25,3
2016-07-26,4
2016-07-27,4
2016-07-28,4
2016-07-29,5
2016-07-30,2
2016-07-31,2
2016-08-01,2
2016-08-02,2
2016-08-03,2
2016-08-04,2
2016-08-05,2
2016-08-06,1
2016-08-07,1
2016-08-08,1
2016-08-09,1
2016-08-10,1
2016-08-11,1
2016-08-12,1
2016-08-13,1
2016-08-14,1
2016-08-15,1
2016-08-16,1
2016-08-17,1
2016-08-18,1
2016-08-19,1
2016-08-20,1
2016-08-21,1
2016-08-22,1
2016-08-23,1
2016-08-24,1
2016-08-25,2
2016-08-26,1
2016-08-27,1
2016-08-28,1
2016-08-29,1
2016-08-30,2
2016-08-31,2
2016-09-01,2
2016-09-02,2
2016-09-03,1
2016-09-04,1
2016-09-05,1
2016-09-06,2
2016-09-07,2
2016-09-08,2
2016-09-09,2
2016-09-10,1
2016-09-11,2
2016-09-12,3
2016-09-13,2
2016-09-14,2
2016-09-15,2
2016-09-16,2
2016-09-17,1
2016-09-18,1
2016-09-19,2
2016-09-20,2
2016-09-21,2
2016-09-22,2
2016-09-23,2
2016-09-24,2
2016-09-25,2
2016-09-26,3
2016-09-27,11
2016-09-28,4
2016-09-29,3
2016-09-30,2
2016-10-01,2
2016-10-02,2
2016-10-03,2
2016-10-04,3
2016-10-05,5
2016-10-06,2
2016-10-07,2
2016-10-08,2
2016-10-09,4
2016-10-10,9
2016-10-11,5
2016-10-12,4
2016-10-13,3
2016-10-14,3
2016-10-15,3
2016-10-16,3
2016-10-17,3
2016-10-18,3
2016-10-19,4
2016-10-20,8
2016-10-21,4
2016-10-22,3
2016-10-23,3
2016-10-24,4
2016-10-25,4
2016-10-26,4
2016-10-27,4
2016-10-28,4
2016-10-29,4
2016-10-30,4
2016-10-31,5
2016-11-01,5
2016-11-02,6
2016-11-03,6
2016-11-04,6
2016-11-05,5
2016-11-06,7
2016-11-07,14
2016-11-08,34
2016-11-09,100
2016-11-10,12
2016-11-11,7
2016-11-12,5
2016-11-13,5
2016-11-14,4
2016-11-15,3
2016-11-16,3
2016-11-17,2
2016-11-18,2
2016-11-19,2
2016-11-20,2
2016-11-21,2
2016-11-22,2
2016-11-23,2
2016-11-24,1
2016-11-25,1
2016-11-26,2
2016-11-27,1
2016-11-28,1
2016-11-29,1
2016-11-30,1
2016-12-01,1
