Category: Politics

Day,Geo: United States
2012-01-01,31
2012-01-02,34
2012-01-03,54
2012-01-04,100
2012-01-05,51
2012-01-06,48
2012-01-07,45
2012-01-08,58
2012-01-09,47
2012-01-10,54
2012-01-11,74
2012-01-12,49
2012-01-13,48
2012-01-14,41
2012-01-15,36
2012-01-16,41
2012-01-17,53
2012-01-18,50
2012-01-19,56
2012-01-20,70
2012-01-21,54
2012-01-22,72
2012-01-23,57
2012-01-24,79
2012-01-25,57
2012-01-26,53
2012-01-27,65
2012-01-28,42
2012-01-29,39
2012-01-30,43
2012-01-31,48
2012-02-01,59
2012-02-02,44
2012-02-03,40
2012-02-04,36
2012-02-05,43
2012-02-06,40
2012-02-07,52
2012-02-08,60
2012-02-09,43
2012-02-10,43
2012-02-11,40
2012-02-12,36
2012-02-13,38
2012-02-14,38
2012-02-15,40
2012-02-16,41
2012-02-17,39
2012-02-18,31
2012-02-19,32
2012-02-20,36
2012-02-21,44
2012-02-22,44
2012-02-23,54
2012-02-24,39
2012-02-25,33
2012-02-26,33
2012-02-27,41
2012-02-28,46
2012-02-29,58
2012-03-01,43
2012-03-02,43
2012-03-03,36
2012-03-04,39
2012-03-05,46
2012-03-06,63
2012-03-07,83
2012-03-08,46
2012-03-09,38
2012-03-10,32
2012-03-11,36
2012-03-12,39
2012-03-13,43
2012-03-14,50
2012-03-15,40
2012-03-16,38
2012-03-17,31
2012-03-18,33
2012-03-19,38
2012-03-20,39
2012-03-21,47
2012-03-22,40
2012-03-23,37
2012-03-24,30
2012-03-25,36
2012-03-26,36
2012-03-27,37
2012-03-28,38
2012-03-29,37
2012-03-30,36
2012-03-31,29
2012-04-01,29
2012-04-02,35
2012-04-03,41
2012-04-04,44
2012-04-05,36
2012-04-06,34
2012-04-07,26
2012-04-08,25
2012-04-09,31
2012-04-10,36
2012-04-11,44
2012-04-12,41
2012-04-13,38
2012-04-14,30
2012-04-15,33
2012-04-16,38
2012-04-17,42
2012-04-18,37
2012-04-19,39
2012-04-20,35
2012-04-21,29
2012-04-22,35
2012-04-23,40
2012-04-24,44
2012-04-25,45
2012-04-26,38
2012-04-27,37
2012-04-28,31
2012-04-29,33
2012-04-30,37
2012-05-01,42
2012-05-02,39
2012-05-03,41
2012-05-04,62
2012-05-05,41
2012-05-06,40
2012-05-07,46
2012-05-08,52
2012-05-09,55
2012-05-10,44
2012-05-11,43
2012-05-12,33
2012-05-13,29
2012-05-14,37
2012-05-15,39
2012-05-16,41
2012-05-17,46
2012-05-18,37
2012-05-19,29
2012-05-20,30
2012-05-21,35
2012-05-22,35
2012-05-23,37
2012-05-24,32
2012-05-25,33
2012-05-26,27
2012-05-27,25
2012-05-28,23
2012-05-29,37
2012-05-30,44
2012-05-31,36
2012-06-01,34
2012-06-02,26
2012-06-03,27
2012-06-04,34
2012-06-05,48
2012-06-06,61
2012-06-07,36
2012-06-08,33
2012-06-09,27
2012-06-10,25
2012-06-11,33
2012-06-12,34
2012-06-13,35
2012-06-14,31
2012-06-15,33
2012-06-16,27
2012-06-17,30
2012-06-18,31
2012-06-19,32
2012-06-20,32
2012-06-21,32
2012-06-22,31
2012-06-23,28
2012-06-24,26
2012-06-25,29
2012-06-26,33
2012-06-27,35
2012-06-28,43
2012-06-29,35
2012-06-30,28
2012-07-01,29
2012-07-02,43
2012-07-03,32
2012-07-04,25
2012-07-05,31
2012-07-06,33
2012-07-07,29
2012-07-08,29
2012-07-09,33
2012-07-10,32
2012-07-11,35
2012-07-12,37
2012-07-13,38
2012-07-14,33
2012-07-15,32
2012-07-16,39
2012-07-17,40
2012-07-18,42
2012-07-19,39
2012-07-20,37
2012-07-21,30
2012-07-22,31
2012-07-23,33
2012-07-24,37
2012-07-25,37
2012-07-26,37
2012-07-27,40
2012-07-28,32
2012-07-29,31
2012-07-30,37
2012-07-31,45
2012-08-01,48
