date,economy
2012-01-01,0
2012-01-02,43
2012-01-03,48
2012-01-04,65
2012-01-05,54
2012-01-06,55
2012-01-07,0
2012-01-08,56
2012-01-09,65
2012-01-10,79
2012-01-11,76
2012-01-12,64
2012-01-13,54
2012-01-14,35
2012-01-15,44
2012-01-16,32
2012-01-17,67
2012-01-18,51
2012-01-19,81
2012-01-20,67
2012-01-21,44
2012-01-22,66
2012-01-23,48
2012-01-24,91
2012-01-25,79
2012-01-26,90
2012-01-27,81
2012-01-28,42
2012-01-29,41
2012-01-30,71
2012-01-31,79
2012-02-01,78
2012-02-02,81
2012-02-03,61
2012-02-04,44
2012-02-05,46
2012-02-06,55
2012-02-07,64
2012-02-08,79
2012-02-09,96
2012-02-10,34
2012-02-11,38
2012-02-12,42
2012-02-13,77
2012-02-14,60
2012-02-15,59
2012-02-16,56
2012-02-17,61
2012-02-18,0
2012-02-19,0
2012-02-20,48
2012-02-21,54
2012-02-22,70
2012-02-23,74
2012-02-24,65
2012-02-25,59
2012-02-26,44
2012-02-27,82
2012-02-28,76
2012-02-29,44
2012-03-01,75
2012-03-02,58
2012-03-03,0
2012-03-04,47
2012-03-05,85
2012-03-06,90
2012-03-07,94
2012-03-08,60
2012-03-09,65
2012-03-10,0
2012-03-11,0
2012-03-12,52
2012-03-13,41
2012-03-14,53
2012-03-15,60
2012-03-16,50
2012-03-17,0
2012-03-18,35
2012-03-19,46
2012-03-20,56
2012-03-21,66
2012-03-22,32
2012-03-23,57
2012-03-24,0
2012-03-25,0
2012-03-26,51
2012-03-27,50
2012-03-28,44
2012-03-29,43
2012-03-30,62
2012-03-31,35
2012-04-01,33
2012-04-02,39
2012-04-03,45
2012-04-04,60
2012-04-05,59
2012-04-06,37
2012-04-07,50
2012-04-08,39
2012-04-09,74
2012-04-10,47
2012-04-11,61
2012-04-12,42
2012-04-13,49
2012-04-14,0
2012-04-15,0
2012-04-16,77
2012-04-17,49
2012-04-18,65
2012-04-19,100
2012-04-20,54
2012-04-21,36
2012-04-22,42
2012-04-23,58
2012-04-24,64
2012-04-25,48
2012-04-26,47
2012-04-27,81
2012-04-28,0
2012-04-29,57
2012-04-30,56
2012-05-01,78
2012-05-02,77
2012-05-03,60
2012-05-04,61
2012-05-05,33
2012-05-06,51
2012-05-07,65
2012-05-08,89
2012-05-09,53
2012-05-10,47
2012-05-11,65
2012-05-12,0
2012-05-13,42
2012-05-14,97
2012-05-15,56
2012-05-16,59
2012-05-17,47
2012-05-18,40
2012-05-19,0
2012-05-20,49
2012-05-21,41
2012-05-22,42
2012-05-23,57
2012-05-24,66
2012-05-25,42
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,70
2012-05-30,35
2012-05-31,51
2012-06-01,49
2012-06-02,40
2012-06-03,44
2012-06-04,43
2012-06-05,46
2012-06-06,35
2012-06-07,50
2012-06-08,40
2012-06-09,0
2012-06-10,51
2012-06-11,0
