date,war
2012-01-01,33
2012-01-02,40
2012-01-03,55
2012-01-04,77
2012-01-05,65
2012-01-06,45
2012-01-07,34
2012-01-08,59
2012-01-09,65
2012-01-10,56
2012-01-11,73
2012-01-12,67
2012-01-13,69
2012-01-14,35
2012-01-15,46
2012-01-16,52
2012-01-17,77
2012-01-18,69
2012-01-19,57
2012-01-20,65
2012-01-21,46
2012-01-22,68
2012-01-23,62
2012-01-24,68
2012-01-25,66
2012-01-26,61
2012-01-27,52
2012-01-28,35
2012-01-29,38
2012-01-30,55
2012-01-31,68
2012-02-01,65
2012-02-02,56
2012-02-03,61
2012-02-04,31
2012-02-05,34
2012-02-06,42
2012-02-07,60
2012-02-08,75
2012-02-09,61
2012-02-10,61
2012-02-11,50
2012-02-12,57
2012-02-13,51
2012-02-14,62
2012-02-15,75
2012-02-16,60
2012-02-17,61
2012-02-18,38
2012-02-19,40
2012-02-20,49
2012-02-21,47
2012-02-22,62
2012-02-23,53
2012-02-24,53
2012-02-25,41
2012-02-26,64
2012-02-27,94
2012-02-28,65
2012-02-29,86
2012-03-01,60
2012-03-02,55
2012-03-03,38
2012-03-04,51
2012-03-05,81
2012-03-06,95
2012-03-07,100
2012-03-08,92
2012-03-09,66
2012-03-10,65
2012-03-11,60
2012-03-12,86
2012-03-13,75
2012-03-14,88
2012-03-15,74
2012-03-16,73
2012-03-17,35
2012-03-18,53
2012-03-19,82
2012-03-20,89
2012-03-21,68
2012-03-22,71
2012-03-23,58
2012-03-24,39
2012-03-25,48
2012-03-26,73
2012-03-27,56
2012-03-28,56
2012-03-29,65
2012-03-30,51
2012-03-31,34
2012-04-01,49
2012-04-02,55
2012-04-03,55
2012-04-04,62
2012-04-05,54
2012-04-06,50
2012-04-07,52
2012-04-08,38
2012-04-09,52
2012-04-10,53
2012-04-11,73
2012-04-12,84
2012-04-13,65
2012-04-14,39
2012-04-15,70
2012-04-16,70
2012-04-17,62
2012-04-18,79
2012-04-19,65
2012-04-20,85
2012-04-21,47
2012-04-22,42
2012-04-23,71
2012-04-24,77
2012-04-25,78
2012-04-26,73
2012-04-27,62
2012-04-28,38
2012-04-29,68
2012-04-30,72
2012-05-01,83
2012-05-02,57
2012-05-03,79
2012-05-04,73
2012-05-05,49
2012-05-06,63
2012-05-07,82
2012-05-08,82
2012-05-09,72
2012-05-10,87
2012-05-11,72
2012-05-12,35
2012-05-13,63
2012-05-14,91
2012-05-15,76
2012-05-16,74
2012-05-17,65
2012-05-18,53
2012-05-19,43
2012-05-20,60
2012-05-21,51
2012-05-22,73
2012-05-23,76
2012-05-24,52
2012-05-25,61
2012-05-26,20
2012-05-27,56
2012-05-28,80
2012-05-29,64
2012-05-30,56
2012-05-31,55
2012-06-01,41
2012-06-02,22
2012-06-03,45
2012-06-04,54
2012-06-05,34
2012-06-06,38
2012-06-07,40
2012-06-08,51
2012-06-09,40
2012-06-10,33
2012-06-11,39
2012-06-12,22
2012-06-13,35
2012-06-14,40
2012-06-15,22
2012-06-16,0
2012-06-17,36
2012-06-18,22
2012-06-19,32
2012-06-20,28
2012-06-21,36
2012-06-22,0
2012-06-23,26
2012-06-24,20
2012-06-25,24
2012-06-26,35
2012-06-27,27
2012-06-28,31
2012-06-29,22
2012-06-30,23
2012-07-01,43
2012-07-02,29
2012-07-03,37
2012-07-04,43
2012-07-05,23
2012-07-06,19
2012-07-07,29
2012-07-08,26
2012-07-09,14
2012-07-10,21
2012-07-11,24
2012-07-12,34
2012-07-13,26
2012-07-14,26
2012-07-15,41
2012-07-16,37
2012-07-17,31
2012-07-18,30
2012-07-19,38
2012-07-20,21
2012-07-21,28
2012-07-22,20
2012-07-23,27
2012-07-24,18
2012-07-25,32
2012-07-26,33
2012-07-27,22
2012-07-28,34
2012-07-29,24
2012-07-30,33
2012-07-31,32
2012-08-01,30
2012-08-02,13
2012-08-03,10
2012-08-04,10
2012-08-05,9
2012-08-06,7
2012-08-07,13
2012-08-08,13
2012-08-09,14
2012-08-10,12
2012-08-11,14
2012-08-12,12
2012-08-13,14
2012-08-14,9
2012-08-15,15
2012-08-16,10
2012-08-17,14
2012-08-18,11
2012-08-19,14
2012-08-20,12
2012-08-21,15
2012-08-22,18
2012-08-23,16
2012-08-24,20
2012-08-25,16
2012-08-26,17
2012-08-27,16
2012-08-28,15
2012-08-29,27
2012-08-30,27
2012-08-31,28
2012-09-01,17
2012-09-02,22
2012-09-03,15
2012-09-04,17
2012-09-05,26
2012-09-06,32
2012-09-07,31
2012-09-08,23
2012-09-09,20
2012-09-10,21
2012-09-11,20
2012-09-12,28
2012-09-13,26
2012-09-14,14
2012-09-15,12
2012-09-16,20
2012-09-17,22
2012-09-18,21
2012-09-19,19
2012-09-20,23
2012-09-21,19
2012-09-22,20
2012-09-23,14
2012-09-24,22
2012-09-25,21
2012-09-26,26
2012-09-27,21
2012-09-28,21
2012-09-29,18
2012-09-30,16
2012-10-01,28
2012-10-02,21
2012-10-03,24
2012-10-04,41
2012-10-05,26
2012-10-06,12
2012-10-07,17
2012-10-08,23
2012-10-09,26
2012-10-10,25
2012-10-11,24
2012-10-12,41
2012-10-13,19
2012-10-14,21
2012-10-15,23
2012-10-16,28
2012-10-17,47
2012-10-18,32
2012-10-19,24
2012-10-20,21
2012-10-21,21
2012-10-22,32
2012-10-23,57
2012-10-24,35
2012-10-25,43
2012-10-26,21
2012-10-27,17
2012-10-28,20
2012-10-29,21
2012-10-30,28
2012-10-31,30
2012-11-01,33
2012-11-02,24
2012-11-03,24
2012-11-04,35
2012-11-05,49
2012-11-06,69
2012-11-07,100
2012-11-08,42
2012-11-09,43
2012-11-10,26
2012-11-11,23
2012-11-12,21
2012-11-13,27
2012-11-14,27
2012-11-15,24
2012-11-16,27
2012-11-17,15
2012-11-18,20
2012-11-19,16
2012-11-20,14
2012-11-21,9
2012-11-22,12
2012-11-23,10
2012-11-24,13
2012-11-25,14
2012-11-26,16
2012-11-27,18
2012-11-28,17
2012-11-29,16
2012-11-30,21
2012-12-01,11
2012-12-02,14
2012-12-03,21
2012-12-04,21
2012-12-05,19
2012-12-06,21
2012-12-07,17
2012-12-08,16
2012-12-09,20
2012-12-10,21
2012-12-11,20
2012-12-12,14
2012-12-13,17
2012-12-14,20
2012-12-15,10
2012-12-16,11
2012-12-17,22
2012-12-18,18
2012-12-19,18
2012-12-20,15
2012-12-21,14
2012-12-22,13
2012-12-23,10
2012-12-24,11
2012-12-25,7
2012-12-26,5
2012-12-27,9
2012-12-28,6
2012-12-29,0
2012-12-30,10
2012-12-31,7
2013-01-01,10
2013-01-02,5
2013-01-03,9
2013-01-04,12
2013-01-05,0
2013-01-06,11
2013-01-07,10
2013-01-08,16
2013-01-09,18
2013-01-10,16
2013-01-11,14
2013-01-12,14
2013-01-13,11
2013-01-14,15
2013-01-15,17
2013-01-16,22
2013-01-17,18
2013-01-18,16
2013-01-19,8
2013-01-20,12
2013-01-21,19
2013-01-22,14
2013-01-23,15
2013-01-24,23
2013-01-25,13
2013-01-26,12
2013-01-27,12
2013-01-28,18
2013-01-29,22
2013-01-30,16
2013-01-31,14
2013-02-01,15
2013-02-02,10
2013-02-03,13
2013-02-04,15
2013-02-05,17
2013-02-06,16
2013-02-07,17
2013-02-08,19
2013-02-09,9
2013-02-10,18
2013-02-11,14
2013-02-12,16
2013-02-13,21
2013-02-14,20
2013-02-15,13
2013-02-16,11
2013-02-17,8
2013-02-18,13
2013-02-19,20
2013-02-20,14
2013-02-21,20
2013-02-22,13
2013-02-23,6
2013-02-24,11
2013-02-25,13
2013-02-26,19
2013-02-27,17
2013-02-28,19
2013-03-01,14
2013-03-02,11
2013-03-03,13
2013-03-04,18
2013-03-05,21
2013-03-06,15
2013-03-07,20
2013-03-08,19
2013-03-09,9
2013-03-10,13
2013-03-11,15
2013-03-12,19
2013-03-13,14
2013-03-14,18
2013-03-15,16
2013-03-16,10
2013-03-17,13
2013-03-18,21
2013-03-19,28
2013-03-20,28
2013-03-21,23
2013-03-22,23
2013-03-23,9
2013-03-24,18
2013-03-25,21
2013-03-26,21
2013-03-27,18
2013-03-28,17
2013-03-29,10
2013-03-30,17
2013-03-31,19
2013-04-01,16
2013-04-02,53
2013-04-03,55
2013-04-04,67
2013-04-05,52
2013-04-06,39
2013-04-07,37
2013-04-08,72
2013-04-09,70
2013-04-10,69
2013-04-11,57
2013-04-12,55
2013-04-13,32
2013-04-14,44
2013-04-15,49
2013-04-16,68
2013-04-17,66
2013-04-18,76
2013-04-19,66
2013-04-20,46
2013-04-21,48
2013-04-22,78
2013-04-23,64
2013-04-24,60
2013-04-25,57
2013-04-26,64
2013-04-27,52
2013-04-28,52
2013-04-29,50
2013-04-30,71
2013-05-01,56
2013-05-02,69
2013-05-03,60
2013-05-04,26
2013-05-05,37
2013-05-06,63
2013-05-07,65
2013-05-08,60
2013-05-09,59
2013-05-10,62
2013-05-11,26
2013-05-12,43
2013-05-13,58
2013-05-14,77
2013-05-15,55
2013-05-16,44
2013-05-17,44
2013-05-18,35
2013-05-19,35
2013-05-20,53
2013-05-21,50
2013-05-22,47
2013-05-23,44
2013-05-24,38
2013-05-25,33
2013-05-26,21
2013-05-27,36
2013-05-28,43
2013-05-29,52
2013-05-30,47
2013-05-31,34
2013-06-01,29
2013-06-02,29
2013-06-03,55
2013-06-04,20
2013-06-05,51
2013-06-06,35
2013-06-07,28
2013-06-08,26
2013-06-09,32
2013-06-10,30
2013-06-11,31
2013-06-12,28
2013-06-13,31
2013-06-14,25
2013-06-15,15
2013-06-16,18
2013-06-17,34
2013-06-18,32
2013-06-19,39
2013-06-20,20
2013-06-21,17
2013-06-22,30
2013-06-23,22
2013-06-24,19
2013-06-25,24
2013-06-26,27
2013-06-27,25
2013-06-28,22
2013-06-29,18
2013-06-30,0
2013-07-01,19
2013-07-02,24
2013-07-03,33
2013-07-04,0
2013-07-05,23
2013-07-06,20
2013-07-07,0
2013-07-08,25
2013-07-09,16
2013-07-10,24
2013-07-11,23
2013-07-12,18
2013-07-13,20
2013-07-14,0
2013-07-15,26
2013-07-16,17
2013-07-17,13
2013-07-18,13
2013-07-19,19
2013-07-20,27
2013-07-21,20
2013-07-22,19
2013-07-23,23
2013-07-24,25
2013-07-25,17
2013-07-26,20
2013-07-27,25
2013-07-28,25
2013-07-29,14
2013-07-30,14
2013-07-31,32
2013-08-01,12
2013-08-02,23
2013-08-03,0
2013-08-04,32
2013-08-05,14
2013-08-06,21
2013-08-07,23
2013-08-08,20
2013-08-09,14
2013-08-10,0
2013-08-11,19
2013-08-12,19
2013-08-13,17
2013-08-14,22
2013-08-15,21
2013-08-16,29
2013-08-17,23
2013-08-18,23
2013-08-19,20
2013-08-20,18
2013-08-21,15
2013-08-22,25
2013-08-23,28
2013-08-24,27
2013-08-25,24
2013-08-26,28
2013-08-27,49
2013-08-28,74
2013-08-29,67
2013-08-30,70
2013-08-31,100
2013-09-01,100
2013-09-02,65
2013-09-03,75
2013-09-04,88
2013-09-05,76
2013-09-06,72
2013-09-07,64
2013-09-08,72
2013-09-09,65
2013-09-10,58
2013-09-11,69
2013-09-12,67
2013-09-13,38
2013-09-14,18
2013-09-15,27
2013-09-16,55
2013-09-17,40
2013-09-18,30
2013-09-19,32
2013-09-20,29
2013-09-21,27
2013-09-22,34
2013-09-23,39
2013-09-24,45
2013-09-25,30
2013-09-26,33
2013-09-27,39
2013-09-28,20
2013-09-29,25
2013-09-30,40
2013-10-01,55
2013-10-02,42
2013-10-03,48
2013-10-04,33
2013-10-05,24
2013-10-06,31
2013-10-07,39
2013-10-08,58
2013-10-09,43
2013-10-10,51
2013-10-11,36
2013-10-12,23
2013-10-13,28
2013-10-14,50
2013-10-15,52
2013-10-16,43
2013-10-17,45
2013-10-18,39
2013-10-19,23
2013-10-20,38
2013-10-21,50
2013-10-22,40
2013-10-23,29
2013-10-24,41
2013-10-25,40
2013-10-26,21
2013-10-27,28
2013-10-28,41
2013-10-29,35
2013-10-30,33
2013-10-31,50
2013-11-01,33
2013-11-02,21
2013-11-03,33
2013-11-04,44
2013-11-05,46
2013-11-06,43
2013-11-07,53
2013-11-08,42
2013-11-09,26
2013-11-10,40
2013-11-11,58
2013-11-12,50
2013-11-13,44
2013-11-14,48
2013-11-15,38
2013-11-16,32
2013-11-17,26
2013-11-18,52
2013-11-19,35
2013-11-20,58
2013-11-21,43
2013-11-22,54
2013-11-23,24
2013-11-24,27
2013-11-25,42
2013-11-26,35
2013-11-27,39
2013-11-28,0
2013-11-29,26
2013-11-30,31
2013-12-01,28
2013-12-02,40
2013-12-03,49
2013-12-04,37
2013-12-05,51
2013-12-06,34
2013-12-07,34
2013-12-08,27
2013-12-09,38
2013-12-10,47
2013-12-11,41
2013-12-12,50
2013-12-13,43
2013-12-14,25
2013-12-15,24
2013-12-16,36
2013-12-17,42
2013-12-18,45
2013-12-19,29
2013-12-20,30
2013-12-21,21
2013-12-22,15
2013-12-23,29
2013-12-24,15
2013-12-25,0
2013-12-26,17
2013-12-27,17
2013-12-28,16
2013-12-29,14
2013-12-30,21
2013-12-31,12
2014-01-01,15
2014-01-02,24
2014-01-03,0
2014-01-04,23
2014-01-05,22
2014-01-06,27
2014-01-07,24
2014-01-08,22
2014-01-09,52
2014-01-10,39
2014-01-11,26
2014-01-12,38
2014-01-13,32
2014-01-14,45
2014-01-15,40
2014-01-16,30
2014-01-17,33
2014-01-18,27
2014-01-19,13
2014-01-20,22
2014-01-21,42
2014-01-22,39
2014-01-23,35
2014-01-24,49
2014-01-25,23
2014-01-26,21
2014-01-27,24
2014-01-28,42
2014-01-29,44
2014-01-30,41
2014-01-31,37
2014-02-01,22
2014-02-02,31
2014-02-03,28
2014-02-04,37
2014-02-05,31
2014-02-06,32
2014-02-07,33
2014-02-08,18
2014-02-09,36
2014-02-10,29
2014-02-11,38
2014-02-12,28
2014-02-13,34
2014-02-14,38
2014-02-15,20
2014-02-16,31
2014-02-17,35
2014-02-18,55
2014-02-19,46
2014-02-20,43
2014-02-21,42
2014-02-22,28
2014-02-23,29
2014-02-24,55
2014-02-25,60
2014-02-26,44
2014-02-27,63
2014-02-28,40
2014-03-01,36
2014-03-02,38
2014-03-03,63
2014-03-04,69
2014-03-05,54
2014-03-06,66
2014-03-07,61
2014-03-08,35
2014-03-09,38
2014-03-10,48
2014-03-11,47
2014-03-12,43
2014-03-13,44
2014-03-14,34
2014-03-15,21
2014-03-16,33
2014-03-17,34
2014-03-18,53
2014-03-19,53
2014-03-20,51
2014-03-21,37
2014-03-22,28
2014-03-23,27
2014-03-24,42
2014-03-25,50
2014-03-26,46
2014-03-27,50
2014-03-28,37
2014-03-29,22
2014-03-30,34
2014-03-31,46
2014-04-01,43
2014-04-02,49
2014-04-03,41
2014-04-04,35
2014-04-05,26
2014-04-06,29
2014-04-07,53
2014-04-08,53
2014-04-09,64
2014-04-10,63
2014-04-11,51
2014-04-12,22
2014-04-13,28
2014-04-14,48
2014-04-15,64
2014-04-16,44
2014-04-17,51
2014-04-18,40
2014-04-19,20
2014-04-20,31
2014-04-21,48
2014-04-22,45
2014-04-23,49
2014-04-24,52
2014-04-25,53
2014-04-26,35
2014-04-27,38
2014-04-28,71
2014-04-29,62
2014-04-30,64
2014-05-01,52
2014-05-02,57
2014-05-03,41
2014-05-04,30
2014-05-05,62
2014-05-06,73
2014-05-07,61
2014-05-08,66
2014-05-09,48
2014-05-10,22
2014-05-11,50
2014-05-12,56
2014-05-13,53
2014-05-14,60
2014-05-15,68
2014-05-16,53
2014-05-17,27
2014-05-18,33
2014-05-19,57
2014-05-20,50
2014-05-21,44
2014-05-22,45
2014-05-23,43
2014-05-24,32
2014-05-25,27
2014-05-26,34
2014-05-27,100
2014-05-28,58
2014-05-29,59
2014-05-30,28
2014-05-31,30
2014-06-01,41
2014-06-02,53
2014-06-03,39
2014-06-04,51
2014-06-05,50
2014-06-06,47
2014-06-07,25
2014-06-08,38
2014-06-09,22
2014-06-10,47
2014-06-11,34
2014-06-12,37
2014-06-13,62
2014-06-14,45
2014-06-15,26
2014-06-16,39
2014-06-17,44
2014-06-18,38
2014-06-19,55
2014-06-20,32
2014-06-21,40
2014-06-22,36
2014-06-23,26
2014-06-24,31
2014-06-25,29
2014-06-26,27
2014-06-27,38
2014-06-28,25
2014-06-29,29
2014-06-30,16
2014-07-01,24
2014-07-02,25
2014-07-03,48
2014-07-04,19
2014-07-05,28
2014-07-06,30
2014-07-07,19
2014-07-08,18
2014-07-09,30
2014-07-10,0
2014-07-11,34
2014-07-12,0
2014-07-13,0
2014-07-14,15
2014-07-15,28
2014-07-16,33
2014-07-17,32
2014-07-18,31
2014-07-19,32
2014-07-20,21
2014-07-21,38
2014-07-22,19
2014-07-23,35
2014-07-24,34
2014-07-25,33
2014-07-26,17
2014-07-27,26
2014-07-28,26
2014-07-29,22
2014-07-30,22
2014-07-31,22
2014-08-01,20
2014-08-02,18
2014-08-03,15
2014-08-04,20
2014-08-05,23
2014-08-06,16
2014-08-07,23
2014-08-08,23
2014-08-09,15
2014-08-10,0
2014-08-11,29
2014-08-12,19
2014-08-13,19
2014-08-14,17
2014-08-15,18
2014-08-16,24
2014-08-17,25
2014-08-18,15
2014-08-19,15
2014-08-20,21
2014-08-21,19
2014-08-22,26
2014-08-23,17
2014-08-24,12
2014-08-25,23
2014-08-26,0
2014-08-27,24
2014-08-28,29
2014-08-29,22
2014-08-30,18
2014-08-31,24
2014-09-01,20
2014-09-02,26
2014-09-03,31
2014-09-04,35
2014-09-05,25
2014-09-06,27
2014-09-07,23
2014-09-08,25
2014-09-09,26
2014-09-10,31
2014-09-11,66
2014-09-12,51
2014-09-13,32
2014-09-14,29
2014-09-15,35
2014-09-16,39
2014-09-17,41
2014-09-18,33
2014-09-19,29
2014-09-20,24
2014-09-21,27
2014-09-22,29
2014-09-23,43
2014-09-24,48
2014-09-25,32
2014-09-26,34
2014-09-27,17
2014-09-28,33
2014-09-29,28
2014-09-30,30
2014-10-01,24
2014-10-02,38
2014-10-03,20
2014-10-04,14
2014-10-05,25
2014-10-06,33
2014-10-07,33
2014-10-08,25
2014-10-09,34
2014-10-10,28
2014-10-11,23
2014-10-12,30
2014-10-13,42
2014-10-14,34
2014-10-15,32
2014-10-16,33
2014-10-17,33
2014-10-18,19
2014-10-19,25
2014-10-20,13
2014-10-21,41
2014-10-22,40
2014-10-23,34
2014-10-24,29
2014-10-25,24
2014-10-26,28
2014-10-27,39
2014-10-28,39
2014-10-29,36
2014-10-30,42
2014-10-31,33
2014-11-01,21
2014-11-02,26
2014-11-03,33
2014-11-04,62
2014-11-05,82
2014-11-06,41
2014-11-07,40
2014-11-08,19
2014-11-09,28
2014-11-10,41
2014-11-11,36
2014-11-12,36
2014-11-13,33
2014-11-14,33
2014-11-15,21
2014-11-16,28
2014-11-17,37
2014-11-18,40
2014-11-19,34
2014-11-20,40
2014-11-21,28
2014-11-22,24
2014-11-23,27
2014-11-24,42
2014-11-25,31
2014-11-26,13
2014-11-27,16
2014-11-28,0
2014-11-29,16
2014-11-30,24
2014-12-01,28
2014-12-02,38
2014-12-03,35
2014-12-04,36
2014-12-05,33
2014-12-06,17
2014-12-07,31
2014-12-08,41
2014-12-09,39
2014-12-10,39
2014-12-11,46
2014-12-12,40
2014-12-13,28
