date,general_label,traffic_rate,total_traffic
2016-11-28,Geopolitical,0.0,0.0
2016-11-29,Geopolitical,0.0,0.0
2016-11-30,Geopolitical,0.1,5000.0
2016-12-01,Geopolitical,0.1,5000.0
2016-12-02,Geopolitical,0.1,7000.0
2016-12-03,Geopolitical,0.1,2000.0
2016-12-04,Geopolitical,0.1,2000.0
2016-12-05,Geopolitical,0.1,2000.0
2016-12-06,Geopolitical,0.0,0.0
2016-12-07,Geopolitical,0.1,4000.0
2016-12-08,Geopolitical,0.0,0.0
2016-12-09,Geopolitical,0.1,2000.0
2016-12-10,Geopolitical,0.0,0.0
2016-12-11,Geopolitical,0.0,0.0
2016-12-12,Geopolitical,0.0,0.0
2016-12-13,Geopolitical,0.0,0.0
2016-12-14,Geopolitical,0.1,5000.0
2016-12-15,Geopolitical,0.0,0.0
2016-12-16,Geopolitical,0.0,0.0
2016-12-17,Geopolitical,0.0,0.0
2016-12-18,Geopolitical,0.0,0.0
2016-12-19,Geopolitical,0.1,5000.0
2016-12-20,Geopolitical,0.1,5000.0
2016-12-21,Geopolitical,0.1,5000.0
2016-12-22,Geopolitical,0.0,0.0
2016-12-23,Geopolitical,0.0,0.0
2016-12-24,Geopolitical,0.0,0.0
2016-12-25,Geopolitical,0.0,0.0
2016-12-26,Geopolitical,0.0,0.0
2016-12-27,Geopolitical,0.0,0.0
2016-12-28,Geopolitical,0.0,0.0
2016-12-29,Geopolitical,0.0,0.0
2016-12-30,Geopolitical,0.0,0.0
2016-12-31,Geopolitical,0.1,2000.0
2017-01-01,Geopolitical,0.0,0.0
2017-01-02,Geopolitical,0.0,0.0
2017-01-03,Geopolitical,0.0,0.0
2017-01-04,Geopolitical,0.0,0.0
2017-01-05,Geopolitical,0.1,4000.0
2017-01-06,Geopolitical,0.0,0.0
2017-01-07,Geopolitical,0.0,0.0
2017-01-08,Geopolitical,0.0,0.0
2017-01-09,Geopolitical,0.0,0.0
2017-01-10,Geopolitical,0.1,7000.0
2017-01-11,Geopolitical,0.25,45000.0
2017-01-12,Geopolitical,0.0,0.0
2017-01-13,Geopolitical,0.0,0.0
2017-01-14,Geopolitical,0.1,2000.0
2017-01-15,Geopolitical,0.1,2000.0
2017-01-16,Geopolitical,0.0,0.0
2017-01-17,Geopolitical,0.0,0.0
2017-01-18,Geopolitical,0.0,0.0
2017-01-19,Geopolitical,1.0,110000.0
2017-01-20,Geopolitical,0.5,75000.0
2017-01-21,Geopolitical,0.1,12000.0
2017-01-22,Geopolitical,0.1,12000.0
2017-01-23,Geopolitical,0.1,25000.0
2017-01-24,Geopolitical,0.1,27000.0
2017-01-25,Geopolitical,0.25,50000.0
2017-01-26,Geopolitical,0.0,0.0
2017-01-27,Geopolitical,0.1,9000.0
2017-01-28,Geopolitical,0.1,2000.0
2017-01-29,Geopolitical,0.1,2000.0
2017-01-30,Geopolitical,0.25,65000.0
2017-01-31,Geopolitical,0.0,0.0
2017-02-01,Geopolitical,0.1,22000.0
2017-02-02,Geopolitical,0.1,25000.0
2017-02-03,Geopolitical,0.1,19000.0
2017-02-04,Geopolitical,0.1,2000.0
2017-02-05,Geopolitical,0.1,5000.0
2017-02-06,Geopolitical,0.1,20000.0
2017-02-07,Geopolitical,0.0,0.0
2017-02-08,Geopolitical,0.1,27000.0
2017-02-09,Geopolitical,0.1,10000.0
2017-02-10,Geopolitical,0.1,5000.0
2017-02-11,Geopolitical,0.1,9000.0
2017-02-12,Geopolitical,0.1,2000.0
2017-02-13,Geopolitical,0.1,5000.0
2017-02-14,Geopolitical,0.25,37000.0
2017-02-15,Geopolitical,0.1,4000.0
2017-02-16,Geopolitical,0.1,2000.0
2017-02-17,Geopolitical,0.0,0.0
2017-02-18,Geopolitical,0.0,0.0
2017-02-19,Geopolitical,0.1,5000.0
2017-02-20,Geopolitical,0.1,10000.0
2017-02-21,Geopolitical,0.1,25000.0
2017-02-22,Geopolitical,0.1,2000.0
2017-02-23,Geopolitical,0.0,0.0
2017-02-24,Geopolitical,0.1,2000.0
2017-02-25,Geopolitical,0.0,0.0
2017-02-26,Geopolitical,0.0,0.0
2017-02-27,Geopolitical,0.0,0.0
2017-02-28,Geopolitical,0.1,10000.0
2017-03-01,Geopolitical,0.1,7000.0
2017-03-02,Geopolitical,0.0,0.0
2017-03-03,Geopolitical,0.1,20000.0
2017-03-04,Geopolitical,0.0,0.0
2017-03-05,Geopolitical,0.1,2000.0
2017-03-06,Geopolitical,0.1,5000.0
2017-03-07,Geopolitical,0.1,10000.0
2017-03-08,Geopolitical,0.1,5000.0
2017-03-09,Geopolitical,0.1,10000.0
2017-03-10,Geopolitical,0.25,50000.0
2017-03-11,Geopolitical,1.0,131000.0
2017-03-12,Geopolitical,0.1,4000.0
2017-03-13,Geopolitical,0.1,12000.0
2017-03-14,Geopolitical,0.0,0.0
2017-03-15,Geopolitical,0.1,17000.0
2017-03-16,Geopolitical,0.1,22000.0
2017-03-17,Geopolitical,0.1,2000.0
2017-03-18,Geopolitical,0.1,5000.0
2017-03-19,Geopolitical,0.1,5000.0
2017-03-20,Geopolitical,0.0,0.0
2017-03-21,Geopolitical,0.1,2000.0
2017-03-22,Geopolitical,0.0,0.0
2017-03-23,Geopolitical,0.0,0.0
2017-03-24,Geopolitical,0.0,0.0
2017-03-25,Geopolitical,0.1,4000.0
2017-03-26,Geopolitical,0.1,2000.0
2017-03-27,Geopolitical,0.0,0.0
2017-03-28,Geopolitical,0.1,2000.0
2017-03-29,Geopolitical,0.1,12000.0
2017-03-30,Geopolitical,0.1,10000.0
2017-03-31,Geopolitical,0.1,10000.0
2017-04-01,Geopolitical,0.1,2000.0
2017-04-02,Geopolitical,0.0,0.0
2017-04-03,Geopolitical,0.1,5000.0
2017-04-04,Geopolitical,0.1,5000.0
2017-04-05,Geopolitical,0.1,10000.0
2017-04-06,Geopolitical,0.1,2000.0
2017-04-07,Geopolitical,0.1,2000.0
2017-04-08,Geopolitical,0.1,15000.0
2017-04-09,Geopolitical,0.1,2000.0
2017-04-10,Geopolitical,0.0,0.0
2017-04-11,Geopolitical,0.1,10000.0
2017-04-12,Geopolitical,0.1,15000.0
2017-04-13,Geopolitical,0.0,0.0
2017-04-14,Geopolitical,0.25,50000.0
2017-04-15,Geopolitical,0.1,5000.0
2017-04-16,Geopolitical,0.1,5000.0
2017-04-17,Geopolitical,0.1,10000.0
2017-04-18,Geopolitical,0.1,22000.0
2017-04-19,Geopolitical,0.0,0.0
2017-04-20,Geopolitical,0.25,55000.0
2017-04-21,Geopolitical,0.1,2000.0
2017-04-22,Geopolitical,0.1,2000.0
2017-04-23,Geopolitical,0.1,30000.0
2017-04-24,Geopolitical,0.1,20000.0
2017-04-25,Geopolitical,0.1,30000.0
2017-04-26,Geopolitical,0.1,5000.0
2017-04-27,Geopolitical,0.1,20000.0
2017-04-28,Geopolitical,0.1,7000.0
2017-04-29,Geopolitical,0.1,12000.0
2017-04-30,Geopolitical,0.0,0.0
2017-05-01,Geopolitical,0.1,10000.0
2017-05-02,Geopolitical,0.0,0.0
2017-05-03,Geopolitical,0.0,0.0
2017-05-04,Geopolitical,0.1,15000.0
