date,general_label,traffic_rate,total_traffic
2016-11-28,Geopolitical,0.0,0.0
2016-11-29,Geopolitical,0.1,100000.0
2016-11-30,Geopolitical,0.1,100000.0
2016-12-01,Geopolitical,0.1,220000.0
2016-12-02,Geopolitical,0.1,200000.0
2016-12-03,Geopolitical,0.1,50000.0
2016-12-04,Geopolitical,0.1,100000.0
2016-12-05,Geopolitical,0.1,200000.0
2016-12-06,Geopolitical,0.1,70000.0
2016-12-07,Geopolitical,0.0,0.0
2016-12-08,Geopolitical,0.1,50000.0
2016-12-09,Geopolitical,0.1,20000.0
2016-12-10,Geopolitical,0.25,1240000.0
2016-12-11,Geopolitical,0.0,0.0
2016-12-12,Geopolitical,0.1,50000.0
2016-12-13,Geopolitical,0.1,300000.0
2016-12-14,Geopolitical,0.1,150000.0
2016-12-15,Geopolitical,0.1,70000.0
2016-12-16,Geopolitical,0.1,200000.0
2016-12-17,Geopolitical,0.1,150000.0
2016-12-18,Geopolitical,0.0,0.0
2016-12-19,Geopolitical,0.5,2050000.0
2016-12-20,Geopolitical,0.0,0.0
2016-12-21,Geopolitical,0.0,0.0
2016-12-22,Geopolitical,0.25,850000.0
2016-12-23,Geopolitical,0.1,100000.0
2016-12-24,Geopolitical,0.0,0.0
2016-12-25,Geopolitical,0.0,0.0
2016-12-26,Geopolitical,0.0,0.0
2016-12-27,Geopolitical,0.0,0.0
2016-12-28,Geopolitical,0.1,100000.0
2016-12-29,Geopolitical,0.1,50000.0
2016-12-30,Geopolitical,0.0,0.0
2016-12-31,Geopolitical,0.1,100000.0
2017-01-01,Geopolitical,0.0,0.0
2017-01-02,Geopolitical,0.0,0.0
2017-01-03,Geopolitical,0.1,600000.0
2017-01-04,Geopolitical,0.1,70000.0
2017-01-05,Geopolitical,0.1,150000.0
2017-01-06,Geopolitical,0.1,40000.0
2017-01-07,Geopolitical,0.1,50000.0
2017-01-08,Geopolitical,0.1,100000.0
2017-01-09,Geopolitical,0.1,100000.0
2017-01-10,Geopolitical,0.1,500000.0
2017-01-11,Geopolitical,0.1,450000.0
2017-01-12,Geopolitical,0.1,700000.0
2017-01-13,Geopolitical,0.1,250000.0
2017-01-14,Geopolitical,0.1,50000.0
2017-01-15,Geopolitical,0.0,0.0
2017-01-16,Geopolitical,0.1,200000.0
2017-01-17,Geopolitical,0.1,150000.0
2017-01-18,Geopolitical,0.1,50000.0
2017-01-19,Geopolitical,0.25,1300000.0
2017-01-20,Geopolitical,1.0,3100000.0
2017-01-21,Geopolitical,0.1,370000.0
2017-01-22,Geopolitical,0.1,100000.0
2017-01-23,Geopolitical,0.1,550000.0
2017-01-24,Geopolitical,0.1,150000.0
2017-01-25,Geopolitical,0.1,350000.0
2017-01-26,Geopolitical,0.1,400000.0
2017-01-27,Geopolitical,0.1,250000.0
2017-01-28,Geopolitical,0.1,40000.0
2017-01-29,Geopolitical,0.1,50000.0
2017-01-30,Geopolitical,0.25,1150000.0
2017-01-31,Geopolitical,0.1,200000.0
2017-02-01,Geopolitical,0.1,700000.0
2017-02-02,Geopolitical,0.1,350000.0
2017-02-03,Geopolitical,0.1,100000.0
2017-02-04,Geopolitical,0.1,100000.0
2017-02-05,Geopolitical,0.0,0.0
2017-02-06,Geopolitical,0.1,300000.0
2017-02-07,Geopolitical,0.1,50000.0
2017-02-08,Geopolitical,0.1,100000.0
2017-02-09,Geopolitical,0.1,50000.0
2017-02-10,Geopolitical,0.1,200000.0
2017-02-11,Geopolitical,0.1,70000.0
2017-02-12,Geopolitical,0.1,500000.0
2017-02-13,Geopolitical,0.1,200000.0
2017-02-14,Geopolitical,0.1,50000.0
2017-02-15,Geopolitical,0.1,350000.0
2017-02-16,Geopolitical,0.1,390000.0
2017-02-17,Geopolitical,0.1,20000.0
2017-02-18,Geopolitical,0.1,50000.0
2017-02-19,Geopolitical,0.0,0.0
2017-02-20,Geopolitical,0.1,600000.0
