Category: Books & Literature

Day,Geo: Australia
2013-04-01,82
2013-04-02,75
2013-04-03,71
2013-04-04,71
2013-04-05,65
2013-04-06,71
2013-04-07,74
2013-04-08,72
2013-04-09,74
2013-04-10,69
2013-04-11,71
2013-04-12,67
2013-04-13,69
2013-04-14,77
2013-04-15,76
2013-04-16,71
2013-04-17,69
2013-04-18,63
2013-04-19,61
2013-04-20,61
2013-04-21,74
2013-04-22,77
2013-04-23,72
2013-04-24,65
2013-04-25,70
2013-04-26,65
2013-04-27,69
2013-04-28,82
2013-04-29,84
2013-04-30,80
2013-05-01,84
2013-05-02,77
2013-05-03,67
2013-05-04,71
2013-05-05,84
2013-05-06,86
2013-05-07,87
2013-05-08,81
2013-05-09,82
2013-05-10,73
2013-05-11,75
2013-05-12,90
2013-05-13,86
2013-05-14,81
2013-05-15,78
2013-05-16,75
2013-05-17,70
2013-05-18,72
2013-05-19,90
2013-05-20,88
2013-05-21,81
2013-05-22,82
2013-05-23,79
2013-05-24,71
2013-05-25,74
2013-05-26,93
2013-05-27,93
2013-05-28,84
2013-05-29,80
2013-05-30,80
2013-05-31,74
2013-06-01,80
2013-06-02,100
2013-06-03,97
2013-06-04,95
2013-06-05,87
2013-06-06,78
2013-06-07,74
2013-06-08,77
2013-06-09,83
2013-06-10,95
2013-06-11,87
2013-06-12,91
2013-06-13,80
2013-06-14,71
2013-06-15,75
2013-06-16,88
2013-06-17,81
2013-06-18,81
2013-06-19,76
2013-06-20,72
2013-06-21,66
2013-06-22,67
2013-06-23,82
2013-06-24,77
2013-06-25,70
2013-06-26,66
2013-06-27,68
2013-06-28,63
2013-06-29,68
2013-06-30,72
2013-07-01,67
2013-07-02,67
2013-07-03,67
2013-07-04,65
2013-07-05,65
2013-07-06,66
2013-07-07,69
2013-07-08,63
2013-07-09,64
2013-07-10,65
2013-07-11,65
2013-07-12,62
2013-07-13,70
2013-07-14,82
2013-07-15,72
2013-07-16,72
2013-07-17,75
2013-07-18,74
2013-07-19,67
2013-07-20,71
2013-07-21,83
2013-07-22,78
2013-07-23,75
2013-07-24,74
2013-07-25,75
2013-07-26,71
2013-07-27,72
2013-07-28,91
2013-07-29,87
2013-07-30,81
2013-07-31,79
2013-08-01,78
2013-08-02,71
2013-08-03,72
2013-08-04,86
2013-08-05,82
2013-08-06,81
2013-08-07,83
2013-08-08,79
2013-08-09,72
2013-08-10,70
2013-08-11,87
2013-08-12,84
2013-08-13,88
2013-08-14,80
2013-08-15,87
2013-08-16,70
2013-08-17,74
2013-08-18,94
2013-08-19,84
2013-08-20,88
2013-08-21,83
2013-08-22,81
2013-08-23,69
2013-08-24,69
2013-08-25,89
2013-08-26,82
2013-08-27,81
2013-08-28,82
2013-08-29,80
2013-08-30,73
2013-08-31,72
2013-09-01,82
2013-09-02,82
2013-09-03,81
2013-09-04,78
2013-09-05,77
2013-09-06,68
2013-09-07,66
2013-09-08,79
2013-09-09,80
2013-09-10,77
2013-09-11,76
2013-09-12,75
2013-09-13,71
2013-09-14,66
2013-09-15,78
2013-09-16,76
2013-09-17,75
2013-09-18,70
2013-09-19,68
2013-09-20,63
2013-09-21,60
2013-09-22,65
2013-09-23,64
2013-09-24,65
2013-09-25,62
2013-09-26,63
2013-09-27,54
2013-09-28,58
2013-09-29,70
2013-09-30,62
2013-10-01,62
2013-10-02,63
2013-10-03,63
2013-10-04,63
2013-10-05,58
2013-10-06,67
2013-10-07,68
2013-10-08,72
2013-10-09,71
2013-10-10,74
2013-10-11,64
2013-10-12,63
2013-10-13,78
2013-10-14,79
2013-10-15,74
2013-10-16,71
2013-10-17,71
2013-10-18,64
2013-10-19,62
2013-10-20,78
2013-10-21,72
2013-10-22,74
2013-10-23,76
2013-10-24,69
2013-10-25,64
2013-10-26,63
2013-10-27,76
2013-10-28,73
2013-10-29,74
2013-10-30,70
2013-10-31,69
2013-11-01,65
2013-11-02,65
2013-11-03,80
2013-11-04,66
2013-11-05,69
2013-11-06,68
2013-11-07,71
2013-11-08,65
2013-11-09,64
2013-11-10,81
2013-11-11,76
2013-11-12,72
2013-11-13,72
2013-11-14,67
2013-11-15,63
2013-11-16,65
2013-11-17,76
2013-11-18,72
2013-11-19,77
2013-11-20,70
2013-11-21,66
2013-11-22,64
2013-11-23,62
2013-11-24,72
2013-11-25,68
2013-11-26,66
2013-11-27,64
2013-11-28,68
2013-11-29,62
2013-11-30,60
2013-12-01,65
