Category: Books & Literature

Day,Geo: Australia
2012-01-01,69
2012-01-02,61
2012-01-03,66
2012-01-04,63
2012-01-05,64
2012-01-06,61
2012-01-07,62
2012-01-08,73
2012-01-09,68
2012-01-10,66
2012-01-11,63
2012-01-12,61
2012-01-13,59
2012-01-14,63
2012-01-15,74
2012-01-16,69
2012-01-17,68
2012-01-18,70
2012-01-19,61
2012-01-20,63
2012-01-21,61
2012-01-22,75
2012-01-23,64
2012-01-24,60
2012-01-25,61
2012-01-26,52
2012-01-27,63
2012-01-28,67
2012-01-29,74
2012-01-30,67
2012-01-31,72
2012-02-01,72
2012-02-02,73
2012-02-03,65
2012-02-04,64
2012-02-05,77
2012-02-06,67
2012-02-07,76
2012-02-08,74
2012-02-09,71
2012-02-10,67
2012-02-11,65
2012-02-12,79
2012-02-13,85
2012-02-14,77
2012-02-15,76
2012-02-16,73
2012-02-17,66
2012-02-18,64
2012-02-19,83
2012-02-20,79
2012-02-21,79
2012-02-22,73
2012-02-23,75
2012-02-24,67
2012-02-25,70
2012-02-26,92
2012-02-27,82
2012-02-28,83
2012-02-29,79
2012-03-01,78
2012-03-02,73
2012-03-03,78
2012-03-04,93
2012-03-05,81
2012-03-06,80
2012-03-07,78
2012-03-08,77
2012-03-09,66
2012-03-10,78
2012-03-11,87
2012-03-12,83
2012-03-13,85
2012-03-14,86
2012-03-15,76
2012-03-16,69
2012-03-17,74
2012-03-18,96
2012-03-19,86
2012-03-20,84
2012-03-21,79
2012-03-22,84
2012-03-23,71
2012-03-24,76
2012-03-25,96
2012-03-26,87
2012-03-27,83
2012-03-28,79
2012-03-29,78
2012-03-30,69
2012-03-31,72
2012-04-01,86
2012-04-02,84
2012-04-03,79
2012-04-04,75
2012-04-05,65
2012-04-06,67
2012-04-07,64
2012-04-08,72
2012-04-09,73
2012-04-10,67
2012-04-11,68
2012-04-12,71
2012-04-13,68
2012-04-14,72
2012-04-15,86
2012-04-16,77
2012-04-17,79
2012-04-18,79
2012-04-19,78
2012-04-20,70
2012-04-21,71
2012-04-22,82
2012-04-23,84
2012-04-24,76
2012-04-25,81
2012-04-26,80
2012-04-27,72
2012-04-28,75
2012-04-29,97
2012-04-30,91
2012-05-01,91
2012-05-02,81
2012-05-03,84
2012-05-04,71
2012-05-05,66
2012-05-06,88
2012-05-07,89
2012-05-08,89
2012-05-09,87
2012-05-10,89
2012-05-11,78
2012-05-12,80
2012-05-13,96
2012-05-14,92
2012-05-15,85
2012-05-16,86
2012-05-17,84
2012-05-18,74
2012-05-19,75
2012-05-20,100
2012-05-21,98
2012-05-22,86
2012-05-23,89
2012-05-24,93
2012-05-25,76
2012-05-26,82
2012-05-27,98
2012-05-28,96
2012-05-29,91
2012-05-30,84
2012-05-31,85
2012-06-01,72
2012-06-02,81
2012-06-03,100
2012-06-04,95
2012-06-05,92
2012-06-06,85
2012-06-07,82
2012-06-08,70
2012-06-09,72
2012-06-10,83
2012-06-11,79
2012-06-12,84
2012-06-13,85
2012-06-14,84
2012-06-15,70
2012-06-16,77
2012-06-17,92
2012-06-18,84
2012-06-19,79
2012-06-20,76
2012-06-21,78
2012-06-22,71
2012-06-23,69
2012-06-24,82
2012-06-25,78
2012-06-26,75
2012-06-27,71
2012-06-28,71
2012-06-29,66
2012-06-30,64
2012-07-01,75
2012-07-02,70
2012-07-03,67
2012-07-04,68
2012-07-05,63
2012-07-06,66
2012-07-07,64
2012-07-08,72
2012-07-09,71
2012-07-10,76
2012-07-11,72
2012-07-12,74
2012-07-13,71
2012-07-14,73
2012-07-15,87
2012-07-16,82
2012-07-17,84
2012-07-18,79
2012-07-19,81
2012-07-20,68
2012-07-21,75
2012-07-22,94
2012-07-23,86
2012-07-24,86
2012-07-25,86
2012-07-26,86
2012-07-27,76
2012-07-28,70
2012-07-29,90
2012-07-30,85
2012-07-31,87
2012-08-01,87
