Category: Books & Literature

Day,Geo: Canada
2013-04-01,91
2013-04-02,90
2013-04-03,87
2013-04-04,88
2013-04-05,81
2013-04-06,76
2013-04-07,86
2013-04-08,94
2013-04-09,91
2013-04-10,89
2013-04-11,87
2013-04-12,86
2013-04-13,80
2013-04-14,83
2013-04-15,89
2013-04-16,87
2013-04-17,83
2013-04-18,84
2013-04-19,72
2013-04-20,72
2013-04-21,81
2013-04-22,90
2013-04-23,87
2013-04-24,82
2013-04-25,83
2013-04-26,72
2013-04-27,71
2013-04-28,74
2013-04-29,87
2013-04-30,81
2013-05-01,83
2013-05-02,74
2013-05-03,73
2013-05-04,64
2013-05-05,70
2013-05-06,81
2013-05-07,78
2013-05-08,81
2013-05-09,83
2013-05-10,87
2013-05-11,71
2013-05-12,86
2013-05-13,85
2013-05-14,83
2013-05-15,81
2013-05-16,77
2013-05-17,73
2013-05-18,69
2013-05-19,67
2013-05-20,72
2013-05-21,81
2013-05-22,83
2013-05-23,81
2013-05-24,78
2013-05-25,75
2013-05-26,80
2013-05-27,88
2013-05-28,83
2013-05-29,83
2013-05-30,76
2013-05-31,71
2013-06-01,66
2013-06-02,77
2013-06-03,98
2013-06-04,95
2013-06-05,92
2013-06-06,87
2013-06-07,80
2013-06-08,72
2013-06-09,81
2013-06-10,100
2013-06-11,94
2013-06-12,83
2013-06-13,81
2013-06-14,74
2013-06-15,67
2013-06-16,79
2013-06-17,78
2013-06-18,76
2013-06-19,74
2013-06-20,75
2013-06-21,68
2013-06-22,65
2013-06-23,67
2013-06-24,67
2013-06-25,62
2013-06-26,67
2013-06-27,66
2013-06-28,65
2013-06-29,61
2013-06-30,60
2013-07-01,52
2013-07-02,60
2013-07-03,66
2013-07-04,68
2013-07-05,68
2013-07-06,65
2013-07-07,68
2013-07-08,64
2013-07-09,67
2013-07-10,68
2013-07-11,67
2013-07-12,66
2013-07-13,65
2013-07-14,67
2013-07-15,65
2013-07-16,67
2013-07-17,68
2013-07-18,69
2013-07-19,68
2013-07-20,67
2013-07-21,68
2013-07-22,65
2013-07-23,70
2013-07-24,68
2013-07-25,67
2013-07-26,69
2013-07-27,65
2013-07-28,68
2013-07-29,66
2013-07-30,66
2013-07-31,68
2013-08-01,66
2013-08-02,65
2013-08-03,68
2013-08-04,66
2013-08-05,62
2013-08-06,65
2013-08-07,65
2013-08-08,65
2013-08-09,65
2013-08-10,65
2013-08-11,68
2013-08-12,68
2013-08-13,68
2013-08-14,68
2013-08-15,68
2013-08-16,65
2013-08-17,64
2013-08-18,64
2013-08-19,66
2013-08-20,66
2013-08-21,66
2013-08-22,67
2013-08-23,65
2013-08-24,63
2013-08-25,66
2013-08-26,64
2013-08-27,65
2013-08-28,71
2013-08-29,66
2013-08-30,64
2013-08-31,66
2013-09-01,64
2013-09-02,64
2013-09-03,69
2013-09-04,74
2013-09-05,74
2013-09-06,72
2013-09-07,72
2013-09-08,75
2013-09-09,76
2013-09-10,76
2013-09-11,81
2013-09-12,84
2013-09-13,77
2013-09-14,73
2013-09-15,78
2013-09-16,79
2013-09-17,81
2013-09-18,76
2013-09-19,79
2013-09-20,79
2013-09-21,71
2013-09-22,76
2013-09-23,79
2013-09-24,82
2013-09-25,83
2013-09-26,79
2013-09-27,73
2013-09-28,72
2013-09-29,78
2013-09-30,82
2013-10-01,82
2013-10-02,82
2013-10-03,84
2013-10-04,83
2013-10-05,73
2013-10-06,80
2013-10-07,87
2013-10-08,82
2013-10-09,84
2013-10-10,83
2013-10-11,77
2013-10-12,67
2013-10-13,72
2013-10-14,76
2013-10-15,83
2013-10-16,86
2013-10-17,82
2013-10-18,81
2013-10-19,71
2013-10-20,83
2013-10-21,81
2013-10-22,86
2013-10-23,86
2013-10-24,78
2013-10-25,78
2013-10-26,72
2013-10-27,81
2013-10-28,85
2013-10-29,84
2013-10-30,84
2013-10-31,84
2013-11-01,78
2013-11-02,74
2013-11-03,84
2013-11-04,86
2013-11-05,94
2013-11-06,84
2013-11-07,85
2013-11-08,83
2013-11-09,71
2013-11-10,81
2013-11-11,89
2013-11-12,87
2013-11-13,84
2013-11-14,89
2013-11-15,84
2013-11-16,73
2013-11-17,85
2013-11-18,89
2013-11-19,92
2013-11-20,92
2013-11-21,86
2013-11-22,83
2013-11-23,78
2013-11-24,87
2013-11-25,87
2013-11-26,88
2013-11-27,87
2013-11-28,93
2013-11-29,84
2013-11-30,73
2013-12-01,88
