Category: Books & Literature

Day,Book: (Canada)
2015-04-01,76
2015-04-02,69
2015-04-03,66
2015-04-04,65
2015-04-05,71
2015-04-06,74
2015-04-07,79
2015-04-08,83
2015-04-09,81
2015-04-10,78
2015-04-11,81
2015-04-12,80
2015-04-13,84
2015-04-14,81
2015-04-15,79
2015-04-16,73
2015-04-17,71
2015-04-18,66
2015-04-19,79
2015-04-20,78
2015-04-21,79
2015-04-22,75
2015-04-23,75
2015-04-24,70
2015-04-25,67
2015-04-26,80
2015-04-27,79
2015-04-28,79
2015-04-29,81
2015-04-30,75
2015-05-01,72
2015-05-02,68
2015-05-03,69
2015-05-04,76
2015-05-05,78
2015-05-06,79
2015-05-07,74
2015-05-08,69
2015-05-09,65
2015-05-10,69
2015-05-11,79
2015-05-12,80
2015-05-13,77
2015-05-14,76
2015-05-15,70
2015-05-16,71
2015-05-17,72
2015-05-18,71
2015-05-19,82
2015-05-20,74
2015-05-21,73
2015-05-22,68
2015-05-23,66
2015-05-24,75
2015-05-25,77
2015-05-26,79
2015-05-27,81
2015-05-28,79
2015-05-29,76
2015-05-30,71
2015-05-31,84
2015-06-01,95
2015-06-02,79
2015-06-03,78
2015-06-04,77
2015-06-05,68
2015-06-06,70
2015-06-07,76
2015-06-08,81
2015-06-09,75
2015-06-10,79
2015-06-11,76
2015-06-12,71
2015-06-13,73
2015-06-14,77
2015-06-15,99
2015-06-16,82
2015-06-17,83
2015-06-18,74
2015-06-19,73
2015-06-20,70
2015-06-21,72
2015-06-22,68
2015-06-23,69
2015-06-24,70
2015-06-25,66
2015-06-26,60
2015-06-27,67
2015-06-28,74
2015-06-29,68
2015-06-30,68
2015-07-01,63
2015-07-02,70
2015-07-03,71
2015-07-04,69
2015-07-05,68
2015-07-06,69
2015-07-07,70
2015-07-08,74
2015-07-09,68
2015-07-10,61
2015-07-11,69
2015-07-12,70
2015-07-13,69
2015-07-14,72
2015-07-15,69
2015-07-16,69
2015-07-17,62
2015-07-18,71
2015-07-19,68
2015-07-20,69
2015-07-21,69
2015-07-22,68
2015-07-23,68
2015-07-24,69
2015-07-25,67
2015-07-26,72
2015-07-27,75
2015-07-28,74
2015-07-29,69
2015-07-30,70
2015-07-31,63
2015-08-01,70
2015-08-02,70
2015-08-03,72
2015-08-04,71
2015-08-05,74
2015-08-06,72
2015-08-07,61
2015-08-08,68
2015-08-09,69
2015-08-10,66
2015-08-11,73
2015-08-12,70
2015-08-13,66
2015-08-14,67
2015-08-15,66
2015-08-16,73
2015-08-17,69
2015-08-18,74
2015-08-19,66
2015-08-20,71
2015-08-21,68
2015-08-22,69
2015-08-23,71
2015-08-24,70
2015-08-25,70
2015-08-26,70
2015-08-27,69
2015-08-28,68
2015-08-29,67
2015-08-30,70
2015-08-31,68
2015-09-01,69
2015-09-02,75
2015-09-03,73
2015-09-04,76
2015-09-05,72
2015-09-06,71
2015-09-07,80
2015-09-08,76
2015-09-09,79
2015-09-10,89
2015-09-11,79
2015-09-12,76
2015-09-13,81
2015-09-14,90
2015-09-15,87
2015-09-16,85
2015-09-17,80
2015-09-18,79
2015-09-19,73
2015-09-20,82
2015-09-21,80
2015-09-22,78
2015-09-23,81
2015-09-24,80
2015-09-25,78
2015-09-26,66
2015-09-27,76
2015-09-28,76
2015-09-29,76
2015-09-30,79
2015-10-01,78
2015-10-02,77
2015-10-03,75
2015-10-04,77
2015-10-05,82
2015-10-06,86
2015-10-07,83
2015-10-08,74
2015-10-09,73
2015-10-10,65
2015-10-11,72
2015-10-12,74
2015-10-13,80
2015-10-14,75
2015-10-15,79
2015-10-16,78
2015-10-17,74
2015-10-18,82
2015-10-19,78
2015-10-20,65
2015-10-21,81
2015-10-22,82
2015-10-23,74
2015-10-24,75
2015-10-25,78
2015-10-26,81
2015-10-27,89
2015-10-28,79
2015-10-29,81
2015-10-30,72
2015-10-31,60
2015-11-01,81
2015-11-02,87
2015-11-03,95
2015-11-04,91
2015-11-05,92
2015-11-06,86
2015-11-07,77
2015-11-08,93
2015-11-09,84
2015-11-10,88
2015-11-11,82
2015-11-12,92
2015-11-13,82
2015-11-14,76
2015-11-15,81
2015-11-16,87
2015-11-17,94
2015-11-18,95
2015-11-19,100
2015-11-20,91
2015-11-21,95
2015-11-22,99
2015-11-23,91
2015-11-24,90
2015-11-25,93
2015-11-26,89
2015-11-27,84
2015-11-28,82
2015-11-29,89
2015-11-30,99
2015-12-01,96
