Category: Books & Literature

Day,Book: (Canada)
2012-01-01,75
2012-01-02,100
2012-01-03,88
2012-01-04,85
2012-01-05,83
2012-01-06,84
2012-01-07,83
2012-01-08,95
2012-01-09,91
2012-01-10,99
2012-01-11,88
2012-01-12,86
2012-01-13,79
2012-01-14,80
2012-01-15,91
2012-01-16,84
2012-01-17,84
2012-01-18,83
2012-01-19,81
2012-01-20,77
2012-01-21,74
2012-01-22,84
2012-01-23,82
2012-01-24,78
2012-01-25,83
2012-01-26,80
2012-01-27,73
2012-01-28,76
2012-01-29,77
2012-01-30,80
2012-01-31,77
2012-02-01,76
2012-02-02,75
2012-02-03,73
2012-02-04,69
2012-02-05,71
2012-02-06,76
2012-02-07,77
2012-02-08,80
2012-02-09,74
2012-02-10,70
2012-02-11,71
2012-02-12,72
2012-02-13,76
2012-02-14,75
2012-02-15,70
2012-02-16,71
2012-02-17,76
2012-02-18,67
2012-02-19,77
2012-02-20,76
2012-02-21,75
2012-02-22,76
2012-02-23,74
2012-02-24,73
2012-02-25,72
2012-02-26,86
2012-02-27,76
2012-02-28,79
2012-02-29,69
2012-03-01,78
2012-03-02,79
2012-03-03,71
2012-03-04,80
2012-03-05,84
2012-03-06,75
2012-03-07,76
2012-03-08,72
2012-03-09,73
2012-03-10,67
2012-03-11,74
2012-03-12,63
2012-03-13,73
2012-03-14,70
2012-03-15,69
2012-03-16,63
2012-03-17,73
2012-03-18,76
2012-03-19,75
2012-03-20,73
2012-03-21,78
2012-03-22,73
2012-03-23,77
2012-03-24,78
2012-03-25,87
2012-03-26,84
2012-03-27,85
2012-03-28,81
2012-03-29,78
2012-03-30,68
2012-03-31,70
2012-04-01,77
2012-04-02,78
2012-04-03,82
2012-04-04,76
2012-04-05,74
2012-04-06,73
2012-04-07,70
2012-04-08,67
2012-04-09,74
2012-04-10,76
2012-04-11,76
2012-04-12,73
2012-04-13,77
2012-04-14,73
2012-04-15,84
2012-04-16,74
2012-04-17,77
2012-04-18,73
2012-04-19,72
2012-04-20,66
2012-04-21,66
2012-04-22,73
2012-04-23,75
2012-04-24,73
2012-04-25,75
2012-04-26,76
2012-04-27,66
2012-04-28,76
2012-04-29,78
2012-04-30,75
2012-05-01,73
2012-05-02,72
2012-05-03,71
2012-05-04,66
2012-05-05,63
2012-05-06,72
2012-05-07,78
2012-05-08,75
2012-05-09,83
2012-05-10,71
2012-05-11,72
2012-05-12,69
2012-05-13,80
2012-05-14,67
2012-05-15,75
2012-05-16,68
2012-05-17,70
2012-05-18,58
2012-05-19,64
2012-05-20,67
2012-05-21,76
2012-05-22,74
2012-05-23,71
2012-05-24,65
2012-05-25,69
2012-05-26,72
2012-05-27,74
2012-05-28,76
2012-05-29,80
2012-05-30,76
2012-05-31,76
2012-06-01,68
2012-06-02,71
2012-06-03,76
2012-06-04,79
2012-06-05,77
2012-06-06,78
2012-06-07,79
2012-06-08,67
2012-06-09,69
2012-06-10,78
2012-06-11,73
2012-06-12,74
2012-06-13,81
2012-06-14,78
2012-06-15,67
2012-06-16,67
2012-06-17,72
2012-06-18,66
2012-06-19,71
2012-06-20,67
2012-06-21,63
2012-06-22,63
2012-06-23,64
2012-06-24,76
2012-06-25,63
2012-06-26,63
2012-06-27,61
2012-06-28,74
2012-06-29,67
2012-06-30,65
2012-07-01,68
2012-07-02,69
2012-07-03,68
2012-07-04,67
2012-07-05,66
2012-07-06,65
2012-07-07,68
2012-07-08,70
2012-07-09,67
2012-07-10,68
2012-07-11,70
2012-07-12,69
2012-07-13,67
2012-07-14,71
2012-07-15,73
2012-07-16,75
2012-07-17,65
2012-07-18,65
2012-07-19,77
2012-07-20,61
2012-07-21,67
2012-07-22,77
2012-07-23,69
2012-07-24,68
2012-07-25,65
2012-07-26,74
2012-07-27,67
2012-07-28,62
2012-07-29,71
2012-07-30,66
2012-07-31,63
2012-08-01,68
