Category: Books & Literature

Day,Geo: United States
2013-04-01,87
2013-04-02,85
2013-04-03,82
2013-04-04,83
2013-04-05,76
2013-04-06,67
2013-04-07,74
2013-04-08,87
2013-04-09,87
2013-04-10,88
2013-04-11,86
2013-04-12,80
2013-04-13,66
2013-04-14,79
2013-04-15,92
2013-04-16,91
2013-04-17,88
2013-04-18,87
2013-04-19,78
2013-04-20,66
2013-04-21,73
2013-04-22,94
2013-04-23,94
2013-04-24,92
2013-04-25,94
2013-04-26,81
2013-04-27,64
2013-04-28,75
2013-04-29,100
2013-04-30,89
2013-05-01,94
2013-05-02,84
2013-05-03,80
2013-05-04,66
2013-05-05,74
2013-05-06,94
2013-05-07,95
2013-05-08,90
2013-05-09,91
2013-05-10,91
2013-05-11,76
2013-05-12,81
2013-05-13,89
2013-05-14,86
2013-05-15,83
2013-05-16,81
2013-05-17,75
2013-05-18,66
2013-05-19,72
2013-05-20,87
2013-05-21,79
2013-05-22,77
2013-05-23,78
2013-05-24,70
2013-05-25,60
2013-05-26,61
2013-05-27,63
2013-05-28,76
2013-05-29,78
2013-05-30,73
2013-05-31,69
2013-06-01,60
2013-06-02,66
2013-06-03,86
2013-06-04,81
2013-06-05,76
2013-06-06,74
2013-06-07,72
2013-06-08,63
2013-06-09,69
2013-06-10,84
2013-06-11,73
2013-06-12,68
2013-06-13,66
2013-06-14,65
2013-06-15,61
2013-06-16,66
2013-06-17,62
2013-06-18,67
2013-06-19,64
2013-06-20,65
2013-06-21,59
2013-06-22,59
2013-06-23,61
2013-06-24,62
2013-06-25,62
2013-06-26,66
2013-06-27,60
2013-06-28,62
2013-06-29,61
2013-06-30,61
2013-07-01,61
2013-07-02,64
2013-07-03,63
2013-07-04,52
2013-07-05,52
2013-07-06,61
2013-07-07,64
2013-07-08,62
2013-07-09,64
2013-07-10,64
2013-07-11,65
2013-07-12,66
2013-07-13,64
2013-07-14,62
2013-07-15,62
2013-07-16,62
2013-07-17,65
2013-07-18,66
2013-07-19,63
2013-07-20,62
2013-07-21,64
2013-07-22,64
2013-07-23,64
2013-07-24,64
2013-07-25,62
2013-07-26,63
2013-07-27,64
2013-07-28,69
2013-07-29,66
2013-07-30,67
2013-07-31,64
2013-08-01,68
2013-08-02,64
2013-08-03,64
2013-08-04,65
2013-08-05,64
2013-08-06,63
2013-08-07,66
2013-08-08,64
2013-08-09,65
2013-08-10,63
2013-08-11,65
2013-08-12,64
2013-08-13,68
2013-08-14,66
2013-08-15,69
2013-08-16,63
2013-08-17,65
2013-08-18,70
2013-08-19,68
2013-08-20,69
2013-08-21,72
2013-08-22,69
2013-08-23,69
2013-08-24,62
2013-08-25,69
2013-08-26,66
2013-08-27,72
2013-08-28,83
2013-08-29,75
2013-08-30,73
2013-08-31,63
2013-09-01,67
2013-09-02,65
2013-09-03,84
2013-09-04,83
2013-09-05,78
2013-09-06,77
2013-09-07,66
2013-09-08,76
2013-09-09,81
2013-09-10,83
2013-09-11,83
2013-09-12,84
2013-09-13,79
2013-09-14,61
2013-09-15,72
2013-09-16,78
2013-09-17,85
2013-09-18,78
2013-09-19,82
2013-09-20,78
2013-09-21,63
2013-09-22,70
2013-09-23,83
2013-09-24,81
2013-09-25,83
2013-09-26,86
2013-09-27,74
2013-09-28,64
2013-09-29,73
2013-09-30,80
2013-10-01,82
2013-10-02,83
2013-10-03,81
2013-10-04,76
2013-10-05,64
2013-10-06,70
2013-10-07,83
2013-10-08,84
2013-10-09,85
2013-10-10,84
2013-10-11,73
2013-10-12,60
2013-10-13,70
2013-10-14,80
2013-10-15,82
2013-10-16,83
2013-10-17,78
2013-10-18,74
2013-10-19,61
2013-10-20,71
2013-10-21,86
2013-10-22,84
2013-10-23,84
2013-10-24,79
2013-10-25,75
2013-10-26,62
2013-10-27,69
2013-10-28,83
2013-10-29,81
2013-10-30,87
2013-10-31,83
2013-11-01,75
2013-11-02,63
2013-11-03,70
2013-11-04,82
2013-11-05,83
2013-11-06,81
2013-11-07,83
2013-11-08,77
2013-11-09,58
2013-11-10,67
2013-11-11,81
2013-11-12,85
2013-11-13,86
2013-11-14,85
2013-11-15,82
2013-11-16,64
2013-11-17,71
2013-11-18,86
2013-11-19,87
2013-11-20,86
2013-11-21,90
2013-11-22,82
2013-11-23,63
2013-11-24,67
2013-11-25,82
2013-11-26,76
2013-11-27,63
2013-11-28,52
2013-11-29,52
2013-11-30,66
2013-12-01,73
