date,book,literature,history,religion,education
2012-01-01,82,1,27,7,11
2012-01-02,97,2,32,7,19
2012-01-03,94,3,34,7,25
2012-01-04,95,3,35,8,28
2012-01-05,97,3,37,8,28
2012-01-06,94,3,36,8,27
2012-01-07,89,2,28,6,15
2012-01-08,96,2,34,8,16
2012-01-09,100,4,39,9,30
2012-01-10,100,4,40,9,31
2012-01-11,100,4,42,9,33
2012-01-12,96,4,39,10,31
2012-01-13,90,3,36,10,27
2012-01-14,80,2,27,8,16
2012-01-15,85,2,32,9,19
2012-01-16,86,3,33,8,25
2012-01-17,99,3,40,9,33
2012-01-18,97,4,43,9,31
2012-01-19,98,4,40,9,33
2012-01-20,87,3,34,9,27
2012-01-21,82,2,29,7,18
2012-01-22,87,2,33,9,18
2012-01-23,90,4,42,10,30
2012-01-24,91,4,42,9,33
2012-01-25,92,4,41,9,33
2012-01-26,92,4,44,9,32
2012-01-27,82,3,37,10,28
2012-01-28,81,2,28,7,18
2012-01-29,85,2,34,9,19
2012-01-30,90,4,43,9,33
2012-01-31,91,4,44,9,32
2012-02-01,91,3,51,9,33
2012-02-02,93,3,49,9,32
2012-02-03,83,3,43,8,28
2012-02-04,77,2,32,7,17
2012-02-05,79,2,37,9,19
2012-02-06,84,4,47,10,29
2012-02-07,91,4,47,9,32
2012-02-08,92,4,49,10,32
2012-02-09,91,3,47,10,33
2012-02-10,82,3,42,10,28
2012-02-11,73,2,31,7,17
2012-02-12,81,2,33,8,17
2012-02-13,86,3,44,9,30
2012-02-14,84,3,48,9,29
2012-02-15,88,3,46,10,29
2012-02-16,84,3,44,9,32
2012-02-17,82,3,36,9,28
2012-02-18,78,2,29,7,16
2012-02-19,81,2,33,9,16
2012-02-20,86,3,37,8,24
2012-02-21,84,4,47,10,31
2012-02-22,85,3,44,10,29
2012-02-23,86,3,44,11,29
2012-02-24,89,3,41,9,26
2012-02-25,82,2,30,7,17
2012-02-26,88,2,36,9,19
2012-02-27,90,4,44,10,31
2012-02-28,94,4,46,10,33
2012-02-29,95,4,46,9,31
2012-03-01,92,4,45,10,32
2012-03-02,93,3,41,9,29
2012-03-03,80,2,30,7,17
2012-03-04,91,3,36,9,18
2012-03-05,91,3,44,9,32
2012-03-06,92,4,42,11,34
2012-03-07,85,3,41,9,30
2012-03-08,84,3,41,10,30
2012-03-09,84,3,37,9,26
2012-03-10,80,2,28,7,16
2012-03-11,81,2,32,8,16
2012-03-12,88,3,39,9,28
2012-03-13,85,3,39,8,30
2012-03-14,83,3,38,8,28
2012-03-15,79,3,38,8,29
2012-03-16,76,3,34,8,24
2012-03-17,72,2,30,7,14
2012-03-18,81,2,34,8,16
2012-03-19,92,3,40,8,29
2012-03-20,90,3,41,9,29
2012-03-21,88,3,41,9,32
2012-03-22,90,3,40,9,29
2012-03-23,87,3,35,8,25
2012-03-24,80,2,27,7,15
2012-03-25,92,2,33,9,17
2012-03-26,93,3,40,9,31
2012-03-27,92,4,42,9,31
2012-03-28,89,3,40,8,30
2012-03-29,85,3,39,9,29
2012-03-30,81,3,33,8,25
2012-03-31,72,2,27,6,16
2012-04-01,85,2,31,8,15
2012-04-02,84,3,38,9,26
2012-04-03,85,3,39,9,29
2012-04-04,84,3,39,9,28
2012-04-05,79,3,37,8,26
2012-04-06,73,2,29,8,19
2012-04-07,75,2,28,9,13
2012-04-08,73,2,33,12,13
2012-04-09,82,3,36,9,25
2012-04-10,84,3,39,9,34
2012-04-11,86,3,42,9,29
2012-04-12,82,3,40,8,30
2012-04-13,80,3,37,8,26
2012-04-14,76,2,31,7,15
2012-04-15,82,2,36,8,18
2012-04-16,85,4,42,9,32
2012-04-17,87,4,43,9,33
2012-04-18,87,4,41,9,30
2012-04-19,87,4,41,9,31
