date,culture
2012-01-01,27
2012-01-02,49
2012-01-03,26
2012-01-04,35
2012-01-05,57
2012-01-06,36
2012-01-07,0
2012-01-08,49
2012-01-09,37
2012-01-10,48
2012-01-11,41
2012-01-12,39
2012-01-13,67
2012-01-14,26
2012-01-15,33
2012-01-16,43
2012-01-17,68
2012-01-18,53
2012-01-19,51
2012-01-20,67
2012-01-21,29
2012-01-22,46
2012-01-23,56
2012-01-24,58
2012-01-25,61
2012-01-26,61
2012-01-27,42
2012-01-28,33
2012-01-29,54
2012-01-30,53
2012-01-31,62
2012-02-01,53
2012-02-02,54
2012-02-03,56
2012-02-04,38
2012-02-05,43
2012-02-06,57
2012-02-07,67
2012-02-08,68
2012-02-09,49
2012-02-10,59
2012-02-11,31
2012-02-12,44
2012-02-13,71
2012-02-14,81
2012-02-15,65
2012-02-16,53
2012-02-17,46
2012-02-18,38
2012-02-19,21
2012-02-20,63
2012-02-21,68
2012-02-22,51
2012-02-23,100
2012-02-24,41
2012-02-25,39
2012-02-26,48
2012-02-27,71
2012-02-28,72
2012-02-29,88
2012-03-01,62
2012-03-02,53
2012-03-03,46
2012-03-04,53
2012-03-05,82
2012-03-06,87
2012-03-07,68
2012-03-08,70
2012-03-09,42
2012-03-10,24
2012-03-11,48
2012-03-12,73
2012-03-13,56
2012-03-14,64
2012-03-15,57
2012-03-16,35
2012-03-17,56
2012-03-18,24
2012-03-19,56
2012-03-20,62
2012-03-21,61
2012-03-22,72
2012-03-23,54
2012-03-24,40
2012-03-25,51
2012-03-26,61
2012-03-27,72
2012-03-28,58
2012-03-29,93
2012-03-30,43
2012-03-31,44
2012-04-01,36
2012-04-02,79
2012-04-03,56
2012-04-04,53
2012-04-05,50
2012-04-06,28
2012-04-07,31
2012-04-08,51
2012-04-09,69
2012-04-10,97
2012-04-11,55
2012-04-12,58
2012-04-13,58
2012-04-14,41
2012-04-15,49
2012-04-16,64
2012-04-17,66
2012-04-18,52
2012-04-19,71
2012-04-20,50
2012-04-21,33
2012-04-22,54
2012-04-23,78
2012-04-24,64
2012-04-25,64
2012-04-26,67
2012-04-27,78
2012-04-28,43
2012-04-29,70
2012-04-30,67
2012-05-01,80
2012-05-02,67
2012-05-03,49
2012-05-04,45
2012-05-05,24
2012-05-06,39
2012-05-07,63
2012-05-08,57
2012-05-09,60
2012-05-10,57
2012-05-11,41
2012-05-12,28
2012-05-13,43
2012-05-14,43
2012-05-15,56
2012-05-16,51
2012-05-17,34
2012-05-18,40
2012-05-19,22
2012-05-20,27
2012-05-21,41
2012-05-22,49
2012-05-23,46
2012-05-24,43
2012-05-25,25
2012-05-26,38
2012-05-27,27
2012-05-28,32
2012-05-29,49
2012-05-30,41
2012-05-31,35
2012-06-01,37
2012-06-02,0
2012-06-03,37
2012-06-04,42
2012-06-05,45
2012-06-06,53
2012-06-07,18
2012-06-08,30
2012-06-09,30
2012-06-10,0
2012-06-11,32
2012-06-12,39
2012-06-13,42
2012-06-14,31
2012-06-15,30
2012-06-16,26
2012-06-17,33
2012-06-18,40
2012-06-19,32
2012-06-20,38
2012-06-21,49
2012-06-22,27
2012-06-23,23
2012-06-24,23
2012-06-25,25
2012-06-26,34
2012-06-27,37
2012-06-28,30
2012-06-29,37
2012-06-30,0
2012-07-01,0
2012-07-02,18
2012-07-03,41
2012-07-04,25
2012-07-05,0
2012-07-06,32
2012-07-07,28
