date,novel
2012-01-01,94
2012-01-02,94
2012-01-03,88
2012-01-04,83
2012-01-05,91
2012-01-06,88
2012-01-07,89
2012-01-08,93
2012-01-09,100
2012-01-10,91
2012-01-11,85
2012-01-12,82
2012-01-13,87
2012-01-14,81
2012-01-15,88
2012-01-16,86
2012-01-17,93
2012-01-18,84
2012-01-19,80
2012-01-20,82
2012-01-21,80
2012-01-22,78
2012-01-23,86
2012-01-24,88
2012-01-25,78
2012-01-26,81
2012-01-27,84
2012-01-28,78
2012-01-29,78
2012-01-30,85
2012-01-31,83
2012-02-01,87
2012-02-02,77
2012-02-03,79
2012-02-04,72
2012-02-05,76
2012-02-06,77
2012-02-07,85
2012-02-08,77
2012-02-09,76
2012-02-10,82
2012-02-11,77
2012-02-12,71
2012-02-13,73
2012-02-14,75
2012-02-15,75
2012-02-16,82
2012-02-17,75
2012-02-18,74
2012-02-19,88
2012-02-20,83
2012-02-21,87
2012-02-22,83
2012-02-23,88
2012-02-24,82
2012-02-25,82
2012-02-26,87
2012-02-27,81
2012-02-28,90
2012-02-29,84
2012-03-01,86
2012-03-02,92
2012-03-03,82
2012-03-04,93
2012-03-05,92
2012-03-06,87
2012-03-07,83
2012-03-08,77
2012-03-09,80
2012-03-10,74
2012-03-11,78
2012-03-12,89
2012-03-13,80
2012-03-14,75
2012-03-15,82
2012-03-16,72
2012-03-17,72
2012-03-18,74
2012-03-19,79
2012-03-20,86
2012-03-21,87
2012-03-22,84
2012-03-23,82
2012-03-24,90
2012-03-25,94
2012-03-26,91
2012-03-27,94
2012-03-28,82
2012-03-29,73
2012-03-30,79
2012-03-31,78
2012-04-01,89
2012-04-02,89
2012-04-03,88
2012-04-04,82
2012-04-05,78
2012-04-06,69
2012-04-07,76
2012-04-08,79
2012-04-09,94
2012-04-10,84
2012-04-11,84
2012-04-12,86
2012-04-13,77
2012-04-14,76
2012-04-15,91
2012-04-16,88
2012-04-17,85
2012-04-18,79
2012-04-19,87
2012-04-20,82
2012-04-21,71
2012-04-22,88
2012-04-23,89
2012-04-24,86
2012-04-25,97
2012-04-26,83
2012-04-27,95
2012-04-28,90
2012-04-29,90
2012-04-30,90
2012-05-01,86
2012-05-02,86
2012-05-03,86
2012-05-04,80
2012-05-05,77
2012-05-06,79
2012-05-07,85
2012-05-08,90
2012-05-09,83
2012-05-10,91
2012-05-11,73
2012-05-12,74
2012-05-13,82
2012-05-14,95
2012-05-15,84
2012-05-16,93
2012-05-17,79
2012-05-18,79
2012-05-19,78
2012-05-20,87
2012-05-21,81
2012-05-22,92
2012-05-23,91
2012-05-24,84
2012-05-25,88
2012-05-26,86
2012-05-27,84
2012-05-28,92
2012-05-29,88
2012-05-30,80
2012-05-31,84
2012-06-01,81
2012-06-02,80
2012-06-03,90
2012-06-04,86
2012-06-05,82
2012-06-06,87
2012-06-07,80
2012-06-08,77
2012-06-09,72
2012-06-10,90
2012-06-11,85
2012-06-12,80
2012-06-13,78
2012-06-14,81
2012-06-15,74
2012-06-16,84
2012-06-17,76
2012-06-18,88
2012-06-19,86
2012-06-20,79
2012-06-21,83
2012-06-22,85
2012-06-23,85
2012-06-24,74
2012-06-25,81
2012-06-26,88
2012-06-27,81
2012-06-28,75
2012-06-29,77
2012-06-30,83
2012-07-01,78
2012-07-02,76
2012-07-03,90
2012-07-04,81
2012-07-05,77
2012-07-06,82
2012-07-07,93
2012-07-08,92
2012-07-09,88
2012-07-10,85
2012-07-11,79
2012-07-12,73
2012-07-13,73
2012-07-14,86
2012-07-15,94
2012-07-16,87
2012-07-17,80
2012-07-18,82
2012-07-19,81
2012-07-20,70
2012-07-21,76
2012-07-22,94
2012-07-23,82
2012-07-24,82
2012-07-25,83
2012-07-26,80
2012-07-27,83
2012-07-28,80
2012-07-29,96
2012-07-30,82
2012-07-31,88
2012-08-01,84
2012-08-02,83
2012-08-03,72
2012-08-04,86
2012-08-05,93
2012-08-06,81
2012-08-07,80
2012-08-08,86
2012-08-09,84
2012-08-10,86
2012-08-11,84
2012-08-12,98
2012-08-13,73
2012-08-14,92
2012-08-15,84
2012-08-16,82
2012-08-17,86
2012-08-18,90
2012-08-19,96
2012-08-20,83
2012-08-21,82
2012-08-22,86
2012-08-23,93
2012-08-24,84
2012-08-25,81
2012-08-26,90
