date,general_label,traffic_rate,total_traffic
2016-11-28,Intellectualism,0.0,0.0
2016-11-29,Intellectualism,0.1,10000.0
2016-11-30,Intellectualism,0.1,40000.0
2016-12-01,Intellectualism,0.1,2000.0
2016-12-02,Intellectualism,0.0,0.0
2016-12-03,Intellectualism,0.1,20000.0
2016-12-04,Intellectualism,0.0,0.0
2016-12-05,Intellectualism,0.1,27000.0
2016-12-06,Intellectualism,0.1,4000.0
2016-12-07,Intellectualism,0.1,10000.0
2016-12-08,Intellectualism,0.0,0.0
2016-12-09,Intellectualism,0.1,25000.0
2016-12-10,Intellectualism,0.0,0.0
2016-12-11,Intellectualism,0.0,0.0
2016-12-12,Intellectualism,0.1,80000.0
2016-12-13,Intellectualism,0.1,7000.0
2016-12-14,Intellectualism,0.1,2000.0
2016-12-15,Intellectualism,0.0,0.0
2016-12-16,Intellectualism,0.1,5000.0
2016-12-17,Intellectualism,0.1,2000.0
2016-12-18,Intellectualism,0.1,2000.0
2016-12-19,Intellectualism,0.1,2000.0
2016-12-20,Intellectualism,0.1,10000.0
2016-12-21,Intellectualism,0.1,2000.0
2016-12-22,Intellectualism,0.1,5000.0
2016-12-23,Intellectualism,0.5,500000.0
2016-12-24,Intellectualism,0.1,10000.0
2016-12-25,Intellectualism,0.1,15000.0
2016-12-26,Intellectualism,0.0,0.0
2016-12-27,Intellectualism,0.1,10000.0
2016-12-28,Intellectualism,0.1,5000.0
2016-12-29,Intellectualism,0.0,0.0
2016-12-30,Intellectualism,0.1,15000.0
2016-12-31,Intellectualism,0.1,10000.0
2017-01-01,Intellectualism,0.1,5000.0
2017-01-02,Intellectualism,0.1,10000.0
2017-01-03,Intellectualism,0.1,5000.0
2017-01-04,Intellectualism,0.1,40000.0
2017-01-05,Intellectualism,0.1,50000.0
2017-01-06,Intellectualism,0.0,0.0
2017-01-07,Intellectualism,0.3,504000.0
2017-01-08,Intellectualism,0.1,2000.0
2017-01-09,Intellectualism,0.1,20000.0
2017-01-10,Intellectualism,0.1,2000.0
2017-01-11,Intellectualism,0.1,5000.0
2017-01-12,Intellectualism,0.1,2000.0
2017-01-13,Intellectualism,0.1,32000.0
2017-01-14,Intellectualism,0.1,20000.0
2017-01-15,Intellectualism,0.0,0.0
2017-01-16,Intellectualism,0.1,22000.0
2017-01-17,Intellectualism,0.0,0.0
2017-01-18,Intellectualism,0.1,95000.0
2017-01-19,Intellectualism,0.1,172000.0
2017-01-20,Intellectualism,0.1,40000.0
2017-01-21,Intellectualism,0.1,47000.0
2017-01-22,Intellectualism,0.1,12000.0
2017-01-23,Intellectualism,0.0,0.0
2017-01-24,Intellectualism,0.0,0.0
2017-01-25,Intellectualism,0.1,2000.0
2017-01-26,Intellectualism,0.1,15000.0
2017-01-27,Intellectualism,0.1,12000.0
2017-01-28,Intellectualism,0.0,0.0
2017-01-29,Intellectualism,0.0,0.0
2017-01-30,Intellectualism,0.0,0.0
