Category: Food & Drinkz

Day,Geo: Australia
2013-04-01,69
2013-04-02,68
2013-04-03,66
2013-04-04,67
2013-04-05,71
2013-04-06,82
2013-04-07,79
2013-04-08,66
2013-04-09,68
2013-04-10,67
2013-04-11,66
2013-04-12,72
2013-04-13,84
2013-04-14,84
2013-04-15,68
2013-04-16,68
2013-04-17,71
2013-04-18,66
2013-04-19,69
2013-04-20,84
2013-04-21,79
2013-04-22,73
2013-04-23,71
2013-04-24,69
2013-04-25,81
2013-04-26,73
2013-04-27,91
2013-04-28,84
2013-04-29,70
2013-04-30,69
2013-05-01,78
2013-05-02,69
2013-05-03,73
2013-05-04,90
2013-05-05,85
2013-05-06,72
2013-05-07,73
2013-05-08,70
2013-05-09,69
2013-05-10,77
2013-05-11,92
2013-05-12,83
2013-05-13,70
2013-05-14,69
2013-05-15,67
2013-05-16,70
2013-05-17,75
2013-05-18,85
2013-05-19,84
2013-05-20,71
2013-05-21,69
2013-05-22,68
2013-05-23,73
2013-05-24,75
2013-05-25,87
2013-05-26,86
2013-05-27,74
2013-05-28,68
2013-05-29,67
2013-05-30,70
2013-05-31,75
2013-06-01,88
2013-06-02,89
2013-06-03,69
2013-06-04,75
2013-06-05,64
2013-06-06,69
2013-06-07,71
2013-06-08,90
2013-06-09,87
2013-06-10,73
2013-06-11,68
2013-06-12,74
2013-06-13,71
2013-06-14,75
2013-06-15,89
2013-06-16,93
2013-06-17,77
2013-06-18,75
2013-06-19,69
2013-06-20,71
2013-06-21,77
2013-06-22,89
2013-06-23,91
2013-06-24,74
2013-06-25,73
2013-06-26,70
2013-06-27,70
2013-06-28,73
2013-06-29,93
2013-06-30,90
2013-07-01,72
2013-07-02,69
2013-07-03,72
2013-07-04,75
2013-07-05,79
2013-07-06,95
2013-07-07,93
2013-07-08,69
2013-07-09,76
2013-07-10,74
2013-07-11,77
2013-07-12,80
2013-07-13,96
2013-07-14,93
2013-07-15,78
2013-07-16,76
2013-07-17,74
2013-07-18,74
2013-07-19,80
2013-07-20,100
2013-07-21,90
2013-07-22,75
2013-07-23,73
2013-07-24,70
2013-07-25,72
2013-07-26,77
2013-07-27,96
2013-07-28,93
2013-07-29,73
2013-07-30,76
2013-07-31,71
2013-08-01,74
2013-08-02,80
2013-08-03,98
2013-08-04,91
2013-08-05,73
2013-08-06,79
2013-08-07,77
2013-08-08,78
2013-08-09,82
2013-08-10,92
2013-08-11,86
2013-08-12,75
2013-08-13,77
2013-08-14,76
2013-08-15,77
2013-08-16,80
2013-08-17,93
2013-08-18,90
2013-08-19,76
2013-08-20,78
2013-08-21,73
2013-08-22,75
2013-08-23,79
2013-08-24,87
2013-08-25,89
2013-08-26,72
2013-08-27,71
2013-08-28,71
2013-08-29,72
2013-08-30,80
2013-08-31,90
2013-09-01,79
2013-09-02,72
2013-09-03,68
2013-09-04,68
2013-09-05,72
2013-09-06,72
2013-09-07,82
2013-09-08,80
2013-09-09,68
2013-09-10,67
2013-09-11,68
2013-09-12,69
2013-09-13,73
2013-09-14,87
2013-09-15,79
2013-09-16,70
2013-09-17,66
2013-09-18,70
2013-09-19,67
2013-09-20,72
2013-09-21,76
2013-09-22,74
2013-09-23,66
2013-09-24,70
2013-09-25,67
2013-09-26,67
2013-09-27,73
2013-09-28,78
2013-09-29,76
2013-09-30,66
2013-10-01,68
2013-10-02,67
2013-10-03,69
2013-10-04,70
2013-10-05,75
2013-10-06,78
2013-10-07,66
2013-10-08,66
2013-10-09,67
2013-10-10,69
2013-10-11,67
2013-10-12,81
2013-10-13,82
2013-10-14,75
2013-10-15,66
2013-10-16,68
2013-10-17,69
2013-10-18,72
2013-10-19,83
2013-10-20,79
2013-10-21,66
2013-10-22,70
2013-10-23,67
2013-10-24,66
2013-10-25,71
2013-10-26,83
2013-10-27,81
2013-10-28,69
2013-10-29,72
2013-10-30,68
2013-10-31,68
2013-11-01,73
2013-11-02,83
2013-11-03,82
2013-11-04,69
2013-11-05,65
2013-11-06,67
2013-11-07,68
2013-11-08,72
2013-11-09,85
2013-11-10,81
2013-11-11,71
2013-11-12,70
2013-11-13,70
2013-11-14,68
2013-11-15,72
2013-11-16,84
2013-11-17,82
2013-11-18,68
2013-11-19,67
2013-11-20,68
2013-11-21,67
2013-11-22,70
2013-11-23,77
2013-11-24,80
2013-11-25,70
2013-11-26,67
2013-11-27,71
2013-11-28,71
2013-11-29,75
2013-11-30,81
2013-12-01,72
