Category: Food & Drink

Day,Geo: Australia
2012-08-01,58
2012-08-02,57
2012-08-03,59
2012-08-04,73
2012-08-05,73
2012-08-06,58
2012-08-07,58
2012-08-08,59
2012-08-09,59
2012-08-10,63
2012-08-11,73
2012-08-12,73
2012-08-13,61
2012-08-14,63
2012-08-15,64
2012-08-16,59
2012-08-17,64
2012-08-18,74
2012-08-19,75
2012-08-20,61
2012-08-21,60
2012-08-22,60
2012-08-23,59
2012-08-24,61
2012-08-25,69
2012-08-26,65
2012-08-27,59
2012-08-28,58
2012-08-29,60
2012-08-30,55
2012-08-31,61
2012-09-01,72
2012-09-02,66
2012-09-03,57
2012-09-04,58
2012-09-05,57
2012-09-06,56
2012-09-07,65
2012-09-08,68
2012-09-09,64
2012-09-10,56
2012-09-11,56
2012-09-12,55
2012-09-13,57
2012-09-14,57
2012-09-15,65
2012-09-16,66
2012-09-17,57
2012-09-18,55
2012-09-19,57
2012-09-20,56
2012-09-21,59
2012-09-22,65
2012-09-23,61
2012-09-24,54
2012-09-25,55
2012-09-26,54
2012-09-27,54
2012-09-28,57
2012-09-29,62
2012-09-30,61
2012-10-01,57
2012-10-02,54
2012-10-03,54
2012-10-04,53
2012-10-05,56
2012-10-06,73
2012-10-07,63
2012-10-08,55
2012-10-09,55
2012-10-10,54
2012-10-11,54
2012-10-12,58
2012-10-13,65
2012-10-14,64
2012-10-15,57
2012-10-16,53
2012-10-17,54
2012-10-18,56
2012-10-19,55
2012-10-20,66
2012-10-21,62
2012-10-22,55
2012-10-23,55
2012-10-24,51
2012-10-25,60
2012-10-26,59
2012-10-27,66
2012-10-28,61
2012-10-29,54
2012-10-30,53
2012-10-31,54
2012-11-01,58
2012-11-02,57
2012-11-03,66
2012-11-04,63
2012-11-05,58
2012-11-06,48
2012-11-07,50
2012-11-08,53
2012-11-09,56
2012-11-10,66
2012-11-11,62
2012-11-12,53
2012-11-13,54
2012-11-14,56
2012-11-15,53
2012-11-16,57
2012-11-17,64
2012-11-18,63
2012-11-19,56
2012-11-20,57
2012-11-21,54
2012-11-22,55
2012-11-23,56
2012-11-24,60
2012-11-25,59
2012-11-26,52
2012-11-27,55
2012-11-28,52
2012-11-29,54
2012-11-30,52
2012-12-01,60
2012-12-02,62
2012-12-03,56
2012-12-04,53
2012-12-05,55
2012-12-06,54
2012-12-07,55
2012-12-08,63
2012-12-09,63
2012-12-10,57
2012-12-11,55
2012-12-12,58
2012-12-13,54
2012-12-14,56
2012-12-15,65
2012-12-16,64
2012-12-17,58
2012-12-18,60
2012-12-19,61
2012-12-20,62
2012-12-21,66
2012-12-22,82
2012-12-23,94
2012-12-24,100
2012-12-25,59
2012-12-26,49
2012-12-27,53
2012-12-28,55
2012-12-29,63
2012-12-30,67
2012-12-31,59
2013-01-01,67
2013-01-02,55
2013-01-03,54
2013-01-04,56
2013-01-05,62
2013-01-06,58
2013-01-07,56
2013-01-08,54
2013-01-09,52
2013-01-10,56
2013-01-11,54
2013-01-12,62
2013-01-13,63
2013-01-14,53
2013-01-15,52
2013-01-16,52
2013-01-17,53
2013-01-18,55
2013-01-19,63
2013-01-20,62
2013-01-21,55
2013-01-22,54
2013-01-23,54
2013-01-24,57
2013-01-25,56
2013-01-26,61
2013-01-27,62
2013-01-28,53
2013-01-29,51
2013-01-30,51
2013-01-31,52
2013-02-01,60
2013-02-02,67
2013-02-03,64
2013-02-04,53
2013-02-05,54
2013-02-06,52
2013-02-07,53
2013-02-08,57
2013-02-09,65
2013-02-10,65
2013-02-11,60
2013-02-12,57
2013-02-13,58
2013-02-14,61
2013-02-15,58
2013-02-16,62
2013-02-17,67
2013-02-18,56
2013-02-19,58
2013-02-20,55
2013-02-21,54
2013-02-22,58
2013-02-23,68
2013-02-24,64
2013-02-25,52
2013-02-26,55
2013-02-27,54
2013-02-28,59
2013-03-01,57
2013-03-02,69
2013-03-03,64
2013-03-04,55
2013-03-05,56
2013-03-06,54
2013-03-07,53
2013-03-08,58
2013-03-09,64
2013-03-10,65
2013-03-11,55
2013-03-12,56
2013-03-13,53
2013-03-14,57
2013-03-15,62
2013-03-16,65
2013-03-17,64
2013-03-18,55
2013-03-19,55
2013-03-20,56
2013-03-21,57
2013-03-22,56
2013-03-23,68
2013-03-24,62
2013-03-25,55
2013-03-26,58
2013-03-27,57
2013-03-28,64
2013-03-29,70
2013-03-30,67
2013-03-31,66
2013-04-01,58
