Category: Food & Drinkz

Day,Geo: Canada
2015-04-01,64
2015-04-02,70
2015-04-03,80
2015-04-04,93
2015-04-05,92
2015-04-06,65
2015-04-07,55
2015-04-08,57
2015-04-09,59
2015-04-10,63
2015-04-11,78
2015-04-12,75
2015-04-13,57
2015-04-14,56
2015-04-15,56
2015-04-16,54
2015-04-17,60
2015-04-18,74
2015-04-19,74
2015-04-20,59
2015-04-21,57
2015-04-22,61
2015-04-23,59
2015-04-24,62
2015-04-25,74
2015-04-26,80
2015-04-27,53
2015-04-28,55
2015-04-29,56
2015-04-30,61
2015-05-01,65
2015-05-02,68
2015-05-03,66
2015-05-04,57
2015-05-05,54
2015-05-06,56
2015-05-07,56
2015-05-08,61
2015-05-09,75
2015-05-10,78
2015-05-11,54
2015-05-12,55
2015-05-13,55
2015-05-14,57
2015-05-15,58
2015-05-16,67
2015-05-17,68
2015-05-18,60
2015-05-19,54
2015-05-20,54
2015-05-21,56
2015-05-22,57
2015-05-23,71
2015-05-24,74
2015-05-25,60
2015-05-26,56
2015-05-27,55
2015-05-28,54
2015-05-29,60
2015-05-30,74
2015-05-31,75
2015-06-01,56
2015-06-02,58
2015-06-03,56
2015-06-04,59
2015-06-05,64
2015-06-06,69
2015-06-07,71
2015-06-08,58
2015-06-09,57
2015-06-10,56
2015-06-11,59
2015-06-12,65
2015-06-13,68
2015-06-14,73
2015-06-15,55
2015-06-16,58
2015-06-17,57
2015-06-18,59
2015-06-19,61
2015-06-20,75
2015-06-21,76
2015-06-22,58
2015-06-23,57
2015-06-24,60
2015-06-25,60
2015-06-26,62
2015-06-27,75
2015-06-28,78
2015-06-29,60
2015-06-30,61
2015-07-01,69
2015-07-02,57
2015-07-03,65
2015-07-04,73
2015-07-05,74
2015-07-06,57
2015-07-07,64
2015-07-08,61
2015-07-09,62
2015-07-10,63
2015-07-11,71
2015-07-12,73
2015-07-13,60
2015-07-14,61
2015-07-15,60
2015-07-16,61
2015-07-17,73
2015-07-18,78
2015-07-19,76
2015-07-20,62
2015-07-21,62
2015-07-22,62
2015-07-23,63
2015-07-24,65
2015-07-25,74
2015-07-26,75
2015-07-27,58
2015-07-28,59
2015-07-29,62
2015-07-30,63
2015-07-31,65
2015-08-01,74
2015-08-02,73
2015-08-03,64
2015-08-04,62
2015-08-05,63
2015-08-06,62
2015-08-07,64
2015-08-08,76
2015-08-09,75
2015-08-10,63
2015-08-11,63
2015-08-12,63
2015-08-13,62
2015-08-14,67
2015-08-15,76
2015-08-16,72
2015-08-17,61
2015-08-18,61
2015-08-19,61
2015-08-20,63
2015-08-21,66
2015-08-22,77
2015-08-23,70
2015-08-24,58
2015-08-25,64
2015-08-26,62
2015-08-27,62
2015-08-28,64
2015-08-29,77
2015-08-30,75
2015-08-31,58
2015-09-01,59
2015-09-02,58
2015-09-03,61
2015-09-04,63
2015-09-05,75
2015-09-06,83
2015-09-07,72
2015-09-08,59
2015-09-09,57
2015-09-10,61
2015-09-11,63
2015-09-12,81
2015-09-13,85
2015-09-14,63
2015-09-15,58
2015-09-16,59
2015-09-17,58
2015-09-18,64
2015-09-19,80
2015-09-20,83
2015-09-21,62
2015-09-22,58
2015-09-23,59
2015-09-24,59
2015-09-25,64
2015-09-26,81
2015-09-27,82
2015-09-28,62
2015-09-29,61
2015-09-30,58
2015-10-01,59
2015-10-02,65
2015-10-03,82
2015-10-04,82
2015-10-05,61
2015-10-06,63
2015-10-07,62
2015-10-08,65
2015-10-09,72
2015-10-10,100
2015-10-11,99
2015-10-12,79
2015-10-13,57
2015-10-14,55
2015-10-15,58
2015-10-16,62
2015-10-17,80
2015-10-18,82
2015-10-19,57
2015-10-20,53
2015-10-21,57
2015-10-22,59
2015-10-23,67
2015-10-24,82
2015-10-25,82
2015-10-26,61
2015-10-27,64
2015-10-28,61
2015-10-29,63
2015-10-30,67
2015-10-31,82
2015-11-01,82
2015-11-02,61
2015-11-03,63
2015-11-04,59
2015-11-05,57
2015-11-06,63
2015-11-07,83
2015-11-08,82
2015-11-09,61
2015-11-10,62
2015-11-11,67
2015-11-12,62
2015-11-13,66
2015-11-14,78
2015-11-15,78
2015-11-16,58
2015-11-17,58
2015-11-18,59
2015-11-19,60
2015-11-20,67
2015-11-21,80
2015-11-22,81
2015-11-23,61
2015-11-24,59
2015-11-25,60
2015-11-26,60
2015-11-27,64
2015-11-28,78
2015-11-29,80
2015-11-30,58
2015-12-01,59
