Category: Food & Drink

Day,Geo: Canada
2012-01-01,98
2012-01-02,74
2012-01-03,72
2012-01-04,66
2012-01-05,73
2012-01-06,76
2012-01-07,92
2012-01-08,89
2012-01-09,67
2012-01-10,66
2012-01-11,70
2012-01-12,73
2012-01-13,76
2012-01-14,95
2012-01-15,96
2012-01-16,70
2012-01-17,71
2012-01-18,73
2012-01-19,73
2012-01-20,78
2012-01-21,93
2012-01-22,90
2012-01-23,70
2012-01-24,72
2012-01-25,72
2012-01-26,74
2012-01-27,75
2012-01-28,94
2012-01-29,92
2012-01-30,70
2012-01-31,67
2012-02-01,68
2012-02-02,70
2012-02-03,73
2012-02-04,91
2012-02-05,95
2012-02-06,65
2012-02-07,67
2012-02-08,66
2012-02-09,73
2012-02-10,81
2012-02-11,96
2012-02-12,94
2012-02-13,68
2012-02-14,85
2012-02-15,69
2012-02-16,69
2012-02-17,74
2012-02-18,89
2012-02-19,88
2012-02-20,79
2012-02-21,72
2012-02-22,66
2012-02-23,66
2012-02-24,71
2012-02-25,93
2012-02-26,90
2012-02-27,65
2012-02-28,67
2012-02-29,67
2012-03-01,74
2012-03-02,76
2012-03-03,97
2012-03-04,94
2012-03-05,73
2012-03-06,72
2012-03-07,69
2012-03-08,68
2012-03-09,76
2012-03-10,93
2012-03-11,89
2012-03-12,68
2012-03-13,66
2012-03-14,67
2012-03-15,69
2012-03-16,73
2012-03-17,88
2012-03-18,80
2012-03-19,62
2012-03-20,64
2012-03-21,63
2012-03-22,64
2012-03-23,72
2012-03-24,90
2012-03-25,89
2012-03-26,65
2012-03-27,65
2012-03-28,70
2012-03-29,69
2012-03-30,72
2012-03-31,85
2012-04-01,93
2012-04-02,70
2012-04-03,73
2012-04-04,72
2012-04-05,79
2012-04-06,99
2012-04-07,100
2012-04-08,99
2012-04-09,67
2012-04-10,64
2012-04-11,66
2012-04-12,66
2012-04-13,71
2012-04-14,80
2012-04-15,87
2012-04-16,62
2012-04-17,68
2012-04-18,63
2012-04-19,66
2012-04-20,72
2012-04-21,83
2012-04-22,86
2012-04-23,67
2012-04-24,70
2012-04-25,66
2012-04-26,70
2012-04-27,72
2012-04-28,88
2012-04-29,85
2012-04-30,70
2012-05-01,76
2012-05-02,65
2012-05-03,68
2012-05-04,70
2012-05-05,81
2012-05-06,80
2012-05-07,65
2012-05-08,69
2012-05-09,72
2012-05-10,71
2012-05-11,72
2012-05-12,82
2012-05-13,88
2012-05-14,61
2012-05-15,63
2012-05-16,66
2012-05-17,65
2012-05-18,68
2012-05-19,73
2012-05-20,74
2012-05-21,64
2012-05-22,64
2012-05-23,66
2012-05-24,69
2012-05-25,70
2012-05-26,81
2012-05-27,84
2012-05-28,70
2012-05-29,68
2012-05-30,64
2012-05-31,64
2012-06-01,70
2012-06-02,85
2012-06-03,83
2012-06-04,66
2012-06-05,69
2012-06-06,67
2012-06-07,67
2012-06-08,71
2012-06-09,82
2012-06-10,80
2012-06-11,64
2012-06-12,68
2012-06-13,62
2012-06-14,69
2012-06-15,72
2012-06-16,80
2012-06-17,86
2012-06-18,65
2012-06-19,67
2012-06-20,67
2012-06-21,64
2012-06-22,70
2012-06-23,82
2012-06-24,80
2012-06-25,63
2012-06-26,67
2012-06-27,67
2012-06-28,68
2012-06-29,67
2012-06-30,77
2012-07-01,76
2012-07-02,64
2012-07-03,64
2012-07-04,69
2012-07-05,67
2012-07-06,71
2012-07-07,78
2012-07-08,79
2012-07-09,65
2012-07-10,68
2012-07-11,65
2012-07-12,66
2012-07-13,74
2012-07-14,79
2012-07-15,81
2012-07-16,67
2012-07-17,69
2012-07-18,71
2012-07-19,70
2012-07-20,73
2012-07-21,83
2012-07-22,82
2012-07-23,69
2012-07-24,74
2012-07-25,72
2012-07-26,74
2012-07-27,72
2012-07-28,78
2012-07-29,82
2012-07-30,65
2012-07-31,67
2012-08-01,67
