date,general_label,traffic_rate,total_traffic
2016-11-28,Lifestyle,0.25,1400000.0
2016-11-29,Lifestyle,0.1,250000.0
2016-11-30,Lifestyle,0.1,200000.0
2016-12-01,Lifestyle,0.1,50000.0
2016-12-02,Lifestyle,0.1,150000.0
2016-12-03,Lifestyle,0.0,0.0
2016-12-04,Lifestyle,0.1,600000.0
2016-12-05,Lifestyle,0.1,620000.0
2016-12-06,Lifestyle,0.0,0.0
2016-12-07,Lifestyle,0.0,0.0
2016-12-08,Lifestyle,0.1,1200000.0
2016-12-09,Lifestyle,0.0,0.0
2016-12-10,Lifestyle,0.1,70000.0
2016-12-11,Lifestyle,0.1,200000.0
2016-12-12,Lifestyle,0.1,100000.0
2016-12-13,Lifestyle,0.1,200000.0
2016-12-14,Lifestyle,0.0,0.0
2016-12-15,Lifestyle,0.1,70000.0
2016-12-16,Lifestyle,0.1,20000.0
2016-12-17,Lifestyle,0.1,250000.0
2016-12-18,Lifestyle,0.0,0.0
2016-12-19,Lifestyle,0.0,0.0
2016-12-20,Lifestyle,1.0,5000000.0
2016-12-21,Lifestyle,0.1,50000.0
2016-12-22,Lifestyle,0.1,100000.0
2016-12-23,Lifestyle,0.1,40000.0
2016-12-24,Lifestyle,0.1,900000.0
2016-12-25,Lifestyle,0.1,900000.0
2016-12-26,Lifestyle,0.1,50000.0
2016-12-27,Lifestyle,0.1,100000.0
2016-12-28,Lifestyle,0.1,200000.0
2016-12-29,Lifestyle,0.1,20000.0
2016-12-30,Lifestyle,0.0,0.0
2016-12-31,Lifestyle,0.0,0.0
2017-01-01,Lifestyle,0.1,500000.0
2017-01-02,Lifestyle,0.1,50000.0
2017-01-03,Lifestyle,0.1,50000.0
2017-01-04,Lifestyle,0.1,60000.0
2017-01-05,Lifestyle,0.1,400000.0
2017-01-06,Lifestyle,0.1,60000.0
2017-01-07,Lifestyle,0.1,1000000.0
2017-01-08,Lifestyle,0.0,0.0
2017-01-09,Lifestyle,0.1,800000.0
2017-01-10,Lifestyle,0.1,500000.0
2017-01-11,Lifestyle,0.1,100000.0
2017-01-12,Lifestyle,0.1,50000.0
2017-01-13,Lifestyle,0.1,100000.0
2017-01-14,Lifestyle,0.1,20000.0
2017-01-15,Lifestyle,0.1,1000000.0
2017-01-16,Lifestyle,0.1,100000.0
2017-01-17,Lifestyle,0.1,150000.0
2017-01-18,Lifestyle,0.1,50000.0
2017-01-19,Lifestyle,0.0,0.0
2017-01-20,Lifestyle,0.1,500000.0
2017-01-21,Lifestyle,0.1,50000.0
2017-01-22,Lifestyle,0.1,100000.0
2017-01-23,Lifestyle,0.1,700000.0
2017-01-24,Lifestyle,0.1,250000.0
2017-01-25,Lifestyle,0.1,70000.0
2017-01-26,Lifestyle,0.0,0.0
2017-01-27,Lifestyle,0.1,1150000.0
2017-01-28,Lifestyle,0.1,1200000.0
2017-01-29,Lifestyle,0.1,40000.0
2017-01-30,Lifestyle,0.1,50000.0
2017-01-31,Lifestyle,0.1,170000.0
2017-02-01,Lifestyle,0.0,0.0
2017-02-02,Lifestyle,0.1,100000.0
2017-02-03,Lifestyle,0.1,200000.0
2017-02-04,Lifestyle,0.1,100000.0
2017-02-05,Lifestyle,0.0,0.0
2017-02-06,Lifestyle,0.1,20000.0
2017-02-07,Lifestyle,0.1,220000.0
2017-02-08,Lifestyle,0.25,1320000.0
2017-02-09,Lifestyle,0.1,420000.0
2017-02-10,Lifestyle,0.1,100000.0
2017-02-11,Lifestyle,0.0,0.0
2017-02-12,Lifestyle,0.1,1000000.0
2017-02-13,Lifestyle,0.1,300000.0
2017-02-14,Lifestyle,0.1,250000.0
2017-02-15,Lifestyle,0.1,50000.0
2017-02-16,Lifestyle,0.1,50000.0
2017-02-17,Lifestyle,0.1,220000.0
2017-02-18,Lifestyle,0.0,0.0
2017-02-19,Lifestyle,0.1,20000.0
2017-02-20,Lifestyle,0.0,0.0
2017-02-21,Lifestyle,0.1,250000.0
2017-02-22,Lifestyle,0.1,520000.0
2017-02-23,Lifestyle,0.1,150000.0
2017-02-24,Lifestyle,0.1,20000.0
2017-02-25,Lifestyle,0.0,0.0
2017-02-26,Lifestyle,0.0,0.0
2017-02-27,Lifestyle,0.1,850000.0
